Precinct,County,Registered Voters,"Luis """"Lou"""" Solis, Jr. (Rep)_Election Day Votes","Luis """"Lou"""" Solis, Jr. (Rep)_Advanced Voting Votes","Luis """"Lou"""" Solis, Jr. (Rep)_Absentee by Mail Votes","Luis """"Lou"""" Solis, Jr. (Rep)_Provisional Votes","Luis """"Lou"""" Solis, Jr. (Rep)_Choice Total",Keybo Taylor (Dem)_Election Day Votes,Keybo Taylor (Dem)_Advanced Voting Votes,Keybo Taylor (Dem)_Absentee by Mail Votes,Keybo Taylor (Dem)_Provisional Votes,Keybo Taylor (Dem)_Choice Total,Total,
DUNCANS D,Gwinnett,7153,622,2107,776,3,3508,281,946,651,0,1878,5386,
PINCKNEYVILLE H,Gwinnett,4536,333,735,469,1,1538,230,875,768,3,1876,3414,
BAYCREEK B,Gwinnett,5969,266,634,292,3,1195,427,1737,787,7,2958,4153,
LAWRENCEVILLE C,Gwinnett,3037,288,607,286,0,1181,141,491,329,1,962,2143,
MARTINS D,Gwinnett,2402,107,116,101,3,327,258,458,282,1,999,1326,
ROCKBRIDGE B,Gwinnett,4177,139,333,171,0,643,298,1150,596,1,2045,2688,
GARNERS B,Gwinnett,3178,120,397,233,5,755,184,842,454,1,1481,2236,
CATES F,Gwinnett,1787,210,320,236,0,766,106,290,213,2,611,1377,
CATES G,Gwinnett,2875,200,696,402,0,1298,117,506,393,0,1016,2314,
DULUTH B,Gwinnett,3551,269,546,383,3,1201,179,515,516,1,1211,2412,
GARNERS C,Gwinnett,2030,131,299,146,0,576,124,438,258,2,822,1398,
PINCKNEYVILLE I,Gwinnett,2635,105,198,136,0,439,245,555,299,2,1101,1540,
PINCKNEYVILLE J,Gwinnett,2613,79,132,68,0,279,260,626,268,2,1156,1435,
BERKSHIRE G,Gwinnett,2419,164,511,246,0,921,113,533,291,0,937,1858,
CATES H,Gwinnett,3924,113,407,192,0,712,305,926,492,1,1724,2436,
SUGAR HILL C,Gwinnett,5085,597,1255,457,0,2309,228,759,506,0,1493,3802,
SUGAR HILL D,Gwinnett,4624,308,1183,340,6,1837,199,743,431,2,1375,3212,
DULUTH C,Gwinnett,2229,200,314,214,2,730,141,378,312,1,832,1562,
DULUTH D,Gwinnett,5077,232,677,302,7,1218,303,1019,660,12,1994,3212,
PINCKNEYVILLE K,Gwinnett,3754,149,220,122,3,494,364,814,450,8,1636,2130,
PINCKNEYVILLE N,Gwinnett,3819,130,205,67,0,402,452,938,483,5,1878,2280,
LAWRENCEVILLE D,Gwinnett,5012,160,263,196,6,625,436,1088,529,8,2061,2686,
LAWRENCEVILLE E,Gwinnett,2355,162,394,261,1,818,148,385,300,2,835,1653,
PINCKNEYVILLE L,Gwinnett,2330,309,452,475,1,1237,88,256,397,0,741,1978,
PINCKNEYVILLE M,Gwinnett,2673,342,657,440,0,1439,84,294,381,0,759,2198,
GARNERS D,Gwinnett,3490,90,275,201,0,566,241,920,595,0,1756,2322,
BERKSHIRE H,Gwinnett,1987,107,181,153,3,444,151,339,244,2,736,1180,
PINCKNEYVILLE O,Gwinnett,3359,107,251,116,1,475,287,779,344,5,1415,1890,
PUCKETTS E,Gwinnett,5660,296,1055,407,1,1759,235,1130,683,3,2051,3810,
CATES I,Gwinnett,3537,263,604,322,1,1190,187,799,530,1,1517,2707,
CATES J,Gwinnett,3478,243,443,304,1,991,186,801,515,2,1504,2495,
GOODWINS B,Gwinnett,3960,310,896,361,1,1568,205,629,508,0,1342,2910,
LAWRENCEVILLE F,Gwinnett,4061,175,327,167,1,670,291,1160,595,2,2048,2718,
MARTINS E,Gwinnett,6193,150,219,110,1,480,603,1420,680,5,2708,3188,
PINCKNEYVILLE P,Gwinnett,2185,173,267,243,0,683,180,382,356,2,920,1603,
PINCKNEYVILLE Q,Gwinnett,1915,75,75,42,1,193,274,420,215,2,911,1104,
ROCKBRIDGE C,Gwinnett,5125,135,332,201,2,670,288,1739,976,5,3008,3678,
ROCKBRIDGE D,Gwinnett,3642,71,369,202,0,642,201,1166,622,7,1996,2638,
GOODWINS C,Gwinnett,5804,305,608,359,1,1273,404,1223,865,0,2492,3765,
BAYCREEK K,Gwinnett,3824,165,672,365,0,1202,152,967,508,1,1628,2830,
CATES K,Gwinnett,2810,240,517,262,3,1022,162,545,355,0,1062,2084,
BAYCREEK C,Gwinnett,6499,322,1033,375,3,1733,357,1764,882,0,3003,4736,
CATES L,Gwinnett,4185,232,604,336,0,1172,254,951,549,3,1757,2929,
DULUTH E,Gwinnett,4814,212,536,248,1,997,408,1147,731,6,2292,3289,
GOODWINS D,Gwinnett,4406,392,651,315,1,1359,336,720,560,2,1618,2977,
LAWRENCEVILLE G,Gwinnett,3046,107,297,138,1,543,248,753,417,1,1419,1962,
LAWRENCEVILLE H,Gwinnett,4296,294,761,356,4,1415,232,843,576,2,1653,3068,
MARTINS F,Gwinnett,2570,136,152,109,2,399,240,479,335,3,1057,1456,
PINCKNEYVILLE S,Gwinnett,3374,186,338,251,1,776,330,590,402,5,1327,2103,
ROCKBRIDGE E,Gwinnett,4638,144,345,151,2,642,391,1152,734,2,2279,2921,
SUGAR HILL E,Gwinnett,3589,323,773,323,5,1424,155,644,376,2,1177,2601,
LAWRENCEVILLE I,Gwinnett,3312,209,378,214,0,801,268,644,411,2,1325,2126,
BAYCREEK D,Gwinnett,4609,297,860,359,0,1516,212,1041,606,0,1859,3375,
BERKSHIRE J,Gwinnett,2731,163,604,305,1,1073,111,528,401,1,1041,2114,
CATES M,Gwinnett,3988,279,889,474,1,1643,164,791,565,2,1522,3165,
CATES N,Gwinnett,2567,244,566,363,1,1174,125,375,279,0,779,1953,
DULUTH F,Gwinnett,6161,191,394,272,5,862,465,1403,908,16,2792,3654,
DULUTH G,Gwinnett,3067,292,528,346,1,1167,154,488,432,2,1076,2243,
GOODWINS E,Gwinnett,5491,423,863,431,1,1718,320,1022,739,1,2082,3800,
GOODWINS F,Gwinnett,3212,196,445,269,0,910,184,612,458,0,1254,2164,
PINCKNEYVILLE T,Gwinnett,3201,211,328,265,4,808,219,580,410,2,1211,2019,
SUWANEE B,Gwinnett,4656,254,1127,442,0,1823,122,952,582,0,1656,3479,
PINCKNEYVILLE U,Gwinnett,2090,200,206,147,0,553,221,405,283,5,914,1467,
PUCKETTS B,Gwinnett,3096,282,872,263,1,1418,119,490,279,0,888,2306,
BERKSHIRE L,Gwinnett,3265,162,252,160,0,574,328,696,431,1,1456,2030,
ROCKBRIDGE F,Gwinnett,5795,78,435,235,1,749,310,2151,843,5,3309,4058,
SUGAR HILL F,Gwinnett,4112,399,872,347,5,1623,200,601,463,2,1266,2889,
SUWANEE C,Gwinnett,5675,344,1064,528,6,1942,213,987,814,2,2016,3958,
CATES O,Gwinnett,1434,160,239,145,2,546,96,248,198,3,545,1091,
BAYCREEK E,Gwinnett,3265,195,445,195,1,836,212,741,415,4,1372,2208,
BERKSHIRE M,Gwinnett,1864,174,353,200,2,729,103,314,246,1,664,1393,
MARTINS G,Gwinnett,2425,124,193,103,0,420,265,507,279,1,1052,1472,
DULUTH H,Gwinnett,2813,168,458,319,2,947,147,453,473,2,1075,2022,
BERKSHIRE N,Gwinnett,3128,114,758,380,1,1253,89,624,480,0,1193,2446,
PINCKNEYVILLE V,Gwinnett,1706,105,197,112,1,415,113,337,193,1,644,1059,
PINCKNEYVILLE W,Gwinnett,4253,245,515,396,1,1157,259,769,557,6,1591,2748,
MARTINS H,Gwinnett,5037,237,505,365,8,1115,395,1053,669,6,2123,3238,
MARTINS I,Gwinnett,4078,168,362,216,3,749,358,791,525,2,1676,2425,
MARTINS J,Gwinnett,3923,155,236,121,4,516,461,929,502,6,1898,2414,
GARNERS F,Gwinnett,1796,112,347,163,1,623,99,339,248,2,688,1311,
BERKSHIRE O,Gwinnett,2589,183,519,308,0,1010,124,422,345,3,894,1904,
BERKSHIRE P,Gwinnett,1476,95,156,81,1,333,128,236,179,1,544,877,
PINCKNEYVILLE X,Gwinnett,3412,238,581,402,9,1230,172,595,593,8,1368,2598,
ROCKBRIDGE G,Gwinnett,5799,132,388,211,4,735,392,1857,925,12,3186,3921,
PINCKNEYVILLE Y,Gwinnett,3272,108,175,99,1,383,348,640,329,0,1317,1700,
GOODWINS G,Gwinnett,2661,142,267,97,3,509,255,581,357,1,1194,1703,
PINCKNEYVILLE Z,Gwinnett,1898,304,374,309,0,987,84,195,318,0,597,1584,
PINCKNEYVILLE A1,Gwinnett,2694,313,580,473,0,1366,87,347,447,0,881,2247,
LAWRENCEVILLE J,Gwinnett,2249,146,226,99,0,471,183,542,294,3,1022,1493,
GOODWINS H,Gwinnett,2796,211,480,199,1,891,169,543,364,1,1077,1968,
DUNCANS B,Gwinnett,5387,571,1656,497,3,2727,215,766,483,3,1467,4194,
SUWANEE D,Gwinnett,4732,436,1303,529,1,2269,161,711,595,1,1468,3737,
SUWANEE E,Gwinnett,4256,361,1107,470,2,1940,124,746,534,1,1405,3345,
LAWRENCEVILLE K,Gwinnett,3282,263,580,307,0,1150,176,640,461,0,1277,2427,
HARBINS B,Gwinnett,4845,320,1244,326,1,1891,207,885,423,3,1518,3409,
BAYCREEK F,Gwinnett,4608,239,560,236,6,1041,277,1345,649,6,2277,3318,
PUCKETTS C,Gwinnett,3367,263,879,243,1,1386,119,520,321,0,960,2346,
HOG MOUNTAIN C,Gwinnett,4292,344,932,332,0,1608,196,685,488,2,1371,2979,
ROCKYCREEK B,Gwinnett,5061,365,1234,388,0,1987,232,953,479,2,1666,3653,
DULUTH I,Gwinnett,5105,298,931,658,0,1887,183,743,873,1,1800,3687,
MARTINS K,Gwinnett,5352,212,397,278,1,888,471,1359,765,3,2598,3486,
SUWANEE H,Gwinnett,3785,326,1167,491,0,1984,112,537,416,1,1066,3050,
SUGAR HILL G,Gwinnett,2814,287,793,266,0,1346,76,386,356,1,819,2165,
SUWANEE F,Gwinnett,3966,297,775,338,2,1412,167,736,545,2,1450,2862,
LAWRENCEVILLE L,Gwinnett,4802,228,742,351,1,1322,273,1132,697,1,2103,3425,
LAWRENCEVILLE M,Gwinnett,7255,249,571,287,2,1109,522,2040,1034,6,3602,4711,
BAYCREEK G,Gwinnett,6241,272,777,316,0,1365,317,1940,875,1,3133,4498,
BAYCREEK H,Gwinnett,6811,359,1351,543,2,2255,336,1729,889,3,2957,5212,
BAYCREEK I,Gwinnett,5899,250,776,365,6,1397,321,1514,765,5,2605,4002,
BERKSHIRE Q,Gwinnett,1802,155,303,178,1,637,106,285,223,1,615,1252,
GOODWINS I,Gwinnett,2501,232,384,270,0,886,166,470,353,0,989,1875,
DULUTH K,Gwinnett,2786,76,162,88,1,327,228,552,301,1,1082,1409,
HARBINS C,Gwinnett,2850,373,618,198,2,1191,169,595,257,1,1022,2213,
ROCKYCREEK C,Gwinnett,4806,338,1191,365,0,1894,235,963,521,4,1723,3617,
LAWRENCEVILLE N,Gwinnett,2573,179,291,153,0,623,199,463,280,7,949,1572,
PUCKETTS D,Gwinnett,3622,258,958,363,3,1582,139,567,361,1,1068,2650,
SUWANEE G,Gwinnett,3904,301,734,284,0,1319,212,816,540,1,1569,2888,
BAYCREEK J,Gwinnett,4567,201,524,238,0,963,303,1279,646,5,2233,3196,
