Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
03A,Fulton,2230,10,20,8,3,41,146,387,227,17,777,2,2,2,1,7,825,
03B,Fulton,777,4,6,6,0,16,52,101,60,0,213,3,0,0,0,3,232,
03C,Fulton,1879,8,9,9,1,27,147,344,230,7,728,2,6,3,0,11,766,
03D,Fulton,1235,9,10,9,1,29,85,222,105,21,433,1,0,0,0,1,463,
03E,Fulton,2894,33,23,9,6,71,282,483,219,40,1024,4,5,4,2,15,1110,
03F,Fulton,2328,44,155,42,1,242,113,779,358,3,1253,1,5,2,0,8,1503,
03G,Fulton,1033,6,6,2,0,14,77,147,43,5,272,2,1,0,0,3,289,
03H,Fulton,1091,14,15,4,0,33,77,213,97,1,388,1,0,1,0,2,423,
03I,Fulton,1607,25,44,13,7,89,95,332,115,17,559,4,6,5,1,16,664,
03L,Fulton,748,10,3,3,0,16,66,98,42,0,206,1,1,0,0,2,224,
03M,Fulton,965,50,33,5,0,88,135,232,86,2,455,4,4,2,0,10,553,
03N,Fulton,2804,16,24,6,2,48,228,461,160,21,870,6,5,3,1,15,933,
03P1A,Fulton,4404,79,170,62,2,313,224,1346,533,15,2118,10,21,9,0,40,2471,
03P2,Fulton,23,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,7,
03S,Fulton,908,11,4,5,0,20,94,210,104,0,408,0,0,0,0,0,428,
03T,Fulton,1742,14,24,6,0,44,142,501,132,6,781,4,5,2,0,11,836,
04A,Fulton,1554,4,11,5,0,20,100,317,163,0,580,3,4,2,0,9,609,
04B,Fulton,2948,9,17,7,0,33,117,419,222,0,758,3,3,1,0,7,798,
04C,Fulton,150,1,0,0,0,1,10,28,12,1,51,0,0,0,0,0,52,
04D,Fulton,1736,11,18,4,0,33,153,452,202,5,812,4,7,1,0,12,857,
04F,Fulton,2786,31,69,13,1,114,175,756,205,9,1145,5,7,3,1,16,1275,
04G,Fulton,1025,8,5,5,1,19,113,196,79,0,388,2,1,1,0,4,411,
04I,Fulton,4604,13,35,22,1,71,74,455,234,6,769,2,4,3,0,9,849,
04J,Fulton,1617,5,2,2,0,9,43,109,19,12,183,0,1,2,1,4,196,
04K,Fulton,2736,22,27,16,2,67,184,717,359,13,1273,3,5,3,1,12,1352,
04L,Fulton,2014,23,22,15,0,60,154,568,201,6,929,5,1,0,0,6,995,
04M,Fulton,979,4,6,5,0,15,101,154,68,5,328,1,2,0,0,3,346,
04S,Fulton,2541,20,16,10,2,48,262,620,310,6,1198,4,6,3,1,14,1260,
04T,Fulton,1297,11,21,5,3,40,128,335,161,19,643,2,2,2,1,7,690,
04V,Fulton,3573,37,21,10,1,69,349,699,237,3,1288,5,7,2,0,14,1371,
04W,Fulton,3365,0,0,1,1,2,57,134,28,6,225,1,0,0,0,1,228,
04X1,Fulton,2283,20,30,11,0,61,153,607,273,2,1035,3,1,1,0,5,1101,
04X2,Fulton,846,9,19,2,0,30,53,227,100,0,380,1,6,3,0,10,420,
05A1,Fulton,2936,46,124,38,0,208,104,1239,628,2,1973,9,14,8,0,31,2212,
05A2,Fulton,3343,37,133,44,3,217,127,1421,627,10,2185,4,18,4,0,26,2428,
05B,Fulton,2171,24,27,16,1,68,163,621,269,2,1055,3,5,0,0,8,1131,
05C,Fulton,135,1,3,1,0,5,4,26,8,0,38,1,0,0,0,1,44,
05D,Fulton,541,4,2,0,0,6,19,56,8,2,85,0,1,1,0,2,93,
05F,Fulton,248,5,7,0,1,13,20,85,25,0,130,0,0,0,0,0,143,
05J,Fulton,684,9,27,12,0,48,33,262,126,1,422,2,7,3,0,12,482,
05K,Fulton,2826,25,68,24,2,119,135,694,265,3,1097,2,14,6,0,22,1238,
06B,Fulton,1889,51,129,42,2,224,65,757,404,5,1231,1,10,3,1,15,1470,
06D,Fulton,6160,109,472,314,2,897,273,2061,2048,15,4397,11,21,28,0,60,5354,
06D1,Fulton,2539,52,202,43,2,299,55,954,166,3,1178,1,11,5,0,17,1494,
06D2,Fulton,850,16,80,12,0,108,16,311,53,0,380,2,4,3,1,10,498,
06E,Fulton,2344,50,153,61,5,269,98,818,419,2,1337,5,8,9,0,22,1628,
06F,Fulton,2841,41,206,54,5,306,103,1100,520,3,1726,7,18,9,0,34,2066,
06G,Fulton,588,12,40,13,0,65,14,217,123,1,355,1,3,5,0,9,429,
06I,Fulton,4072,92,177,53,7,329,243,1344,540,15,2142,15,15,12,2,44,2515,
06J,Fulton,2770,46,198,85,0,329,73,1036,785,0,1894,7,15,8,0,30,2253,
06L1,Fulton,991,24,96,42,0,162,27,366,232,3,628,2,6,2,0,10,800,
06L2,Fulton,726,29,100,30,0,159,18,247,144,1,410,3,0,6,0,9,578,
06N,Fulton,1770,54,224,69,4,351,63,448,289,8,808,3,7,11,0,21,1180,
06Q,Fulton,571,7,8,5,2,22,47,210,63,4,324,1,0,1,0,2,348,
06R,Fulton,2015,34,157,66,4,261,50,651,391,0,1092,4,6,3,0,13,1366,
07A,Fulton,7691,334,1262,426,8,2030,312,1842,1170,17,3341,9,38,19,0,66,5437,
07B,Fulton,2952,158,845,277,0,1280,69,603,481,1,1154,5,14,10,0,29,2463,
07C,Fulton,4512,163,657,438,8,1266,141,928,869,7,1945,6,7,12,1,26,3237,
07D,Fulton,4879,188,821,189,13,1211,185,1228,588,19,2020,10,21,7,0,38,3269,
07E,Fulton,2247,53,316,138,3,510,48,614,526,4,1192,5,11,6,0,22,1724,
07F,Fulton,3790,157,650,221,26,1054,121,1051,608,10,1790,5,24,6,0,35,2879,
07H,Fulton,2060,87,402,132,0,621,59,559,407,0,1025,3,6,3,0,12,1658,
07J,Fulton,3041,104,448,149,6,707,118,904,509,6,1537,8,8,11,1,28,2272,
07M,Fulton,2401,71,295,86,0,452,109,551,379,0,1039,5,11,4,0,20,1511,
07N,Fulton,2139,39,133,54,2,228,113,603,358,7,1081,6,4,5,0,15,1324,
08A,Fulton,3084,149,681,236,4,1070,108,795,397,6,1306,5,9,12,0,26,2402,
08B,Fulton,3498,131,918,247,2,1298,80,883,481,0,1444,9,23,16,0,48,2790,
08C,Fulton,1500,55,490,146,0,691,26,281,199,0,506,0,3,2,0,5,1202,
08D,Fulton,1073,36,372,97,12,517,8,191,157,7,363,1,2,6,0,9,889,
08E,Fulton,2568,104,741,231,3,1079,51,566,468,0,1085,2,8,11,0,21,2185,
08F1,Fulton,2187,102,662,190,2,956,42,524,323,2,891,2,14,5,0,21,1868,
08G,Fulton,3086,102,436,199,0,737,100,619,541,5,1265,9,11,11,0,31,2033,
08H,Fulton,2556,90,654,224,3,971,42,574,483,0,1099,5,6,1,0,12,2082,
08J,Fulton,3344,125,648,177,5,955,106,1076,444,4,1630,11,26,10,0,47,2632,
08K,Fulton,1049,54,151,42,0,247,40,330,200,0,570,5,8,6,0,19,836,
08L,Fulton,4505,135,607,167,5,914,158,1334,802,16,2310,16,32,23,0,71,3295,
08M,Fulton,2295,127,628,182,5,942,70,483,284,2,839,5,9,7,0,21,1802,
08N1,Fulton,824,25,219,73,1,318,11,194,131,2,338,3,10,2,0,15,671,
08N2,Fulton,1616,44,271,136,1,452,49,411,294,2,756,2,6,3,0,11,1219,
08P,Fulton,1887,39,95,47,5,186,108,608,224,6,946,4,9,4,0,17,1149,
09A,Fulton,3856,73,424,95,3,595,148,1367,576,7,2098,11,36,16,0,63,2756,
09B,Fulton,464,3,2,2,0,7,27,80,68,0,175,0,2,0,0,2,184,
09C,Fulton,3353,18,37,12,0,67,252,856,469,24,1601,7,5,7,2,21,1689,
09D,Fulton,2299,13,17,18,0,48,213,437,290,9,949,5,3,1,0,9,1006,
09E,Fulton,3261,26,75,20,2,123,249,931,330,4,1514,12,7,2,0,21,1658,
09F,Fulton,3917,113,708,204,4,1029,112,1170,633,2,1917,2,22,16,1,41,2987,
09G,Fulton,3943,115,306,113,4,538,186,1406,626,10,2228,7,28,16,1,52,2818,
09H,Fulton,1185,16,43,16,0,75,68,396,159,1,624,4,7,3,0,14,713,
09I,Fulton,1397,14,16,5,0,35,132,255,174,2,563,3,3,1,0,7,605,
09K,Fulton,4002,22,53,12,0,87,251,858,478,11,1598,8,14,5,0,27,1712,
09K1,Fulton,1518,10,19,3,0,32,102,309,40,2,453,2,2,0,0,4,489,
09M,Fulton,2578,35,201,43,0,279,89,1148,354,0,1591,6,20,8,0,34,1904,
10A,Fulton,3186,15,39,18,0,72,231,948,529,16,1724,3,3,8,0,14,1810,
10B,Fulton,3965,25,44,24,3,96,215,1478,891,8,2592,5,11,3,0,19,2707,
10C,Fulton,2598,19,18,14,1,52,121,698,319,15,1153,5,4,2,0,11,1216,
10D,Fulton,4968,44,39,18,20,121,280,1146,554,137,2117,10,9,3,2,24,2262,
10E,Fulton,1084,6,18,7,0,31,92,291,182,4,569,0,1,1,0,2,602,
10F,Fulton,1208,10,16,4,1,31,121,300,203,14,638,1,6,1,0,8,677,
10G,Fulton,1332,10,18,10,0,38,94,508,238,4,844,3,3,0,0,6,888,
10H1,Fulton,439,3,2,1,2,8,23,154,81,11,269,2,1,0,1,4,281,
10H2,Fulton,2623,14,24,12,0,50,163,556,349,15,1083,3,1,2,0,6,1139,
10I,Fulton,331,4,6,0,0,10,13,159,92,0,264,0,0,0,0,0,274,
10J,Fulton,1238,10,6,7,1,24,146,191,128,14,479,3,1,1,1,6,509,
10K,Fulton,1614,13,30,4,0,47,97,560,310,5,972,5,5,3,0,13,1032,
10M,Fulton,2880,14,32,24,0,70,232,857,429,13,1531,11,6,3,1,21,1622,
10P,Fulton,1607,11,12,7,1,31,140,336,241,3,720,0,2,1,1,4,755,
10R,Fulton,928,6,13,2,1,22,96,193,84,12,385,2,2,0,1,5,412,
11B,Fulton,4395,19,34,20,4,77,331,1344,853,29,2557,2,6,1,2,11,2645,
11B1,Fulton,894,12,10,2,0,24,66,291,28,7,392,0,1,0,0,1,417,
11C,Fulton,3149,13,31,9,0,53,156,1338,589,12,2095,1,13,1,1,16,2164,
11E1,Fulton,1340,17,13,4,3,37,110,394,165,19,688,2,1,2,0,5,730,
11E2,Fulton,1003,10,10,4,0,24,73,344,160,4,581,0,1,2,0,3,608,
11E3,Fulton,3605,19,35,7,3,64,260,1361,352,15,1988,6,6,1,0,13,2065,
11G,Fulton,2556,8,26,14,3,51,114,495,323,25,957,2,1,1,4,8,1016,
11H,Fulton,753,9,8,8,1,26,46,185,135,6,372,2,2,1,0,5,403,
11J,Fulton,2092,17,14,5,0,36,174,523,347,24,1068,2,6,1,1,10,1114,
11K,Fulton,2045,13,25,10,5,53,132,621,397,8,1158,5,3,4,1,13,1224,
11M,Fulton,1380,13,12,6,0,31,95,568,363,11,1037,0,2,0,0,2,1070,
11M1,Fulton,2190,11,26,1,1,39,132,520,54,27,733,3,6,0,1,10,782,
11N,Fulton,2431,18,28,22,2,70,182,812,444,2,1440,4,5,3,0,12,1522,
11P,Fulton,2095,7,20,11,1,39,128,550,395,15,1088,2,2,3,1,8,1135,
11R,Fulton,2253,8,22,6,1,37,118,451,235,5,809,2,4,2,0,8,854,
12A,Fulton,4971,44,97,35,3,179,272,1610,758,23,2663,4,23,7,2,36,2878,
12A1,Fulton,690,8,8,4,0,20,35,308,20,8,371,4,6,0,1,11,402,
12D,Fulton,1408,10,15,5,0,30,98,345,141,2,586,3,6,0,0,9,625,
12E1,Fulton,1906,9,25,29,1,64,122,299,246,4,671,0,1,2,0,3,738,
12F,Fulton,1229,10,15,4,0,29,108,294,92,2,496,2,4,0,0,6,531,
12G,Fulton,885,4,8,13,0,25,58,188,184,1,431,0,0,0,0,0,456,
12H1,Fulton,1170,10,12,8,2,32,91,169,73,13,346,3,2,1,0,6,384,
12H2,Fulton,2998,13,20,10,0,43,276,702,400,11,1389,8,2,1,0,11,1443,
12I,Fulton,1079,8,8,2,4,22,54,242,155,40,491,2,1,1,2,6,519,
12J,Fulton,3154,27,37,12,2,78,243,708,342,34,1327,4,3,7,1,15,1420,
12K,Fulton,3620,17,60,24,4,105,190,942,371,9,1512,7,11,6,0,24,1641,
12L,Fulton,774,2,10,4,2,18,57,137,71,3,268,1,0,0,0,1,287,
12M,Fulton,2990,35,22,8,4,69,345,635,312,20,1312,5,8,3,0,16,1397,
12N,Fulton,1134,6,7,5,0,18,89,216,83,14,402,1,3,1,0,5,425,
12S,Fulton,2079,14,16,9,1,40,162,575,245,14,996,1,5,3,0,9,1045,
AP01A,Fulton,5236,178,1275,410,1,1864,117,1266,808,4,2195,11,24,15,0,50,4109,
AP01B,Fulton,1281,51,255,91,3,400,44,282,155,5,486,4,12,3,2,21,907,
AP01C,Fulton,2409,81,646,145,7,879,58,564,351,5,978,4,22,11,0,37,1894,
AP01D,Fulton,1015,31,183,64,0,278,35,218,139,0,392,4,8,7,0,19,689,
AP021,Fulton,3408,164,878,224,0,1266,105,822,360,4,1291,8,19,10,1,38,2595,
AP022,Fulton,2507,88,504,186,0,778,100,517,383,0,1000,2,9,7,0,18,1796,
AP02B,Fulton,677,30,87,81,5,203,9,134,133,4,280,1,3,2,0,6,489,
AP03,Fulton,775,31,56,13,1,101,73,187,60,5,325,1,0,2,1,4,430,
AP04A,Fulton,1760,74,485,200,5,764,46,369,239,4,658,7,11,12,0,30,1452,
AP04B,Fulton,473,38,142,23,2,205,9,119,61,4,193,1,3,1,0,5,403,
AP05,Fulton,4776,271,1184,398,4,1857,105,1084,729,9,1927,7,19,12,0,38,3822,
AP06,Fulton,1967,118,612,148,10,888,41,399,248,6,694,3,11,6,0,20,1602,
AP07A,Fulton,3910,178,887,291,14,1370,125,821,508,10,1464,8,16,9,4,37,2871,
AP07B,Fulton,1882,79,499,167,10,755,59,458,241,10,768,1,9,1,0,11,1534,
AP09A,Fulton,4437,203,983,315,7,1508,144,1096,688,5,1933,16,15,14,0,45,3486,
AP09B,Fulton,925,32,162,44,0,238,26,253,172,2,453,3,9,3,0,15,706,
AP10,Fulton,992,46,323,84,23,476,25,190,110,18,343,3,6,5,0,14,833,
AP12A,Fulton,746,29,116,37,3,185,39,180,86,15,320,0,6,0,0,6,511,
AP12B,Fulton,947,30,98,68,5,201,48,224,131,3,406,2,5,1,1,9,616,
AP12C,Fulton,2367,96,671,179,9,955,63,493,228,8,792,4,9,1,0,14,1761,
AP14,Fulton,3232,98,825,233,5,1161,74,776,564,5,1419,5,20,11,0,36,2616,
CH01,Fulton,376,14,29,17,1,61,9,101,37,3,150,0,3,1,0,4,215,
CH02,Fulton,338,34,80,37,0,151,14,50,32,0,96,1,2,0,0,3,250,
CH03,Fulton,410,54,118,36,0,208,13,62,23,0,98,1,1,1,0,3,309,
CH04A,Fulton,825,45,217,59,0,321,16,227,102,0,345,2,3,2,0,7,673,
CH05,Fulton,429,47,142,51,0,240,8,46,36,0,90,0,1,2,0,3,333,
CP011,Fulton,1353,23,90,27,3,143,76,370,157,7,610,7,8,3,0,18,771,
CP012,Fulton,1469,8,108,26,1,143,79,493,208,6,786,5,4,5,0,14,943,
CP01B,Fulton,422,6,45,13,0,64,20,124,43,1,188,2,3,1,0,6,258,
CP02,Fulton,1208,17,45,18,0,80,69,351,165,1,586,5,6,2,0,13,679,
CP04A,Fulton,13,0,1,1,0,2,0,2,0,0,2,0,0,0,0,0,4,
CP04B,Fulton,38,0,1,2,0,3,2,7,7,0,16,0,0,0,0,0,19,
CP051,Fulton,1756,11,24,8,0,43,140,526,255,0,921,2,4,1,0,7,971,
CP05B,Fulton,153,2,2,1,0,5,18,40,10,4,72,0,0,0,0,0,77,
CP06A,Fulton,732,4,6,3,1,14,48,130,36,0,214,3,2,1,0,6,234,
CP07B,Fulton,7,0,1,0,0,1,2,1,0,0,3,0,0,0,0,0,4,
CP07C,Fulton,323,0,1,0,0,1,18,43,10,0,71,0,1,0,0,1,73,
CP07D,Fulton,790,4,4,3,0,11,60,128,37,0,225,0,3,2,0,5,241,
CP07E,Fulton,127,0,1,0,0,1,19,19,3,0,41,0,0,0,0,0,42,
CP07F,Fulton,266,0,2,1,0,3,23,35,3,0,61,0,0,0,0,0,64,
CP081,Fulton,373,6,1,0,0,7,31,54,16,5,106,0,1,0,0,1,114,
CP083,Fulton,240,0,0,0,0,0,13,20,3,0,36,0,1,0,0,1,37,
CP084,Fulton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CP08A,Fulton,756,5,1,0,0,6,62,86,29,0,177,1,0,0,0,1,184,
EP01A,Fulton,2978,32,95,40,1,168,167,941,336,18,1462,5,13,2,0,20,1650,
EP01B,Fulton,3473,32,79,34,1,146,194,933,454,10,1591,5,8,5,0,18,1755,
EP02A,Fulton,2407,12,37,18,3,70,157,551,316,18,1042,1,0,1,0,2,1114,
EP02B,Fulton,1679,19,98,37,0,154,82,612,287,1,982,4,3,6,0,13,1149,
EP02C,Fulton,522,7,28,13,0,48,14,183,64,0,261,1,2,2,0,5,314,
EP02D,Fulton,420,3,6,3,0,12,29,155,49,0,233,0,1,0,0,1,246,
EP02E,Fulton,1668,6,35,11,0,52,103,429,165,0,697,3,8,3,0,14,763,
EP03A,Fulton,4925,48,75,54,1,178,291,1544,830,9,2674,5,17,2,0,24,2876,
EP03B,Fulton,1547,9,42,10,0,61,69,596,350,5,1020,2,3,1,1,7,1088,
EP04A,Fulton,5020,35,42,27,0,104,506,1330,677,37,2550,8,11,2,0,21,2675,
EP04B,Fulton,2624,13,32,10,2,57,147,1059,277,7,1490,0,5,3,0,8,1555,
EP04C,Fulton,1318,0,14,1,1,16,0,395,42,4,441,0,1,0,0,1,458,
FA01A,Fulton,4032,51,176,72,1,300,213,1389,605,16,2223,5,7,6,0,18,2541,
FA01B,Fulton,5860,4,235,105,1,345,27,2218,835,7,3087,1,16,5,1,23,3455,
FA01C,Fulton,769,6,20,6,0,32,59,279,106,1,445,0,6,3,0,9,486,
FA01D,Fulton,321,2,9,2,3,16,19,121,6,13,159,0,0,0,1,1,176,
FC01,Fulton,325,4,4,2,0,10,20,126,26,3,175,0,1,0,0,1,186,
FC02,Fulton,585,6,5,3,0,14,11,26,6,3,46,0,0,0,0,0,60,
FC03,Fulton,17,0,1,0,0,1,1,7,0,8,16,0,0,0,0,0,17,
HP01,Fulton,3824,154,301,100,1,556,270,899,446,7,1622,7,11,8,0,26,2204,
JC01,Fulton,4128,192,729,271,5,1197,135,1130,967,6,2238,6,11,9,1,27,3462,
JC01A,Fulton,1738,100,235,38,3,376,80,465,116,3,664,1,2,1,0,4,1044,
JC02,Fulton,3001,132,529,234,2,897,104,657,541,4,1306,4,6,7,0,17,2220,
JC03A,Fulton,594,34,136,26,2,198,16,201,63,3,283,0,3,2,0,5,486,
JC03B,Fulton,1616,81,299,65,0,445,70,440,267,0,777,3,14,4,0,21,1243,
JC04A,Fulton,3177,92,771,197,10,1070,49,904,560,9,1522,0,14,6,0,20,2612,
JC04B,Fulton,334,9,49,22,0,80,4,96,49,0,149,1,0,0,0,1,230,
JC04C,Fulton,1251,43,264,54,0,361,22,350,224,0,596,2,8,11,0,21,978,
JC05,Fulton,2350,100,491,107,2,700,63,661,328,2,1054,7,12,10,0,29,1783,
JC06,Fulton,2840,153,581,229,4,967,121,551,418,4,1094,10,8,5,0,23,2084,
JC07,Fulton,4670,146,922,315,20,1403,104,1174,852,15,2145,8,14,16,0,38,3586,
JC08,Fulton,2931,111,718,183,1,1013,73,759,431,4,1267,4,15,9,0,28,2308,
JC09,Fulton,3250,133,618,192,4,947,111,828,485,2,1426,12,15,4,0,31,2404,
JC10,Fulton,2641,111,445,159,10,725,88,712,436,10,1246,5,15,6,1,27,1998,
JC11,Fulton,3497,177,920,267,0,1364,104,744,466,0,1314,11,13,9,0,33,2711,
JC12,Fulton,2832,99,888,338,3,1328,35,467,402,3,907,1,17,8,0,26,2261,
JC13A,Fulton,2317,89,769,208,1,1067,46,437,284,1,768,2,9,2,0,13,1848,
JC13B,Fulton,282,8,115,32,1,156,2,45,29,0,76,0,2,1,0,3,235,
JC14,Fulton,2608,83,771,185,1,1040,57,625,358,2,1042,1,12,8,0,21,2103,
JC15,Fulton,959,34,185,47,0,266,35,277,118,0,430,3,4,3,0,10,706,
JC16,Fulton,2707,132,683,161,0,976,62,663,382,1,1108,6,15,6,0,27,2111,
JC18,Fulton,2857,86,848,216,1,1151,62,684,398,2,1146,7,17,10,0,34,2331,
JC19,Fulton,4174,120,987,250,5,1362,96,1030,659,9,1794,9,33,17,0,59,3215,
ML01A,Fulton,2795,141,885,189,21,1236,68,688,309,13,1078,7,19,10,2,38,2352,
ML01B,Fulton,708,42,238,66,0,346,10,121,75,0,206,0,3,4,0,7,559,
ML02A,Fulton,2580,231,929,234,3,1397,80,329,270,0,679,9,11,8,0,28,2104,
ML02B,Fulton,1914,130,632,197,1,960,52,323,192,1,568,5,13,8,0,26,1554,
ML03,Fulton,3718,240,1270,387,5,1902,90,635,387,2,1114,14,15,6,0,35,3051,
ML03A,Fulton,301,15,114,15,2,146,4,49,11,0,64,0,1,0,0,1,211,
ML04,Fulton,3322,207,1024,325,20,1576,74,626,364,11,1075,6,13,9,1,29,2680,
ML05,Fulton,4843,253,1170,359,12,1794,140,1051,676,2,1869,10,18,4,0,32,3695,
ML06A,Fulton,2181,101,256,84,5,446,98,597,241,3,939,4,8,5,1,18,1403,
ML06B,Fulton,3119,127,506,138,3,774,132,821,476,2,1431,6,17,5,0,28,2233,
ML07A,Fulton,836,120,218,73,0,411,23,133,79,0,235,1,2,6,0,9,655,
ML07B,Fulton,1675,217,471,153,0,841,54,262,159,1,476,1,9,5,0,15,1332,
MP01,Fulton,472,121,34,21,4,180,91,37,59,2,189,5,0,2,0,7,376,
PA01,Fulton,3006,55,225,126,5,411,172,868,339,14,1393,3,18,5,0,26,1830,
RW01,Fulton,5010,193,1455,619,9,2276,88,1003,833,4,1928,11,23,15,1,50,4254,
RW02,Fulton,4061,212,979,324,8,1523,118,928,684,7,1737,24,28,18,0,70,3330,
RW03,Fulton,5041,232,834,272,9,1347,210,1130,692,6,2038,13,20,10,1,44,3429,
RW04,Fulton,1861,65,454,131,0,650,36,504,342,1,883,2,11,7,0,20,1553,
RW05,Fulton,2910,111,368,133,3,615,190,665,354,11,1220,4,11,12,1,28,1863,
RW06,Fulton,3071,151,630,153,0,934,91,805,431,8,1335,10,22,11,0,43,2312,
RW07A,Fulton,1773,49,78,18,0,145,188,407,157,2,754,3,11,1,0,15,914,
RW07B,Fulton,449,20,35,13,6,74,45,85,59,14,203,7,2,0,0,9,286,
RW08,Fulton,2429,145,554,303,6,1008,67,387,365,4,823,4,8,14,0,26,1857,
RW09,Fulton,4450,262,1362,603,2,2229,86,776,777,2,1641,18,15,19,0,52,3922,
RW09A,Fulton,1892,122,617,56,7,802,42,362,86,1,491,7,10,2,0,19,1312,
RW10,Fulton,3653,182,1028,384,5,1599,57,742,541,7,1347,14,26,15,0,55,3001,
RW11A,Fulton,2865,135,553,207,5,900,114,590,444,6,1154,5,17,4,0,26,2080,
RW12,Fulton,3899,275,1087,485,2,1849,100,799,822,2,1723,12,20,17,0,49,3621,
RW12A,Fulton,2458,129,606,79,4,818,79,531,111,3,724,4,15,3,0,22,1564,
RW13,Fulton,3764,200,870,254,5,1329,142,943,494,4,1583,14,26,17,0,57,2969,
RW16,Fulton,2101,117,567,170,2,856,50,472,278,4,804,4,13,8,0,25,1685,
RW17,Fulton,3100,148,484,131,2,765,154,793,400,4,1351,11,31,11,0,53,2169,
RW19,Fulton,2147,115,650,184,1,950,54,450,296,1,801,12,12,6,0,30,1781,
RW20,Fulton,2701,75,750,214,6,1045,52,694,371,2,1119,4,21,4,0,29,2193,
