Precinct,County,Registered Voters,"Patrick """"Pat"""" Labat (Dem)_Election Day Votes","Patrick """"Pat"""" Labat (Dem)_Advanced Voting Votes","Patrick """"Pat"""" Labat (Dem)_Absentee by Mail Votes","Patrick """"Pat"""" Labat (Dem)_Provisional Votes","Patrick """"Pat"""" Labat (Dem)_Choice Total",Total,
09C,Fulton,3353,255,865,456,22,1598,1598,
09D,Fulton,2299,221,436,287,8,952,952,
09E,Fulton,3261,269,941,315,2,1527,1527,
09F,Fulton,3917,169,1490,650,4,2313,2313,
09G,Fulton,3943,234,1518,619,9,2380,2380,
09H,Fulton,1185,79,414,151,1,645,645,
09I,Fulton,1397,135,250,174,2,561,561,
09K,Fulton,4002,263,864,466,11,1604,1604,
09K1,Fulton,1518,111,314,37,1,463,463,
09M,Fulton,2578,107,1223,345,0,1675,1675,
10A,Fulton,3186,235,934,521,14,1704,1704,
10B,Fulton,3965,231,1478,849,10,2568,2568,
10C,Fulton,2598,138,687,315,13,1153,1153,
10D,Fulton,4968,307,1131,541,144,2123,2123,
10E,Fulton,1084,96,300,186,3,585,585,
10F,Fulton,1208,114,301,198,13,626,626,
10G,Fulton,1332,98,507,231,2,838,838,
10H1,Fulton,439,30,148,77,13,268,268,
10H2,Fulton,2623,170,546,336,13,1065,1065,
10I,Fulton,331,12,154,90,0,256,256,
10J,Fulton,1238,148,181,128,12,469,469,
10K,Fulton,1614,108,547,293,5,953,953,
10M,Fulton,2880,244,852,412,12,1520,1520,
10P,Fulton,1607,147,331,224,4,706,706,
10R,Fulton,928,96,198,81,14,389,389,
11B,Fulton,4395,342,1325,822,33,2522,2522,
11B1,Fulton,894,70,284,28,5,387,387,
11C,Fulton,3149,161,1336,575,11,2083,2083,
11E1,Fulton,1340,121,392,163,16,692,692,
11E2,Fulton,1003,75,336,159,4,574,574,
11E3,Fulton,3605,267,1352,340,17,1976,1976,
11G,Fulton,2556,117,467,315,27,926,926,
11H,Fulton,753,51,187,136,7,381,381,
11J,Fulton,2092,181,500,305,22,1008,1008,
11K,Fulton,2045,139,606,375,11,1131,1131,
11M,Fulton,1380,101,563,343,6,1013,1013,
11M1,Fulton,2190,138,521,53,25,737,737,
11N,Fulton,2431,197,803,428,2,1430,1430,
11P,Fulton,2095,129,540,386,12,1067,1067,
11R,Fulton,2253,118,442,225,6,791,791,
12A,Fulton,4971,286,1613,734,19,2652,2652,
12A1,Fulton,690,41,301,20,8,370,370,
12D,Fulton,1408,105,350,134,2,591,591,
12E1,Fulton,1906,119,296,227,3,645,645,
12F,Fulton,1229,109,293,90,1,493,493,
12G,Fulton,885,56,182,180,1,419,419,
12H1,Fulton,1170,99,171,76,12,358,358,
12H2,Fulton,2998,276,683,382,7,1348,1348,
12I,Fulton,1079,56,223,146,42,467,467,
12J,Fulton,3154,255,696,323,31,1305,1305,
12K,Fulton,3620,200,928,348,9,1485,1485,
12L,Fulton,774,55,135,69,3,262,262,
12M,Fulton,2990,360,633,298,20,1311,1311,
12N,Fulton,1134,92,215,83,12,402,402,
12S,Fulton,2079,164,562,239,13,978,978,
AP01A,Fulton,5236,218,1836,919,3,2976,2976,
AP01B,Fulton,1281,73,395,181,6,655,655,
AP01C,Fulton,2409,97,862,390,7,1356,1356,
AP01D,Fulton,1015,52,299,165,0,516,516,
AP021,Fulton,3408,205,1178,414,3,1800,1800,
AP022,Fulton,2507,137,720,432,0,1289,1289,
AP02B,Fulton,677,23,161,152,5,341,341,
AP03,Fulton,775,84,217,65,5,371,371,
AP04A,Fulton,1760,87,584,299,8,978,978,
AP04B,Fulton,473,30,196,61,4,291,291,
AP05,Fulton,4776,219,1590,810,9,2628,2628,
AP06,Fulton,1967,90,666,276,10,1042,1042,
AP07A,Fulton,3910,203,1189,561,15,1968,1968,
AP07B,Fulton,1882,81,663,284,13,1041,1041,
AP09A,Fulton,4437,248,1495,738,6,2487,2487,
AP09B,Fulton,925,46,324,181,2,553,553,
AP10,Fulton,992,47,328,132,25,532,532,
AP12A,Fulton,746,56,234,96,16,402,402,
AP12B,Fulton,947,63,253,138,4,458,458,
AP12C,Fulton,2367,112,749,264,12,1137,1137,
AP14,Fulton,3232,121,1182,623,5,1931,1931,
CH01,Fulton,376,12,116,41,4,173,173,
CH02,Fulton,338,33,75,44,0,152,152,
CH03,Fulton,410,29,96,34,0,159,159,
CH04A,Fulton,825,42,282,105,0,429,429,
CH05,Fulton,429,29,81,45,0,155,155,
CP011,Fulton,1353,92,409,157,6,664,664,
CP012,Fulton,1469,84,530,208,5,827,827,
CP01B,Fulton,422,20,140,47,0,207,207,
CP02,Fulton,1208,76,357,161,1,595,595,
CP04A,Fulton,13,0,3,0,0,3,3,
CP04B,Fulton,38,2,7,9,0,18,18,
CP051,Fulton,1756,147,539,245,0,931,931,
CP05B,Fulton,153,19,39,9,4,71,71,
CP06A,Fulton,732,52,129,38,1,220,220,
CP07B,Fulton,7,2,2,0,0,4,4,
CP07C,Fulton,323,18,46,10,0,74,74,
CP07D,Fulton,790,63,130,37,0,230,230,
CP07E,Fulton,127,19,19,3,0,41,41,
CP07F,Fulton,266,23,36,6,0,65,65,
CP081,Fulton,373,32,54,15,3,104,104,
CP083,Fulton,240,11,19,3,0,33,33,
CP084,Fulton,1,0,0,0,0,0,0,
CP08A,Fulton,756,64,86,27,0,177,177,
EP01A,Fulton,2978,183,966,339,14,1502,1502,
EP01B,Fulton,3473,218,940,439,9,1606,1606,
EP02A,Fulton,2407,158,547,310,21,1036,1036,
EP02B,Fulton,1679,92,629,286,1,1008,1008,
EP02C,Fulton,522,17,194,65,0,276,276,
EP02D,Fulton,420,30,158,48,0,236,236,
EP02E,Fulton,1668,103,438,157,0,698,698,
EP03A,Fulton,4925,319,1549,816,6,2690,2690,
EP03B,Fulton,1547,79,597,338,4,1018,1018,
EP04A,Fulton,5020,536,1321,660,31,2548,2548,
EP04B,Fulton,2624,149,1065,272,8,1494,1494,
EP04C,Fulton,1318,0,395,38,4,437,437,
FA01A,Fulton,4032,240,1453,605,16,2314,2314,
FA01B,Fulton,5860,29,2284,848,8,3169,3169,
FA01C,Fulton,769,62,296,105,1,464,464,
FA01D,Fulton,321,18,122,8,14,162,162,
FC01,Fulton,325,21,131,25,2,179,179,
FC02,Fulton,585,14,28,8,2,52,52,
FC03,Fulton,17,0,8,0,7,15,15,
HP01,Fulton,3824,330,988,458,5,1781,1781,
JC01,Fulton,4128,229,1434,1013,6,2682,2682,
JC01A,Fulton,1738,133,548,124,5,810,810,
JC02,Fulton,3001,162,884,577,6,1629,1629,
JC03A,Fulton,594,28,258,72,1,359,359,
JC03B,Fulton,1616,111,572,279,0,962,962,
JC04A,Fulton,3177,93,1238,586,11,1928,1928,
JC04B,Fulton,334,9,113,51,0,173,173,
JC04C,Fulton,1251,43,490,251,0,784,784,
JC05,Fulton,2350,125,858,352,4,1339,1339,
JC06,Fulton,2840,192,766,458,4,1420,1420,
JC07,Fulton,4670,169,1567,898,23,2657,2657,
JC08,Fulton,2931,129,1074,498,4,1705,1705,
JC09,Fulton,3250,183,1114,543,3,1843,1843,
JC10,Fulton,2641,139,885,483,11,1518,1518,
JC11,Fulton,3497,209,1115,515,0,1839,1839,
JC12,Fulton,2832,72,823,464,4,1363,1363,
JC13A,Fulton,2317,90,731,316,1,1138,1138,
JC13B,Fulton,282,4,98,36,1,139,139,
JC14,Fulton,2608,96,958,391,2,1447,1447,
JC15,Fulton,959,53,353,135,0,541,541,
JC16,Fulton,2707,133,973,414,1,1521,1521,
JC18,Fulton,2857,103,1012,443,3,1561,1561,
JC19,Fulton,4174,160,1442,696,13,2311,2311,
ML01A,Fulton,2795,143,1076,376,25,1620,1620,
ML01B,Fulton,708,35,232,94,0,361,361,
ML02A,Fulton,2580,178,706,329,2,1215,1215,
ML02B,Fulton,1914,104,596,244,1,945,945,
ML03,Fulton,3718,226,1148,496,5,1875,1875,
ML03A,Fulton,301,13,95,14,0,122,122,
ML04,Fulton,3322,171,1061,426,21,1679,1679,
ML05,Fulton,4843,273,1531,747,9,2560,2560,
ML06A,Fulton,2181,155,704,252,5,1116,1116,
ML06B,Fulton,3119,188,1046,500,3,1737,1737,
ML07A,Fulton,836,86,228,109,0,423,423,
ML07B,Fulton,1675,155,442,214,1,812,812,
MP01,Fulton,472,149,44,59,5,257,257,
PA01,Fulton,3006,202,938,366,15,1521,1521,
RW01,Fulton,5010,176,1580,996,11,2763,2763,
RW02,Fulton,4061,215,1336,757,9,2317,2317,
RW03,Fulton,5041,347,1472,746,8,2573,2573,
RW04,Fulton,1861,61,674,368,1,1104,1104,
RW05,Fulton,2910,242,826,396,10,1474,1474,
RW06,Fulton,3071,164,1077,468,7,1716,1716,
RW07A,Fulton,1773,215,452,160,2,829,829,
RW07B,Fulton,449,56,101,64,14,235,235,
RW08,Fulton,2429,129,613,428,6,1176,1176,
RW09,Fulton,4450,225,1333,927,2,2487,2487,
RW09A,Fulton,1892,102,595,102,2,801,801,
RW10,Fulton,3653,153,1213,643,9,2018,2018,
RW11A,Fulton,2865,191,821,498,9,1519,1519,
RW12,Fulton,3899,239,1258,920,4,2421,2421,
RW12A,Fulton,2458,136,783,128,3,1050,1050,
RW13,Fulton,3764,242,1349,536,6,2133,2133,
RW16,Fulton,2101,104,733,316,4,1157,1157,
RW17,Fulton,3100,231,1002,435,4,1672,1672,
RW19,Fulton,2147,112,727,338,1,1178,1178,
RW20,Fulton,2701,82,1015,422,6,1525,1525,
RW21,Fulton,3362,123,1127,501,13,1764,1764,
RW22A,Fulton,4788,278,1661,580,11,2530,2530,
SC01A,Fulton,41,2,39,7,0,48,48,
SC01B,Fulton,2088,126,1123,298,14,1561,1561,
SC01C,Fulton,2249,83,1055,451,8,1597,1597,
SC02,Fulton,1426,41,717,259,3,1020,1020,
SC04,Fulton,1080,79,351,155,4,589,589,
SC05A,Fulton,721,55,321,85,5,466,466,
SC05B,Fulton,3646,180,1772,490,7,2449,2449,
SC05D,Fulton,2808,186,1294,347,2,1829,1829,
SC05E,Fulton,688,44,256,130,3,433,433,
SC07A,Fulton,4506,243,1867,1001,10,3121,3121,
SC07C,Fulton,41,1,9,3,0,13,13,
SC07D,Fulton,2038,132,854,89,3,1078,1078,
SC08B,Fulton,4096,279,1542,642,12,2475,2475,
SC08C,Fulton,91,6,46,17,0,69,69,
SC08D,Fulton,605,39,228,79,0,346,346,
SC08E,Fulton,724,59,303,63,4,429,429,
SC08F,Fulton,793,43,282,98,1,424,424,
SC08G,Fulton,14,0,3,0,0,3,3,
SC08H,Fulton,1,0,0,0,0,0,0,
SC09A,Fulton,1865,180,537,227,9,953,953,
SC09B,Fulton,1920,124,721,354,2,1201,1201,
SC09C,Fulton,1852,179,537,289,2,1007,1007,
SC10,Fulton,1912,156,422,184,9,771,771,
SC11A,Fulton,1656,145,537,261,24,967,967,
SC11B,Fulton,1691,114,541,312,4,971,971,
SC13,Fulton,2895,167,1346,416,5,1934,1934,
SC14A,Fulton,1030,67,323,98,0,488,488,
SC15,Fulton,4522,275,1989,806,6,3076,3076,
SC15A,Fulton,2482,135,1296,103,0,1534,1534,
SC16A,Fulton,5175,287,2451,854,0,3592,3592,
SC17A,Fulton,60,1,32,10,0,43,43,
SC17B,Fulton,10,0,1,0,2,3,3,
SC17C,Fulton,1293,76,495,178,0,749,749,
SC18A,Fulton,570,42,220,118,0,380,380,
SC18B,Fulton,915,40,463,157,0,660,660,
SC18C,Fulton,2100,79,1010,406,0,1495,1495,
SC19A,Fulton,213,6,86,42,1,135,135,
SC19B,Fulton,1628,135,424,212,7,778,778,
SC20,Fulton,2562,107,1479,359,26,1971,1971,
SC211,Fulton,1828,102,827,290,0,1219,1219,
SC212,Fulton,4244,262,1734,597,10,2603,2603,
SC23A,Fulton,3854,339,1126,638,10,2113,2113,
SC23B,Fulton,557,53,168,109,2,332,332,
SC23C,Fulton,2606,210,887,390,2,1489,1489,
SC27,Fulton,2361,148,732,463,0,1343,1343,
SC29A,Fulton,3154,270,934,532,9,1745,1745,
SC30A,Fulton,157,5,45,58,5,113,113,
SC30B,Fulton,1110,58,360,145,0,563,563,
SS01,Fulton,4846,156,1437,892,5,2490,2490,
SS02A,Fulton,1206,47,415,233,5,700,700,
SS02B,Fulton,1318,66,470,206,5,747,747,
SS03,Fulton,1577,91,576,257,2,926,926,
SS04,Fulton,3763,214,1287,627,16,2144,2144,
SS05,Fulton,1853,91,657,362,3,1113,1113,
SS06,Fulton,1667,60,571,309,50,990,990,
SS07A,Fulton,1254,40,397,239,0,676,676,
SS07B,Fulton,793,45,266,142,1,454,454,
SS07C,Fulton,809,24,170,164,14,372,372,
SS08A,Fulton,1891,142,666,238,11,1057,1057,
SS08B,Fulton,696,26,240,144,0,410,410,
SS08C,Fulton,716,33,237,141,0,411,411,
SS08D,Fulton,1555,85,509,241,0,835,835,
SS09A,Fulton,3193,143,927,661,0,1731,1731,
SS09B,Fulton,3611,116,1254,721,2,2093,2093,
SS11A,Fulton,4026,283,1290,586,11,2170,2170,
SS11B,Fulton,1412,101,435,200,1,737,737,
SS11C,Fulton,361,29,115,26,1,171,171,
SS11D,Fulton,397,17,143,82,0,242,242,
SS12,Fulton,2897,134,961,545,9,1649,1649,
SS13A,Fulton,2103,123,716,306,3,1148,1148,
SS13B,Fulton,1278,83,486,154,1,724,724,
SS14,Fulton,1412,64,508,241,1,814,814,
SS15A,Fulton,2756,254,829,270,5,1358,1358,
SS15B,Fulton,1730,170,547,196,2,915,915,
SS16,Fulton,2116,86,683,462,2,1233,1233,
SS17,Fulton,3686,228,1140,571,13,1952,1952,
SS18A,Fulton,657,28,232,126,0,386,386,
SS18B,Fulton,241,7,77,49,0,133,133,
SS19A,Fulton,3299,184,1122,400,10,1716,1716,
SS19B,Fulton,2342,121,870,328,86,1405,1405,
SS20,Fulton,2404,159,718,347,9,1233,1233,
SS22,Fulton,2834,158,689,434,3,1284,1284,
SS26,Fulton,3824,249,1288,389,16,1942,1942,
SS29A,Fulton,2842,154,960,478,6,1598,1598,
SS31,Fulton,1703,74,579,303,0,956,956,
UC01A,Fulton,4234,327,1220,333,12,1892,1892,
UC01B,Fulton,428,38,141,30,5,214,214,
UC01D,Fulton,6,0,0,0,0,0,0,
UC01E,Fulton,512,41,269,72,0,382,382,
UC02A,Fulton,5609,325,2182,1131,19,3657,3657,
UC02B,Fulton,32,2,11,3,0,16,16,
UC02C,Fulton,3614,148,1225,130,15,1518,1518,
UC031,Fulton,2745,159,664,441,26,1290,1290,
UC032,Fulton,393,21,137,76,1,235,235,
