Precinct,County,Registered Voters,Fani Willis (Dem)_Election Day Votes,Fani Willis (Dem)_Advanced Voting Votes,Fani Willis (Dem)_Absentee by Mail Votes,Fani Willis (Dem)_Provisional Votes,Fani Willis (Dem)_Choice Total,Total,
04J,Fulton,1617,45,110,16,11,182,182,
04K,Fulton,2736,191,710,354,13,1268,1268,
04L,Fulton,2014,168,560,188,6,922,922,
04M,Fulton,979,102,149,68,5,324,324,
04S,Fulton,2541,263,611,300,7,1181,1181,
04T,Fulton,1297,132,338,159,20,649,649,
04V,Fulton,3573,370,705,230,3,1308,1308,
04W,Fulton,3365,57,131,27,7,222,222,
04X1,Fulton,2283,166,610,262,2,1040,1040,
04X2,Fulton,846,61,236,95,0,392,392,
05A1,Fulton,2936,135,1276,598,1,2010,2010,
05A2,Fulton,3343,145,1451,599,11,2206,2206,
05B,Fulton,2171,174,620,261,3,1058,1058,
05C,Fulton,135,6,27,7,0,40,40,
05D,Fulton,541,18,58,9,2,87,87,
05F,Fulton,248,22,86,24,0,132,132,
05J,Fulton,684,38,273,123,1,435,435,
05K,Fulton,2826,151,716,271,5,1143,1143,
06B,Fulton,1889,94,790,379,7,1270,1270,
06D,Fulton,6160,330,2209,1969,12,4520,4520,
06D1,Fulton,2539,72,1000,157,5,1234,1234,
06D2,Fulton,850,23,333,50,1,407,407,
06E,Fulton,2344,114,871,386,2,1373,1373,
06F,Fulton,2841,118,1171,501,5,1795,1795,
06G,Fulton,588,19,225,125,1,370,370,
06I,Fulton,4072,299,1439,544,22,2304,2304,
06J,Fulton,2770,98,1066,711,1,1876,1876,
06L1,Fulton,991,40,382,227,2,651,651,
06L2,Fulton,726,26,278,141,1,446,446,
06N,Fulton,1770,79,537,298,10,924,924,
06Q,Fulton,571,48,212,62,5,327,327,
06R,Fulton,2015,63,707,368,3,1141,1141,
07A,Fulton,7691,492,2423,1227,17,4159,4159,
07B,Fulton,2952,154,1000,579,1,1734,1734,
07C,Fulton,4512,214,1234,945,11,2404,2404,
07D,Fulton,4879,281,1631,640,20,2572,2572,
07E,Fulton,2247,68,763,544,5,1380,1380,
07F,Fulton,3790,207,1348,642,20,2217,2217,
07H,Fulton,2060,94,725,425,0,1244,1244,
07J,Fulton,3041,180,1094,514,10,1798,1798,
07M,Fulton,2401,152,679,382,0,1213,1213,
07N,Fulton,2139,135,653,355,9,1152,1152,
08A,Fulton,3084,191,1080,471,7,1749,1749,
08B,Fulton,3498,154,1311,564,1,2030,2030,
08C,Fulton,1500,63,543,269,0,875,875,
08D,Fulton,1073,27,391,191,13,622,622,
08E,Fulton,2568,99,921,524,0,1544,1544,
08F1,Fulton,2187,88,859,382,4,1333,1333,
08G,Fulton,3086,150,784,567,5,1506,1506,
08H,Fulton,2556,88,880,532,3,1503,1503,
08J,Fulton,3344,156,1370,468,6,2000,2000,
08K,Fulton,1049,75,398,211,0,684,684,
08L,Fulton,4505,223,1615,806,20,2664,2664,
08M,Fulton,2295,135,798,335,5,1273,1273,
08N1,Fulton,824,27,292,142,2,463,463,
08N2,Fulton,1616,66,531,331,2,930,930,
08P,Fulton,1887,117,645,223,6,991,991,
09A,Fulton,3856,195,1562,579,9,2345,2345,
09B,Fulton,464,28,80,66,0,174,174,
09C,Fulton,3353,257,859,459,22,1597,1597,
09D,Fulton,2299,220,437,294,9,960,960,
09E,Fulton,3261,266,950,321,2,1539,1539,
09F,Fulton,3917,169,1532,678,4,2383,2383,
09G,Fulton,3943,232,1528,630,9,2399,2399,
09H,Fulton,1185,79,417,152,1,649,649,
09I,Fulton,1397,138,257,173,2,570,570,
09K,Fulton,4002,265,865,456,11,1597,1597,
09K1,Fulton,1518,111,318,38,1,468,468,
09M,Fulton,2578,102,1229,346,0,1677,1677,
10A,Fulton,3186,239,933,526,14,1712,1712,
10B,Fulton,3965,235,1474,846,11,2566,2566,
10C,Fulton,2598,139,692,315,14,1160,1160,
10D,Fulton,4968,311,1120,539,142,2112,2112,
10E,Fulton,1084,96,301,185,3,585,585,
10F,Fulton,1208,117,296,198,12,623,623,
10G,Fulton,1332,99,508,232,2,841,841,
10H1,Fulton,439,30,147,74,13,264,264,
10H2,Fulton,2623,173,549,341,11,1074,1074,
10I,Fulton,331,12,157,90,0,259,259,
10J,Fulton,1238,148,182,130,14,474,474,
10K,Fulton,1614,110,549,299,4,962,962,
10M,Fulton,2880,247,864,409,14,1534,1534,
10P,Fulton,1607,149,338,228,3,718,718,
10R,Fulton,928,96,198,84,14,392,392,
11B,Fulton,4395,340,1325,813,33,2511,2511,
11B1,Fulton,894,75,283,28,5,391,391,
11C,Fulton,3149,162,1340,568,11,2081,2081,
11E1,Fulton,1340,120,390,163,16,689,689,
11E2,Fulton,1003,78,341,160,4,583,583,
11E3,Fulton,3605,270,1364,338,15,1987,1987,
11G,Fulton,2556,118,481,311,27,937,937,
11H,Fulton,753,50,183,133,4,370,370,
11J,Fulton,2092,182,504,316,21,1023,1023,
11K,Fulton,2045,146,614,371,13,1144,1144,
11M,Fulton,1380,101,565,345,7,1018,1018,
11M1,Fulton,2190,136,526,53,26,741,741,
11N,Fulton,2431,194,802,439,2,1437,1437,
11P,Fulton,2095,131,543,383,13,1070,1070,
11R,Fulton,2253,120,456,232,6,814,814,
12A,Fulton,4971,287,1628,744,20,2679,2679,
12A1,Fulton,690,42,305,20,8,375,375,
12D,Fulton,1408,105,354,137,2,598,598,
12E1,Fulton,1906,119,297,231,3,650,650,
12F,Fulton,1229,115,297,91,1,504,504,
12G,Fulton,885,56,181,183,1,421,421,
12H1,Fulton,1170,99,172,73,12,356,356,
12H2,Fulton,2998,275,696,383,6,1360,1360,
12I,Fulton,1079,55,229,148,41,473,473,
12J,Fulton,3154,257,706,332,29,1324,1324,
12K,Fulton,3620,203,942,355,10,1510,1510,
12L,Fulton,774,55,138,69,3,265,265,
12M,Fulton,2990,361,640,308,20,1329,1329,
12N,Fulton,1134,92,220,82,11,405,405,
12S,Fulton,2079,166,566,244,14,990,990,
AP01A,Fulton,5236,216,1822,921,3,2962,2962,
AP01B,Fulton,1281,69,397,184,6,656,656,
AP01C,Fulton,2409,99,862,391,7,1359,1359,
AP01D,Fulton,1015,50,300,160,0,510,510,
AP021,Fulton,3408,205,1175,419,3,1802,1802,
AP022,Fulton,2507,136,717,440,0,1293,1293,
AP02B,Fulton,677,23,157,148,5,333,333,
AP03,Fulton,775,88,213,65,5,371,371,
AP04A,Fulton,1760,89,584,307,8,988,988,
AP04B,Fulton,473,31,188,60,4,283,283,
AP05,Fulton,4776,215,1566,819,9,2609,2609,
AP06,Fulton,1967,90,675,291,10,1066,1066,
AP07A,Fulton,3910,208,1199,569,21,1997,1997,
AP07B,Fulton,1882,82,661,292,10,1045,1045,
AP09A,Fulton,4437,244,1493,752,6,2495,2495,
AP09B,Fulton,925,44,318,184,2,548,548,
AP10,Fulton,992,44,331,136,28,539,539,
AP12A,Fulton,746,58,235,98,17,408,408,
AP12B,Fulton,947,67,258,139,4,468,468,
AP12C,Fulton,2367,110,742,267,12,1131,1131,
AP14,Fulton,3232,121,1178,638,4,1941,1941,
CH01,Fulton,376,13,114,46,4,177,177,
CH02,Fulton,338,31,77,45,0,153,153,
CH03,Fulton,410,29,94,34,0,157,157,
CH04A,Fulton,825,38,285,104,0,427,427,
CH05,Fulton,429,30,85,47,0,162,162,
CP011,Fulton,1353,93,417,159,7,676,676,
CP012,Fulton,1469,85,531,208,6,830,830,
CP01B,Fulton,422,20,146,49,0,215,215,
CP02,Fulton,1208,77,360,161,1,599,599,
CP04A,Fulton,13,0,3,0,0,3,3,
CP04B,Fulton,38,2,6,9,0,17,17,
CP051,Fulton,1756,148,534,250,0,932,932,
CP05B,Fulton,153,20,39,9,4,72,72,
CP06A,Fulton,732,51,127,38,1,217,217,
CP07B,Fulton,7,2,2,0,0,4,4,
CP07C,Fulton,323,18,46,10,0,74,74,
CP07D,Fulton,790,64,130,36,0,230,230,
CP07E,Fulton,127,19,19,3,0,41,41,
CP07F,Fulton,266,22,35,6,0,63,63,
CP081,Fulton,373,34,51,15,2,102,102,
CP083,Fulton,240,12,19,3,0,34,34,
CP084,Fulton,1,0,0,0,0,0,0,
CP08A,Fulton,756,61,86,26,0,173,173,
EP01A,Fulton,2978,191,974,341,14,1520,1520,
EP01B,Fulton,3473,216,949,447,9,1621,1621,
EP02A,Fulton,2407,160,545,308,19,1032,1032,
EP02B,Fulton,1679,92,643,293,1,1029,1029,
EP02C,Fulton,522,17,194,64,0,275,275,
EP02D,Fulton,420,31,159,48,0,238,238,
EP02E,Fulton,1668,105,440,157,0,702,702,
EP03A,Fulton,4925,319,1563,802,6,2690,2690,
EP03B,Fulton,1547,79,598,339,6,1022,1022,
EP04A,Fulton,5020,530,1328,659,32,2549,2549,
EP04B,Fulton,2624,148,1064,274,7,1493,1493,
EP04C,Fulton,1318,0,398,38,3,439,439,
FA01A,Fulton,4032,239,1457,608,15,2319,2319,
FA01B,Fulton,5860,28,2307,854,8,3197,3197,
FA01C,Fulton,769,63,290,104,1,458,458,
FA01D,Fulton,321,19,123,8,13,163,163,
FC01,Fulton,325,21,130,25,2,178,178,
FC02,Fulton,585,13,28,8,2,51,51,
FC03,Fulton,17,1,8,0,7,16,16,
HP01,Fulton,3824,336,1007,468,5,1816,1816,
JC01,Fulton,4128,226,1449,1041,7,2723,2723,
JC01A,Fulton,1738,133,552,123,5,813,813,
JC02,Fulton,3001,162,888,588,6,1644,1644,
JC03A,Fulton,594,25,255,74,0,354,354,
JC03B,Fulton,1616,113,571,281,0,965,965,
JC04A,Fulton,3177,96,1242,595,13,1946,1946,
JC04B,Fulton,334,9,112,52,0,173,173,
JC04C,Fulton,1251,44,478,248,0,770,770,
JC05,Fulton,2350,123,863,356,4,1346,1346,
JC06,Fulton,2840,191,770,454,4,1419,1419,
JC07,Fulton,4670,169,1561,920,23,2673,2673,
JC08,Fulton,2931,131,1066,502,5,1704,1704,
JC09,Fulton,3250,184,1103,542,3,1832,1832,
JC10,Fulton,2641,138,890,490,12,1530,1530,
JC11,Fulton,3497,208,1106,526,0,1840,1840,
JC12,Fulton,2832,73,841,488,5,1407,1407,
JC13A,Fulton,2317,86,716,337,1,1140,1140,
JC13B,Fulton,282,4,98,36,1,139,139,
JC14,Fulton,2608,95,960,391,2,1448,1448,
JC15,Fulton,959,53,355,139,0,547,547,
JC16,Fulton,2707,127,981,417,1,1526,1526,
JC18,Fulton,2857,106,1006,452,3,1567,1567,
JC19,Fulton,4174,154,1425,706,12,2297,2297,
ML01A,Fulton,2795,142,1068,378,24,1612,1612,
ML01B,Fulton,708,35,229,100,0,364,364,
ML02A,Fulton,2580,172,711,336,1,1220,1220,
ML02B,Fulton,1914,105,588,244,1,938,938,
ML03,Fulton,3718,220,1143,500,6,1869,1869,
ML03A,Fulton,301,13,95,13,0,121,121,
ML04,Fulton,3322,169,1050,428,21,1668,1668,
ML05,Fulton,4843,266,1530,753,11,2560,2560,
ML06A,Fulton,2181,154,706,258,7,1125,1125,
ML06B,Fulton,3119,189,1042,509,4,1744,1744,
ML07A,Fulton,836,86,225,111,0,422,422,
ML07B,Fulton,1675,153,438,221,1,813,813,
MP01,Fulton,472,148,46,62,5,261,261,
PA01,Fulton,3006,204,941,369,15,1529,1529,
RW01,Fulton,5010,177,1583,1007,11,2778,2778,
RW02,Fulton,4061,219,1322,764,11,2316,2316,
RW03,Fulton,5041,342,1468,758,9,2577,2577,
RW04,Fulton,1861,61,671,371,1,1104,1104,
RW05,Fulton,2910,241,832,404,10,1487,1487,
RW06,Fulton,3071,164,1073,475,7,1719,1719,
RW07A,Fulton,1773,217,451,155,2,825,825,
RW07B,Fulton,449,57,99,64,14,234,234,
RW08,Fulton,2429,130,615,425,6,1176,1176,
RW09,Fulton,4450,222,1323,938,3,2486,2486,
RW09A,Fulton,1892,100,590,105,2,797,797,
RW10,Fulton,3653,150,1221,660,9,2040,2040,
RW11A,Fulton,2865,187,827,512,8,1534,1534,
RW12,Fulton,3899,241,1270,929,4,2444,2444,
RW12A,Fulton,2458,134,784,128,2,1048,1048,
RW13,Fulton,3764,239,1338,555,6,2138,2138,
RW16,Fulton,2101,102,738,326,4,1170,1170,
RW17,Fulton,3100,230,1009,439,4,1682,1682,
RW19,Fulton,2147,111,729,343,1,1184,1184,
RW20,Fulton,2701,84,1010,419,6,1519,1519,
RW21,Fulton,3362,122,1113,514,14,1763,1763,
RW22A,Fulton,4788,275,1657,583,11,2526,2526,
SC01A,Fulton,41,2,38,7,0,47,47,
SC01B,Fulton,2088,124,1127,297,16,1564,1564,
SC01C,Fulton,2249,84,1049,452,10,1595,1595,
SC02,Fulton,1426,42,705,254,3,1004,1004,
SC04,Fulton,1080,82,349,158,5,594,594,
SC05A,Fulton,721,56,317,85,4,462,462,
SC05B,Fulton,3646,183,1764,498,7,2452,2452,
SC05D,Fulton,2808,186,1302,354,2,1844,1844,
SC05E,Fulton,688,44,257,130,3,434,434,
SC07A,Fulton,4506,250,1881,1007,10,3148,3148,
SC07C,Fulton,41,1,9,3,0,13,13,
SC07D,Fulton,2038,136,861,85,4,1086,1086,
SC08B,Fulton,4096,278,1534,644,13,2469,2469,
SC08C,Fulton,91,6,45,17,0,68,68,
SC08D,Fulton,605,40,231,78,0,349,349,
SC08E,Fulton,724,57,305,63,4,429,429,
SC08F,Fulton,793,43,284,97,1,425,425,
SC08G,Fulton,14,0,3,0,0,3,3,
SC08H,Fulton,1,0,0,0,0,0,0,
SC09A,Fulton,1865,177,540,233,11,961,961,
SC09B,Fulton,1920,127,717,356,2,1202,1202,
SC09C,Fulton,1852,182,536,293,2,1013,1013,
SC10,Fulton,1912,157,428,187,8,780,780,
SC11A,Fulton,1656,147,537,264,24,972,972,
SC11B,Fulton,1691,116,553,307,6,982,982,
SC13,Fulton,2895,168,1341,413,6,1928,1928,
SC14A,Fulton,1030,64,327,98,0,489,489,
SC15,Fulton,4522,277,2010,821,6,3114,3114,
SC15A,Fulton,2482,135,1304,103,0,1542,1542,
SC16A,Fulton,5175,288,2460,846,0,3594,3594,
SC17A,Fulton,60,1,32,10,0,43,43,
SC17B,Fulton,10,0,1,0,3,4,4,
SC17C,Fulton,1293,76,498,182,0,756,756,
SC18A,Fulton,570,41,221,120,0,382,382,
SC18B,Fulton,915,39,459,156,0,654,654,
SC18C,Fulton,2100,82,1010,401,0,1493,1493,
SC19A,Fulton,213,6,86,45,1,138,138,
SC19B,Fulton,1628,137,428,213,10,788,788,
SC20,Fulton,2562,105,1468,359,26,1958,1958,
SC211,Fulton,1828,102,832,292,0,1226,1226,
SC212,Fulton,4244,265,1736,604,10,2615,2615,
SC23A,Fulton,3854,342,1130,643,10,2125,2125,
SC23B,Fulton,557,56,169,110,1,336,336,
SC23C,Fulton,2606,213,891,395,2,1501,1501,
SC27,Fulton,2361,152,733,461,0,1346,1346,
SC29A,Fulton,3154,276,945,540,8,1769,1769,
SC30A,Fulton,157,5,45,57,5,112,112,
SC30B,Fulton,1110,60,364,146,0,570,570,
SS01,Fulton,4846,159,1436,911,5,2511,2511,
SS02A,Fulton,1206,48,417,236,5,706,706,
SS02B,Fulton,1318,64,473,210,5,752,752,
SS03,Fulton,1577,91,581,269,2,943,943,
SS04,Fulton,3763,217,1298,638,16,2169,2169,
SS05,Fulton,1853,89,664,372,3,1128,1128,
SS06,Fulton,1667,60,575,317,47,999,999,
SS07A,Fulton,1254,37,405,246,0,688,688,
SS07B,Fulton,793,45,265,141,1,452,452,
SS07C,Fulton,809,24,170,166,13,373,373,
SS08A,Fulton,1891,140,666,244,11,1061,1061,
SS08B,Fulton,696,25,242,147,0,414,414,
SS08C,Fulton,716,34,239,141,0,414,414,
SS08D,Fulton,1555,82,510,243,0,835,835,
SS09A,Fulton,3193,144,940,686,0,1770,1770,
SS09B,Fulton,3611,114,1281,749,2,2146,2146,
SS11A,Fulton,4026,284,1294,596,10,2184,2184,
SS11B,Fulton,1412,102,446,206,1,755,755,
SS11C,Fulton,361,30,117,28,1,176,176,
SS11D,Fulton,397,16,144,85,0,245,245,
SS12,Fulton,2897,137,967,555,9,1668,1668,
SS13A,Fulton,2103,120,706,319,3,1148,1148,
SS13B,Fulton,1278,82,487,158,1,728,728,
SS14,Fulton,1412,64,511,258,1,834,834,
SS15A,Fulton,2756,251,833,276,5,1365,1365,
SS15B,Fulton,1730,172,543,203,2,920,920,
SS16,Fulton,2116,85,701,483,2,1271,1271,
SS17,Fulton,3686,227,1131,591,15,1964,1964,
SS18A,Fulton,657,28,229,127,0,384,384,
SS18B,Fulton,241,7,76,48,0,131,131,
SS19A,Fulton,3299,180,1120,410,9,1719,1719,
SS19B,Fulton,2342,118,870,328,85,1401,1401,
SS20,Fulton,2404,163,712,356,9,1240,1240,
SS22,Fulton,2834,161,700,450,3,1314,1314,
SS26,Fulton,3824,250,1289,391,16,1946,1946,
SS29A,Fulton,2842,156,970,484,6,1616,1616,
SS31,Fulton,1703,72,582,312,0,966,966,
UC01A,Fulton,4234,330,1225,335,12,1902,1902,
UC01B,Fulton,428,39,145,31,5,220,220,
UC01D,Fulton,6,0,0,0,0,0,0,
UC01E,Fulton,512,42,269,72,0,383,383,
UC02A,Fulton,5609,329,2187,1134,18,3668,3668,
UC02B,Fulton,32,2,12,3,0,17,17,
UC02C,Fulton,3614,149,1232,129,15,1525,1525,
UC031,Fulton,2745,159,666,443,26,1294,1294,
UC032,Fulton,393,20,139,75,1,235,235,
