Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,
03L,Fulton,748,49,72,36,0,157,157,
03M,Fulton,965,143,210,69,2,424,424,
03N,Fulton,2804,184,401,131,18,734,734,
03P1A,Fulton,4404,251,1257,476,10,1994,1994,
03P2,Fulton,23,0,7,0,0,7,7,
03S,Fulton,908,76,158,80,0,314,314,
03T,Fulton,1742,125,399,111,4,639,639,
04A,Fulton,1554,69,263,137,0,469,469,
04B,Fulton,2948,105,333,157,0,595,595,
04C,Fulton,150,9,22,11,1,43,43,
04D,Fulton,1736,128,352,151,5,636,636,
04F,Fulton,2786,169,645,170,9,993,993,
04G,Fulton,1025,94,148,67,1,310,310,
04I,Fulton,4604,60,368,125,6,559,559,
04J,Fulton,1617,44,87,13,6,150,150,
04K,Fulton,2736,155,565,284,10,1014,1014,
04L,Fulton,2014,145,449,157,3,754,754,
04M,Fulton,979,80,119,55,5,259,259,
04S,Fulton,2541,206,485,249,5,945,945,
04T,Fulton,1297,104,273,128,16,521,521,
04V,Fulton,3573,312,612,177,2,1103,1103,
04W,Fulton,3365,50,116,24,6,196,196,
04X1,Fulton,2283,134,506,215,2,857,857,
04X2,Fulton,846,47,203,80,0,330,330,
05A1,Fulton,2936,128,1145,499,1,1773,1773,
05A2,Fulton,3343,129,1273,522,10,1934,1934,
05B,Fulton,2171,146,493,210,2,851,851,
05C,Fulton,135,5,24,6,0,35,35,
05D,Fulton,541,17,46,7,1,71,71,
05F,Fulton,248,20,76,21,1,118,118,
05J,Fulton,684,35,224,106,1,366,366,
05K,Fulton,2826,140,608,233,3,984,984,
06B,Fulton,1889,88,658,298,7,1051,1051,
06D,Fulton,6160,315,1986,1648,10,3959,3959,
06D1,Fulton,2539,71,913,140,3,1127,1127,
06D2,Fulton,850,22,302,46,1,371,371,
06E,Fulton,2344,114,782,346,2,1244,1244,
06F,Fulton,2841,99,1049,434,3,1585,1585,
06G,Fulton,588,19,193,103,1,316,316,
06I,Fulton,4072,277,1268,473,19,2037,2037,
06J,Fulton,2770,93,962,591,1,1647,1647,
06L1,Fulton,991,34,341,198,1,574,574,
06L2,Fulton,726,28,245,118,1,392,392,
06N,Fulton,1770,78,481,259,10,828,828,
06Q,Fulton,571,42,180,53,4,279,279,
06R,Fulton,2015,61,618,331,2,1012,1012,
07A,Fulton,7691,472,2180,1081,17,3750,3750,
07B,Fulton,2952,148,939,534,0,1621,1621,
07C,Fulton,4512,218,1090,823,11,2142,2142,
07D,Fulton,4879,264,1490,562,14,2330,2330,
07E,Fulton,2247,63,710,473,5,1251,1251,
07F,Fulton,3790,192,1201,572,22,1987,1987,
07H,Fulton,2060,102,639,362,0,1103,1103,
07J,Fulton,3041,180,983,467,10,1640,1640,
07M,Fulton,2401,134,607,330,0,1071,1071,
07N,Fulton,2139,125,578,313,8,1024,1024,
08A,Fulton,3084,181,976,434,7,1598,1598,
08B,Fulton,3498,143,1221,509,0,1873,1873,
08C,Fulton,1500,58,485,224,0,767,767,
08D,Fulton,1073,25,359,168,14,566,566,
08E,Fulton,2568,103,823,438,0,1364,1364,
08F1,Fulton,2187,85,774,332,4,1195,1195,
08G,Fulton,3086,149,707,481,5,1342,1342,
08H,Fulton,2556,93,795,446,2,1336,1336,
08J,Fulton,3344,151,1264,404,3,1822,1822,
08K,Fulton,1049,75,378,184,0,637,637,
08L,Fulton,4505,222,1470,712,17,2421,2421,
08M,Fulton,2295,124,724,299,1,1148,1148,
08N1,Fulton,824,23,265,117,2,407,407,
08N2,Fulton,1616,58,466,293,2,819,819,
08P,Fulton,1887,114,574,194,5,887,887,
09A,Fulton,3856,178,1378,514,9,2079,2079,
09B,Fulton,464,23,59,47,0,129,129,
09C,Fulton,3353,217,686,384,19,1306,1306,
09D,Fulton,2299,177,335,240,6,758,758,
09E,Fulton,3261,225,765,281,0,1271,1271,
09F,Fulton,3917,165,1389,614,4,2172,2172,
09G,Fulton,3943,221,1364,547,6,2138,2138,
09H,Fulton,1185,73,369,135,1,578,578,
09I,Fulton,1397,114,201,142,2,459,459,
09K,Fulton,4002,202,665,375,8,1250,1250,
09K1,Fulton,1518,84,244,34,1,363,363,
09M,Fulton,2578,101,1054,311,0,1466,1466,
10A,Fulton,3186,193,791,437,10,1431,1431,
10B,Fulton,3965,205,1271,713,6,2195,2195,
10C,Fulton,2598,122,571,254,11,958,958,
10D,Fulton,4968,257,896,448,100,1701,1701,
10E,Fulton,1084,80,240,153,2,475,475,
10F,Fulton,1208,93,246,160,6,505,505,
10G,Fulton,1332,78,426,191,0,695,695,
10H1,Fulton,439,24,130,64,9,227,227,
10H2,Fulton,2623,149,453,277,6,885,885,
10I,Fulton,331,12,136,80,0,228,228,
10J,Fulton,1238,109,150,100,9,368,368,
10K,Fulton,1614,96,462,254,5,817,817,
10M,Fulton,2880,195,716,355,10,1276,1276,
10P,Fulton,1607,115,276,200,3,594,594,
10R,Fulton,928,79,171,59,11,320,320,
11B,Fulton,4395,298,1119,687,27,2131,2131,
11B1,Fulton,894,67,245,24,3,339,339,
11C,Fulton,3149,138,1152,465,7,1762,1762,
11E1,Fulton,1340,110,347,135,11,603,603,
11E2,Fulton,1003,67,292,139,4,502,502,
11E3,Fulton,3605,225,1194,300,6,1725,1725,
11G,Fulton,2556,98,396,266,27,787,787,
11H,Fulton,753,47,148,109,5,309,309,
11J,Fulton,2092,157,421,266,17,861,861,
11K,Fulton,2045,114,507,302,12,935,935,
11M,Fulton,1380,82,468,283,4,837,837,
11M1,Fulton,2190,117,443,42,19,621,621,
11N,Fulton,2431,163,697,373,1,1234,1234,
11P,Fulton,2095,109,437,317,11,874,874,
11R,Fulton,2253,88,337,188,5,618,618,
12A,Fulton,4971,246,1343,611,12,2212,2212,
12A1,Fulton,690,37,254,19,6,316,316,
12D,Fulton,1408,87,297,106,2,492,492,
12E1,Fulton,1906,99,245,190,3,537,537,
12F,Fulton,1229,95,249,82,0,426,426,
12G,Fulton,885,45,144,148,0,337,337,
12H1,Fulton,1170,86,154,63,4,307,307,
12H2,Fulton,2998,235,579,322,5,1141,1141,
12I,Fulton,1079,49,182,124,33,388,388,
12J,Fulton,3154,220,596,263,25,1104,1104,
12K,Fulton,3620,175,798,286,5,1264,1264,
12L,Fulton,774,48,108,58,2,216,216,
12M,Fulton,2990,310,539,254,12,1115,1115,
12N,Fulton,1134,80,190,66,6,342,342,
12S,Fulton,2079,138,494,192,12,836,836,
AP01A,Fulton,5236,215,1785,870,3,2873,2873,
AP01B,Fulton,1281,68,385,174,7,634,634,
AP01C,Fulton,2409,106,875,363,5,1349,1349,
AP01D,Fulton,1015,47,303,154,0,504,504,
AP021,Fulton,3408,213,1135,419,3,1770,1770,
AP022,Fulton,2507,123,701,389,0,1213,1213,
AP02B,Fulton,677,27,148,148,3,326,326,
AP03,Fulton,775,78,185,64,4,331,331,
AP04A,Fulton,1760,91,612,294,8,1005,1005,
AP04B,Fulton,473,36,187,57,4,284,284,
AP05,Fulton,4776,251,1512,735,7,2505,2505,
AP06,Fulton,1967,99,708,274,10,1091,1091,
AP07A,Fulton,3910,203,1117,543,17,1880,1880,
AP07B,Fulton,1882,90,649,250,13,1002,1002,
AP09A,Fulton,4437,247,1395,645,9,2296,2296,
AP09B,Fulton,925,46,291,156,2,495,495,
AP10,Fulton,992,49,328,133,24,534,534,
AP12A,Fulton,746,53,217,85,12,367,367,
AP12B,Fulton,947,58,219,115,4,396,396,
AP12C,Fulton,2367,113,718,262,9,1102,1102,
AP14,Fulton,3232,127,1146,569,6,1848,1848,
CH01,Fulton,376,14,94,40,3,151,151,
CH02,Fulton,338,32,74,42,0,148,148,
CH03,Fulton,410,30,98,38,0,166,166,
CH04A,Fulton,825,39,259,91,0,389,389,
CH05,Fulton,429,35,91,47,0,173,173,
CP011,Fulton,1353,81,367,140,5,593,593,
CP012,Fulton,1469,71,471,176,4,722,722,
CP01B,Fulton,422,17,123,42,0,182,182,
CP02,Fulton,1208,69,314,140,0,523,523,
CP04A,Fulton,13,0,3,0,0,3,3,
CP04B,Fulton,38,2,6,8,0,16,16,
CP051,Fulton,1756,137,465,209,0,811,811,
CP05B,Fulton,153,18,31,7,3,59,59,
CP06A,Fulton,732,40,101,33,1,175,175,
CP07B,Fulton,7,1,2,0,0,3,3,
CP07C,Fulton,323,15,41,7,0,63,63,
CP07D,Fulton,790,56,106,29,0,191,191,
CP07E,Fulton,127,16,15,2,0,33,33,
CP07F,Fulton,266,18,33,4,0,55,55,
CP081,Fulton,373,31,40,13,2,86,86,
CP083,Fulton,240,8,18,2,0,28,28,
CP084,Fulton,1,0,0,0,0,0,0,
CP08A,Fulton,756,54,82,22,0,158,158,
EP01A,Fulton,2978,165,820,303,9,1297,1297,
EP01B,Fulton,3473,189,842,372,10,1413,1413,
EP02A,Fulton,2407,140,471,270,15,896,896,
EP02B,Fulton,1679,83,576,255,0,914,914,
EP02C,Fulton,522,16,170,62,0,248,248,
EP02D,Fulton,420,27,142,43,0,212,212,
EP02E,Fulton,1668,97,371,128,0,596,596,
EP03A,Fulton,4925,287,1337,708,4,2336,2336,
EP03B,Fulton,1547,70,509,303,5,887,887,
EP04A,Fulton,5020,454,1171,566,28,2219,2219,
EP04B,Fulton,2624,134,940,225,6,1305,1305,
EP04C,Fulton,1318,0,335,36,3,374,374,
FA01A,Fulton,4032,219,1277,518,11,2025,2025,
FA01B,Fulton,5860,25,2024,747,7,2803,2803,
FA01C,Fulton,769,55,244,89,1,389,389,
FA01D,Fulton,321,13,107,6,13,139,139,
FC01,Fulton,325,18,114,24,2,158,158,
FC02,Fulton,585,10,20,7,1,38,38,
FC03,Fulton,17,0,7,0,3,10,10,
HP01,Fulton,3824,312,923,413,5,1653,1653,
JC01,Fulton,4128,234,1340,953,8,2535,2535,
JC01A,Fulton,1738,128,520,108,5,761,761,
JC02,Fulton,3001,156,864,557,6,1583,1583,
JC03A,Fulton,594,28,234,65,0,327,327,
JC03B,Fulton,1616,115,532,243,0,890,890,
JC04A,Fulton,3177,100,1189,530,8,1827,1827,
JC04B,Fulton,334,10,102,48,0,160,160,
JC04C,Fulton,1251,43,451,233,0,727,727,
JC05,Fulton,2350,126,833,319,4,1282,1282,
JC06,Fulton,2840,196,756,448,8,1408,1408,
JC07,Fulton,4670,174,1482,828,24,2508,2508,
JC08,Fulton,2931,136,1058,460,2,1656,1656,
JC09,Fulton,3250,187,1065,509,2,1763,1763,
JC10,Fulton,2641,140,834,438,9,1421,1421,
JC11,Fulton,3497,216,1154,486,0,1856,1856,
JC12,Fulton,2832,81,856,470,3,1410,1410,
JC13A,Fulton,2317,93,798,297,1,1189,1189,
JC13B,Fulton,282,6,109,34,1,150,150,
JC14,Fulton,2608,105,997,370,1,1473,1473,
JC15,Fulton,959,51,321,126,0,498,498,
JC16,Fulton,2707,137,972,378,1,1488,1488,
JC18,Fulton,2857,105,1020,417,3,1545,1545,
JC19,Fulton,4174,174,1446,647,13,2280,2280,
ML01A,Fulton,2795,155,1121,387,23,1686,1686,
ML01B,Fulton,708,32,244,96,0,372,372,
ML02A,Fulton,2580,204,830,348,2,1384,1384,
ML02B,Fulton,1914,117,653,247,1,1018,1018,
ML03,Fulton,3718,251,1245,502,4,2002,2002,
ML03A,Fulton,301,15,103,11,2,131,131,
ML04,Fulton,3322,194,1105,444,23,1766,1766,
ML05,Fulton,4843,274,1481,682,9,2446,2446,
ML06A,Fulton,2181,145,578,226,4,953,953,
ML06B,Fulton,3119,183,879,418,3,1483,1483,
ML07A,Fulton,836,96,244,97,0,437,437,
ML07B,Fulton,1675,179,468,213,1,861,861,
MP01,Fulton,472,150,41,58,4,253,253,
PA01,Fulton,3006,186,857,331,14,1388,1388,
RW01,Fulton,5010,191,1639,976,10,2816,2816,
RW02,Fulton,4061,226,1341,711,7,2285,2285,
RW03,Fulton,5041,335,1374,682,11,2402,2402,
RW04,Fulton,1861,69,662,338,1,1070,1070,
RW05,Fulton,2910,219,743,349,12,1323,1323,
RW06,Fulton,3071,175,1069,430,7,1681,1681,
RW07A,Fulton,1773,188,399,135,2,724,724,
RW07B,Fulton,449,50,80,64,12,206,206,
RW08,Fulton,2429,143,637,442,7,1229,1229,
RW09,Fulton,4450,247,1424,938,3,2612,2612,
RW09A,Fulton,1892,112,658,97,3,870,870,
RW10,Fulton,3653,164,1262,658,9,2093,2093,
RW11A,Fulton,2865,193,812,460,9,1474,1474,
RW12,Fulton,3899,278,1270,937,4,2489,2489,
RW12A,Fulton,2458,141,788,137,4,1070,1070,
RW13,Fulton,3764,242,1304,531,6,2083,2083,
RW16,Fulton,2101,120,747,300,4,1171,1171,
RW17,Fulton,3100,218,961,413,4,1596,1596,
RW19,Fulton,2147,118,741,347,1,1207,1207,
RW20,Fulton,2701,89,1020,403,7,1519,1519,
RW21,Fulton,3362,123,1196,473,12,1804,1804,
RW22A,Fulton,4788,257,1577,541,12,2387,2387,
SC01A,Fulton,41,1,27,7,0,35,35,
SC01B,Fulton,2088,108,1000,254,12,1374,1374,
SC01C,Fulton,2249,71,901,386,8,1366,1366,
SC02,Fulton,1426,33,620,220,0,873,873,
SC04,Fulton,1080,81,321,139,4,545,545,
SC05A,Fulton,721,52,292,81,4,429,429,
SC05B,Fulton,3646,163,1572,410,5,2150,2150,
SC05D,Fulton,2808,160,1134,311,2,1607,1607,
SC05E,Fulton,688,41,232,112,3,388,388,
SC07A,Fulton,4506,215,1659,878,9,2761,2761,
SC07C,Fulton,41,1,8,3,0,12,12,
SC07D,Fulton,2038,118,771,75,3,967,967,
SC08B,Fulton,4096,239,1355,570,8,2172,2172,
SC08C,Fulton,91,5,40,14,0,59,59,
SC08D,Fulton,605,33,195,64,0,292,292,
SC08E,Fulton,724,49,260,55,2,366,366,
SC08F,Fulton,793,36,253,88,1,378,378,
SC08G,Fulton,14,0,3,0,0,3,3,
SC08H,Fulton,1,0,0,0,0,0,0,
SC09A,Fulton,1865,141,431,201,8,781,781,
SC09B,Fulton,1920,107,643,315,0,1065,1065,
SC09C,Fulton,1852,150,434,242,1,827,827,
SC10,Fulton,1912,140,359,165,6,670,670,
SC11A,Fulton,1656,127,462,239,19,847,847,
SC11B,Fulton,1691,100,473,286,4,863,863,
SC13,Fulton,2895,153,1184,346,4,1687,1687,
SC14A,Fulton,1030,61,276,79,0,416,416,
SC15,Fulton,4522,249,1750,686,1,2686,2686,
SC15A,Fulton,2482,115,1148,92,0,1355,1355,
SC16A,Fulton,5175,250,2179,732,0,3161,3161,
SC17A,Fulton,60,1,31,9,0,41,41,
SC17B,Fulton,10,0,1,0,2,3,3,
SC17C,Fulton,1293,66,435,161,0,662,662,
SC18A,Fulton,570,38,190,94,0,322,322,
SC18B,Fulton,915,34,421,141,0,596,596,
SC18C,Fulton,2100,68,894,336,0,1298,1298,
SC19A,Fulton,213,6,70,40,1,117,117,
SC19B,Fulton,1628,121,375,191,8,695,695,
SC20,Fulton,2562,98,1322,310,20,1750,1750,
SC211,Fulton,1828,90,728,251,0,1069,1069,
SC212,Fulton,4244,225,1537,499,4,2265,2265,
SC23A,Fulton,3854,284,942,566,8,1800,1800,
SC23B,Fulton,557,54,155,97,0,306,306,
SC23C,Fulton,2606,183,727,337,1,1248,1248,
SC27,Fulton,2361,124,614,402,0,1140,1140,
SC29A,Fulton,3154,233,821,450,6,1510,1510,
SC30A,Fulton,157,5,41,47,5,98,98,
SC30B,Fulton,1110,53,308,121,0,482,482,
SS01,Fulton,4846,173,1515,852,4,2544,2544,
SS02A,Fulton,1206,45,362,216,2,625,625,
SS02B,Fulton,1318,57,406,188,5,656,656,
SS03,Fulton,1577,82,560,253,3,898,898,
SS04,Fulton,3763,205,1152,570,13,1940,1940,
SS05,Fulton,1853,90,647,331,3,1071,1071,
SS06,Fulton,1667,58,548,286,47,939,939,
SS07A,Fulton,1254,44,365,253,0,662,662,
SS07B,Fulton,793,43,257,133,1,434,434,
SS07C,Fulton,809,21,172,157,11,361,361,
SS08A,Fulton,1891,135,600,222,11,968,968,
SS08B,Fulton,696,24,234,143,0,401,401,
SS08C,Fulton,716,28,198,127,0,353,353,
SS08D,Fulton,1555,77,466,215,0,758,758,
SS09A,Fulton,3193,157,890,599,0,1646,1646,
SS09B,Fulton,3611,114,1248,684,1,2047,2047,
SS11A,Fulton,4026,281,1188,541,10,2020,2020,
SS11B,Fulton,1412,86,385,178,1,650,650,
SS11C,Fulton,361,27,105,23,1,156,156,
SS11D,Fulton,397,18,134,75,0,227,227,
SS12,Fulton,2897,142,908,508,9,1567,1567,
SS13A,Fulton,2103,124,695,278,2,1099,1099,
SS13B,Fulton,1278,72,456,149,0,677,677,
SS14,Fulton,1412,68,503,225,1,797,797,
SS15A,Fulton,2756,221,707,236,5,1169,1169,
SS15B,Fulton,1730,161,496,181,2,840,840,
SS16,Fulton,2116,91,674,432,2,1199,1199,
SS17,Fulton,3686,239,1084,554,12,1889,1889,
SS18A,Fulton,657,31,222,120,0,373,373,
SS18B,Fulton,241,6,72,46,1,125,125,
SS19A,Fulton,3299,171,977,357,9,1514,1514,
SS19B,Fulton,2342,113,767,302,77,1259,1259,
SS20,Fulton,2404,144,612,312,9,1077,1077,
SS22,Fulton,2834,150,618,406,2,1176,1176,
SS26,Fulton,3824,217,1102,342,16,1677,1677,
SS29A,Fulton,2842,162,875,441,6,1484,1484,
SS31,Fulton,1703,71,540,279,0,890,890,
UC01A,Fulton,4234,287,1064,282,8,1641,1641,
UC01B,Fulton,428,30,118,26,3,177,177,
UC01D,Fulton,6,0,0,0,0,0,0,
UC01E,Fulton,512,38,242,62,0,342,342,
UC02A,Fulton,5609,289,1869,925,16,3099,3099,
UC02B,Fulton,32,2,14,3,0,19,19,
UC02C,Fulton,3614,125,1066,108,14,1313,1313,
UC031,Fulton,2745,136,582,396,19,1133,1133,
UC032,Fulton,393,21,128,65,0,214,214,
