Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
02A1,Fulton,733,17,74,8,2,101,22,262,47,2,333,4,8,5,0,17,451,
02B,Fulton,4020,35,95,27,7,164,170,750,274,24,1218,6,26,11,0,43,1425,
02C,Fulton,2034,26,72,27,10,135,70,673,367,28,1138,5,20,12,0,37,1310,
02D,Fulton,5539,89,332,120,12,553,219,1804,1007,23,3053,17,35,25,2,79,3685,
02E,Fulton,2009,37,90,47,0,174,96,870,455,0,1421,3,13,4,0,20,1615,
02F1,Fulton,3221,46,193,89,3,331,88,1216,693,4,2001,7,27,21,0,55,2387,
02F2,Fulton,851,17,38,14,3,72,39,246,134,2,421,3,5,1,0,9,502,
02G,Fulton,3895,78,237,91,2,408,162,1555,706,3,2426,14,34,18,0,66,2900,
02J,Fulton,2273,33,103,61,2,199,87,868,414,10,1379,7,21,9,0,37,1615,
02K,Fulton,1461,29,92,24,0,145,35,569,283,0,887,5,21,6,0,32,1064,
02L1,Fulton,5546,101,416,223,6,746,166,1933,1200,9,3308,8,40,32,0,80,4134,
02L1A,Fulton,1477,27,84,16,2,129,69,542,87,6,704,3,7,1,0,11,844,
02L2,Fulton,2249,45,164,58,2,269,102,793,343,4,1242,4,13,4,0,21,1532,
02S,Fulton,790,12,16,13,0,41,37,284,122,0,443,5,2,4,0,11,495,
02W,Fulton,978,21,58,22,0,101,46,374,118,0,538,3,7,6,0,16,655,
03A,Fulton,2230,10,18,9,1,38,137,381,216,21,755,8,8,1,0,17,810,
03B,Fulton,777,5,7,5,0,17,52,92,51,0,195,5,6,6,0,17,229,
03C,Fulton,1879,10,7,10,0,27,145,337,216,6,704,5,14,4,1,24,755,
03D,Fulton,1235,11,8,9,1,29,77,215,99,20,411,7,6,4,1,18,458,
03E,Fulton,2894,20,24,5,5,54,289,477,205,36,1007,8,13,6,3,30,1091,
03F,Fulton,2328,45,161,47,1,254,109,754,342,3,1208,7,23,6,0,36,1498,
03G,Fulton,1033,5,4,2,0,11,76,146,41,4,267,6,3,2,0,11,289,
03H,Fulton,1091,9,7,2,0,18,81,212,91,1,385,5,9,1,0,15,418,
03I,Fulton,1607,17,61,16,5,99,96,319,110,20,545,9,2,3,0,14,658,
03L,Fulton,748,5,4,3,0,12,70,96,38,0,204,1,2,3,0,6,222,
03M,Fulton,965,56,42,3,0,101,126,222,86,1,435,10,8,0,1,19,555,
03N,Fulton,2804,14,24,7,3,48,221,454,152,21,848,11,14,2,1,28,924,
03P1A,Fulton,4404,67,189,70,2,328,232,1317,502,13,2064,17,33,10,0,60,2452,
03P2,Fulton,23,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,7,
03S,Fulton,908,5,3,5,0,13,95,204,103,0,402,6,4,0,0,10,425,
03T,Fulton,1742,15,25,4,0,44,139,485,126,5,755,7,17,5,0,29,828,
04A,Fulton,1554,5,11,6,0,22,99,315,158,0,572,3,8,3,0,14,608,
04B,Fulton,2948,11,16,7,0,34,115,414,207,0,736,5,8,4,0,17,787,
04C,Fulton,150,0,0,0,0,0,11,28,12,1,52,0,0,0,0,0,52,
04D,Fulton,1736,11,24,8,0,43,150,440,188,5,783,9,11,2,0,22,848,
04F,Fulton,2786,31,71,16,1,119,172,742,190,9,1113,9,16,4,0,29,1261,
04G,Fulton,1025,2,6,2,0,10,114,188,78,1,381,6,7,2,0,15,406,
04I,Fulton,4604,16,34,21,0,71,71,447,222,5,745,3,15,3,1,22,838,
04J,Fulton,1617,3,4,2,1,10,42,108,15,9,174,4,1,1,1,7,191,
04K,Fulton,2736,11,24,10,0,45,192,711,338,13,1254,6,14,9,0,29,1328,
04L,Fulton,2014,16,18,15,0,49,155,551,190,6,902,11,16,3,0,30,981,
04M,Fulton,979,5,5,3,0,13,101,145,66,4,316,1,10,3,1,15,344,
04S,Fulton,2541,22,21,12,1,56,256,605,293,6,1160,4,15,5,2,26,1242,
04T,Fulton,1297,4,15,3,1,23,130,337,157,21,645,7,7,4,0,18,686,
04V,Fulton,3573,20,19,10,1,50,357,685,222,2,1266,16,24,3,1,44,1360,
04W,Fulton,3365,0,1,1,1,3,57,131,27,6,221,1,2,0,0,3,227,
04X1,Fulton,2283,13,30,11,0,54,153,595,265,2,1015,8,14,4,0,26,1095,
04X2,Fulton,846,4,16,3,0,23,58,228,95,0,381,1,10,3,0,14,418,
05A1,Fulton,2936,42,139,47,0,228,104,1223,609,2,1938,13,22,15,0,50,2216,
05A2,Fulton,3343,38,154,51,4,247,126,1396,593,8,2123,8,26,11,1,46,2416,
05B,Fulton,2171,14,34,18,1,67,167,605,248,2,1022,7,9,4,0,20,1109,
05C,Fulton,135,0,3,2,0,5,7,26,7,0,40,0,0,0,0,0,45,
05D,Fulton,541,2,1,1,0,4,21,58,7,2,88,0,1,0,0,1,93,
05F,Fulton,248,3,8,1,0,12,19,82,22,1,124,3,2,0,0,5,141,
05J,Fulton,684,8,26,16,0,50,37,263,119,1,420,0,8,2,0,10,480,
05K,Fulton,2826,22,66,23,2,113,136,678,255,3,1072,6,30,9,0,45,1230,
06B,Fulton,1889,58,158,54,2,272,54,729,379,6,1168,6,10,5,0,21,1461,
06D,Fulton,6160,121,540,408,4,1073,265,1981,1916,12,4174,11,39,32,0,82,5329,
06D1,Fulton,2539,56,250,55,1,362,48,910,154,3,1115,5,12,4,0,21,1498,
06D2,Fulton,850,18,99,17,1,135,14,295,46,0,355,2,3,5,0,10,500,
06E,Fulton,2344,58,184,83,4,329,90,778,378,2,1248,4,21,14,0,39,1616,
06F,Fulton,2841,50,245,83,4,382,92,1043,486,3,1624,6,36,8,0,50,2056,
06G,Fulton,588,14,46,20,1,81,10,208,115,0,333,2,7,2,0,11,425,
06I,Fulton,4072,93,199,57,6,355,242,1318,513,14,2087,19,29,12,3,63,2505,
06J,Fulton,2770,59,242,121,1,423,60,982,723,0,1765,9,23,18,0,50,2238,
06L1,Fulton,991,30,127,58,0,215,25,334,217,2,578,1,6,2,0,9,802,
06L2,Fulton,726,33,115,44,0,192,16,230,128,1,375,2,2,5,0,9,576,
06N,Fulton,1770,60,266,113,4,443,58,411,245,8,722,4,9,9,0,22,1187,
06Q,Fulton,571,9,7,4,3,23,44,209,60,2,315,2,2,2,1,7,345,
06R,Fulton,2015,40,188,86,2,316,47,611,358,1,1017,5,14,7,1,27,1360,
07A,Fulton,7691,347,1377,494,8,2226,298,1706,1053,13,3070,16,55,28,0,99,5395,
07B,Fulton,2952,187,964,345,1,1497,44,491,406,0,941,6,17,14,0,37,2475,
07C,Fulton,4512,166,700,513,10,1389,135,874,757,5,1771,8,16,13,0,37,3197,
07D,Fulton,4879,198,874,242,12,1326,173,1170,517,17,1877,11,28,7,0,46,3249,
07E,Fulton,2247,54,338,166,3,561,43,586,478,3,1110,7,20,9,1,37,1708,
07F,Fulton,3790,171,739,274,25,1209,105,962,528,9,1604,13,21,16,0,50,2863,
07H,Fulton,2060,98,448,152,0,698,46,507,368,0,921,4,18,7,0,29,1648,
07J,Fulton,3041,126,505,196,5,832,105,835,457,5,1402,7,25,9,2,43,2277,
07M,Fulton,2401,70,304,96,0,470,107,535,345,0,987,6,17,7,0,30,1487,
07N,Fulton,2139,40,128,50,2,220,111,594,335,7,1047,7,17,9,0,33,1300,
08A,Fulton,3084,170,730,271,5,1176,92,735,352,5,1184,4,25,11,0,40,2400,
08B,Fulton,3498,164,1042,313,1,1520,52,756,400,0,1208,11,27,12,0,50,2778,
08C,Fulton,1500,65,561,169,0,795,20,216,164,0,400,1,5,6,0,12,1207,
08D,Fulton,1073,39,403,124,12,578,6,162,122,6,296,2,6,5,0,13,887,
08E,Fulton,2568,120,831,295,3,1249,36,475,392,0,903,0,14,8,0,22,2174,
08F1,Fulton,2187,121,803,256,3,1183,24,390,249,1,664,3,17,2,0,22,1869,
08G,Fulton,3086,112,463,232,0,807,103,586,470,5,1164,3,22,20,0,45,2016,
08H,Fulton,2556,104,763,306,3,1176,33,474,394,0,901,4,16,4,0,24,2101,
08J,Fulton,3344,152,823,228,4,1207,80,916,388,5,1389,12,23,12,0,47,2643,
08K,Fulton,1049,70,176,63,0,309,29,301,178,0,508,3,14,5,0,22,839,
08L,Fulton,4505,159,692,207,6,1064,133,1243,739,17,2132,17,37,24,0,78,3274,
08M,Fulton,2295,144,712,226,5,1087,54,408,223,3,688,5,10,5,0,20,1795,
08N1,Fulton,824,29,270,103,1,403,9,150,101,2,262,1,4,1,0,6,671,
08N2,Fulton,1616,48,303,161,1,513,43,377,246,1,667,4,8,10,0,22,1202,
08P,Fulton,1887,39,115,54,4,212,105,577,207,6,895,7,23,4,1,35,1142,
09A,Fulton,3856,82,464,119,3,668,143,1334,533,5,2015,12,31,25,1,69,2752,
09B,Fulton,464,2,2,2,0,6,27,80,65,0,172,1,2,0,0,3,181,
09C,Fulton,3353,18,28,14,1,61,250,857,441,26,1574,12,15,13,0,40,1675,
09D,Fulton,2299,11,18,12,0,41,218,428,277,10,933,7,10,9,0,26,1000,
09E,Fulton,3261,35,71,20,2,128,245,921,305,3,1474,9,21,7,0,37,1639,
09F,Fulton,3917,112,779,267,6,1164,106,1095,549,0,1750,11,31,10,1,53,2967,
09G,Fulton,3943,129,362,146,6,643,168,1352,567,8,2095,13,39,17,1,70,2808,
09H,Fulton,1185,19,48,20,0,87,63,387,151,1,602,7,12,5,0,24,713,
09I,Fulton,1397,11,22,1,0,34,130,244,173,1,548,9,6,3,1,19,601,
09K,Fulton,4002,13,50,16,0,79,252,835,457,11,1555,16,36,9,0,61,1695,
09K1,Fulton,1518,6,15,3,0,24,101,306,38,2,447,7,8,1,0,16,487,
09M,Fulton,2578,41,245,62,0,348,88,1093,334,0,1515,6,46,7,0,59,1922,
10A,Fulton,3186,12,30,10,0,52,235,944,517,16,1712,5,19,11,0,35,1799,
10B,Fulton,3965,13,41,17,1,72,224,1471,853,9,2557,7,26,11,0,44,2673,
10C,Fulton,2598,10,12,12,0,34,125,681,295,15,1116,10,21,2,1,34,1184,
10D,Fulton,4968,30,30,21,13,94,283,1126,519,135,2063,14,32,8,6,60,2217,
10E,Fulton,1084,5,15,9,0,29,90,289,175,3,557,4,5,2,0,11,597,
10F,Fulton,1208,8,12,4,0,24,119,304,197,13,633,2,5,0,1,8,665,
10G,Fulton,1332,13,15,5,0,33,91,507,231,3,832,2,6,9,1,18,883,
10H1,Fulton,439,1,5,1,0,7,26,151,75,14,266,2,1,2,0,5,278,
10H2,Fulton,2623,7,21,11,0,39,171,535,314,13,1033,6,22,11,0,39,1111,
10I,Fulton,331,4,6,1,0,11,12,157,87,0,256,1,1,0,0,2,269,
10J,Fulton,1238,10,6,6,0,22,143,186,122,12,463,3,6,4,0,13,498,
10K,Fulton,1614,8,31,6,0,45,100,548,298,4,950,9,13,0,0,22,1017,
10M,Fulton,2880,9,27,18,0,54,236,854,411,12,1513,14,14,11,1,40,1607,
10P,Fulton,1607,11,11,6,0,28,137,330,228,4,699,8,6,6,1,21,748,
10R,Fulton,928,3,7,3,1,14,97,193,74,11,375,4,8,1,2,15,404,
11B,Fulton,4395,17,40,14,4,75,326,1328,812,33,2499,10,16,11,0,37,2611,
11B1,Fulton,894,6,8,1,0,15,71,289,27,5,392,1,5,0,0,6,413,
11C,Fulton,3149,11,26,9,0,46,155,1333,569,13,2070,6,24,3,0,33,2149,
11E1,Fulton,1340,13,19,6,3,41,110,382,161,17,670,5,6,3,0,14,725,
11E2,Fulton,1003,6,9,3,0,18,73,338,154,4,569,4,7,4,0,15,602,
11E3,Fulton,3605,12,39,5,3,59,265,1350,335,14,1964,8,18,3,0,29,2052,
11G,Fulton,2556,8,33,10,3,54,107,466,301,27,901,8,15,7,2,32,987,
11H,Fulton,753,6,7,7,0,20,45,184,127,5,361,5,3,4,0,12,393,
11J,Fulton,2092,13,20,8,2,43,172,503,319,19,1013,8,13,7,3,31,1087,
11K,Fulton,2045,9,22,11,4,46,139,612,381,9,1141,6,13,6,1,26,1213,
11M,Fulton,1380,8,8,4,1,21,98,571,357,10,1036,4,5,1,0,10,1067,
11M1,Fulton,2190,10,24,0,2,36,132,517,56,24,729,5,11,0,1,17,782,
11N,Fulton,2431,11,27,19,2,59,184,802,426,2,1414,9,14,9,0,32,1505,
11P,Fulton,2095,5,11,13,3,32,129,548,372,11,1060,4,9,14,1,28,1120,
11R,Fulton,2253,6,16,6,1,29,117,450,222,5,794,4,8,9,0,21,844,
12A,Fulton,4971,40,95,35,2,172,276,1594,715,23,2608,9,39,19,2,69,2849,
12A1,Fulton,690,6,13,2,2,23,34,300,19,6,359,6,8,3,0,17,399,
12D,Fulton,1408,11,18,4,0,33,95,336,131,2,564,5,7,2,0,14,611,
12E1,Fulton,1906,12,19,27,0,58,114,292,227,4,637,4,13,7,0,24,719,
12F,Fulton,1229,6,17,4,0,27,110,289,85,2,486,4,7,0,0,11,524,
12G,Fulton,885,3,11,12,0,26,57,182,174,1,414,0,2,2,0,4,444,
12H1,Fulton,1170,3,12,6,0,21,94,167,71,12,344,6,6,2,0,14,379,
12H2,Fulton,2998,18,18,11,0,47,274,683,381,10,1348,8,20,4,0,32,1427,
12I,Fulton,1079,5,9,3,4,21,55,223,147,41,466,3,14,3,1,21,508,
12J,Fulton,3154,18,27,10,3,58,246,702,331,29,1308,11,10,7,1,29,1395,
12K,Fulton,3620,14,54,21,4,93,194,923,351,8,1476,11,37,9,0,57,1626,
12L,Fulton,774,0,10,3,1,14,56,133,65,4,258,2,2,5,0,9,281,
12M,Fulton,2990,22,17,7,2,48,343,625,299,21,1288,16,19,7,2,44,1380,
12N,Fulton,1134,6,5,5,1,17,91,218,77,11,397,4,6,1,1,12,426,
12S,Fulton,2079,10,15,5,1,31,163,567,233,14,977,3,11,7,0,21,1029,
AP01A,Fulton,5236,178,1355,471,0,2004,119,1191,724,4,2038,10,22,26,0,58,4100,
AP01B,Fulton,1281,58,252,96,5,411,38,279,139,4,460,5,13,6,1,25,896,
AP01C,Fulton,2409,79,697,177,7,960,50,518,314,5,887,15,21,5,0,41,1888,
AP01D,Fulton,1015,31,189,66,0,286,37,214,125,0,376,3,8,8,0,19,681,
AP021,Fulton,3408,163,915,234,1,1313,101,768,324,3,1196,10,38,16,0,64,2573,
AP022,Fulton,2507,86,501,203,0,790,95,500,343,0,938,6,24,12,0,42,1770,
AP02B,Fulton,677,28,90,89,5,212,10,129,117,4,260,2,5,4,0,11,483,
AP03,Fulton,775,26,54,13,1,94,72,183,56,5,316,7,3,4,1,15,425,
AP04A,Fulton,1760,80,504,224,5,813,41,347,211,4,603,8,15,6,0,29,1445,
AP04B,Fulton,473,40,152,24,0,216,6,106,58,4,174,1,7,1,2,11,401,
AP05,Fulton,4776,279,1235,461,6,1981,99,1019,639,5,1762,5,30,15,1,51,3794,
AP06,Fulton,1967,117,647,170,14,948,42,360,217,0,619,6,19,5,0,30,1597,
AP07A,Fulton,3910,185,899,303,11,1398,112,782,464,9,1367,12,41,19,8,80,2845,
AP07B,Fulton,1882,82,534,173,11,800,55,423,218,8,704,4,11,7,1,23,1527,
AP09A,Fulton,4437,207,995,365,6,1573,134,1054,601,6,1795,23,37,19,0,79,3447,
AP09B,Fulton,925,43,167,43,0,253,19,245,167,2,433,1,11,3,0,15,701,
AP10,Fulton,992,44,335,99,23,501,22,175,89,11,297,8,9,5,3,25,823,
AP12A,Fulton,746,29,121,36,2,188,38,173,81,12,304,1,8,4,0,13,505,
AP12B,Fulton,947,25,100,66,4,195,50,211,123,3,387,4,10,2,1,17,599,
AP12C,Fulton,2367,96,694,195,11,996,59,458,196,6,719,8,23,4,1,36,1751,
AP14,Fulton,3232,99,846,269,6,1220,65,753,501,3,1322,11,24,20,0,55,2597,
CH01,Fulton,376,14,29,14,1,58,8,100,35,3,146,1,4,1,0,6,210,
CH02,Fulton,338,33,81,33,0,147,14,49,34,0,97,1,2,1,0,4,248,
CH03,Fulton,410,52,117,34,0,203,13,60,23,0,96,3,5,1,0,9,308,
CH04A,Fulton,825,47,226,67,0,340,16,212,89,0,317,1,9,3,0,13,670,
CH05,Fulton,429,46,136,49,0,231,7,46,36,0,89,2,4,4,0,10,330,
CP011,Fulton,1353,21,98,28,1,148,80,359,149,8,596,7,10,2,1,20,764,
CP012,Fulton,1469,10,116,28,1,155,79,479,189,5,752,3,13,6,0,22,929,
CP01B,Fulton,422,8,48,15,0,71,16,121,36,1,174,2,4,3,0,9,254,
CP02,Fulton,1208,13,44,18,0,75,74,350,155,1,580,6,7,5,0,18,673,
CP04A,Fulton,13,0,1,1,0,2,0,2,0,0,2,0,0,0,0,0,4,
CP04B,Fulton,38,0,1,1,0,2,2,6,7,0,15,0,1,1,0,2,19,
CP051,Fulton,1756,7,17,9,0,33,139,527,251,0,917,8,12,0,0,20,970,
CP05B,Fulton,153,2,2,1,0,5,17,40,10,4,71,1,0,0,1,2,78,
CP06A,Fulton,732,5,8,1,1,15,50,128,38,0,216,1,3,1,0,5,236,
CP07B,Fulton,7,1,1,0,0,2,1,1,0,0,2,0,0,0,0,0,4,
CP07C,Fulton,323,1,1,0,0,2,17,42,10,0,69,0,2,0,0,2,73,
CP07D,Fulton,790,3,6,3,0,12,56,122,35,0,213,5,3,2,0,10,235,
CP07E,Fulton,127,0,1,0,0,1,18,18,3,0,39,1,1,0,0,2,42,
CP07F,Fulton,266,1,1,0,0,2,20,35,5,0,60,2,1,0,0,3,65,
CP081,Fulton,373,5,3,0,0,8,29,52,12,5,98,2,1,1,0,4,110,
CP083,Fulton,240,2,1,0,0,3,11,20,3,0,34,0,0,0,0,0,37,
CP084,Fulton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CP08A,Fulton,756,7,2,1,0,10,59,82,25,0,166,1,3,2,0,6,182,
EP01A,Fulton,2978,26,91,30,2,149,171,928,333,13,1445,10,33,5,0,48,1642,
EP01B,Fulton,3473,29,69,28,0,126,198,920,438,9,1565,9,31,11,1,52,1743,
EP02A,Fulton,2407,14,28,20,3,65,149,545,292,16,1002,6,13,8,0,27,1094,
EP02B,Fulton,1679,20,98,43,0,161,83,610,269,1,963,2,13,5,0,20,1144,
EP02C,Fulton,522,6,28,9,0,43,15,180,62,0,257,1,6,4,0,11,311,
EP02D,Fulton,420,4,5,1,0,10,29,156,49,0,234,0,0,1,0,1,245,
EP02E,Fulton,1668,6,35,9,0,50,103,419,156,0,678,3,18,8,0,29,757,
EP03A,Fulton,4925,40,77,53,0,170,291,1539,790,8,2628,10,27,18,0,55,2853,
EP03B,Fulton,1547,10,41,12,0,63,68,595,338,5,1006,4,7,1,0,12,1081,
EP04A,Fulton,5020,33,47,21,1,102,510,1320,649,34,2513,15,21,12,1,49,2664,
EP04B,Fulton,2624,8,25,4,1,38,148,1059,268,9,1484,4,12,7,0,23,1545,
EP04C,Fulton,1318,0,15,1,1,17,0,390,38,4,432,0,6,2,0,8,457,
FA01A,Fulton,4032,44,160,69,0,273,219,1385,570,11,2185,9,28,17,3,57,2515,
FA01B,Fulton,5860,5,237,95,1,338,25,2191,788,8,3012,2,40,17,0,59,3409,
FA01C,Fulton,769,4,18,6,0,28,60,281,100,1,442,1,5,2,0,8,478,
FA01D,Fulton,321,2,10,1,1,14,19,118,5,15,157,1,2,2,2,7,178,
FC01,Fulton,325,3,2,0,0,5,19,125,23,2,169,2,4,2,0,8,182,
FC02,Fulton,585,4,4,2,0,10,11,27,6,1,45,0,2,0,2,4,59,
FC03,Fulton,17,0,1,0,0,1,1,7,0,8,16,0,0,0,0,0,17,
HP01,Fulton,3824,145,299,98,1,543,268,878,417,7,1570,20,35,21,0,76,2189,
JC01,Fulton,4128,197,757,306,5,1265,129,1085,898,4,2116,6,29,16,2,53,3434,
JC01A,Fulton,1738,96,231,34,3,364,81,461,111,4,657,7,9,5,0,21,1042,
JC02,Fulton,3001,123,535,248,2,908,105,639,494,4,1242,7,12,18,0,37,2187,
JC03A,Fulton,594,36,147,27,2,212,14,190,60,3,267,0,4,3,0,7,486,
JC03B,Fulton,1616,81,309,69,0,459,68,413,253,0,734,8,25,9,0,42,1235,
JC04A,Fulton,3177,94,832,228,9,1163,46,840,500,8,1394,3,22,14,0,39,2596,
JC04B,Fulton,334,10,50,26,0,86,5,90,43,0,138,1,3,0,0,4,228,
JC04C,Fulton,1251,43,269,71,0,383,22,325,202,0,549,3,24,11,0,38,970,
JC05,Fulton,2350,106,523,116,1,746,54,618,301,3,976,11,21,12,0,44,1766,
JC06,Fulton,2840,153,616,246,4,1019,117,514,375,4,1010,13,15,6,0,34,2063,
JC07,Fulton,4670,143,966,337,18,1464,102,1106,796,14,2018,13,36,19,1,69,3551,
JC08,Fulton,2931,110,742,199,1,1052,72,706,403,4,1185,8,43,13,0,64,2301,
JC09,Fulton,3250,135,632,201,4,972,109,810,437,2,1358,16,22,14,0,52,2382,
JC10,Fulton,2641,116,451,142,9,718,82,683,421,8,1194,5,35,22,2,64,1976,
JC11,Fulton,3497,174,955,297,0,1426,106,687,415,0,1208,12,37,13,0,62,2696,
JC12,Fulton,2832,100,925,363,3,1391,33,428,363,2,826,2,21,9,0,32,2249,
JC13A,Fulton,2317,99,806,233,1,1139,37,394,244,1,676,4,14,7,0,25,1840,
JC13B,Fulton,282,8,123,35,1,167,2,36,25,0,63,0,2,0,0,2,232,
JC14,Fulton,2608,82,811,223,1,1117,56,586,302,2,946,3,16,9,0,28,2091,
JC15,Fulton,959,30,178,48,0,256,37,271,113,0,421,5,14,4,0,23,700,
JC16,Fulton,2707,138,685,171,1,995,61,635,354,0,1050,6,36,12,0,54,2099,
JC18,Fulton,2857,101,886,249,1,1237,52,644,350,2,1048,2,23,11,0,36,2321,
JC19,Fulton,4174,121,1021,273,6,1421,95,991,603,7,1696,11,38,25,0,74,3191,
ML01A,Fulton,2795,148,943,220,23,1334,53,623,270,10,956,11,23,8,1,43,2333,
ML01B,Fulton,708,39,240,74,0,353,10,119,63,0,192,2,2,4,0,8,553,
ML02A,Fulton,2580,246,959,261,3,1469,65,296,238,0,599,12,17,9,0,38,2106,
ML02B,Fulton,1914,136,669,216,1,1022,43,287,161,1,492,8,16,8,0,32,1546,
ML03,Fulton,3718,256,1323,423,3,2005,77,577,329,3,986,13,25,15,1,54,3045,
ML03A,Fulton,301,15,125,13,2,155,3,40,9,0,52,1,2,1,0,4,211,
ML04,Fulton,3322,203,1070,339,21,1633,73,588,332,8,1001,10,17,5,1,33,2667,
ML05,Fulton,4843,250,1210,381,11,1852,136,993,615,3,1747,11,36,11,0,58,3657,
ML06A,Fulton,2181,102,267,81,1,451,95,569,228,4,896,8,21,8,2,39,1386,
ML06B,Fulton,3119,128,500,151,4,783,127,818,440,2,1387,11,26,16,0,53,2223,
ML07A,Fulton,836,121,227,77,0,425,18,124,74,0,216,6,4,1,0,11,652,
ML07B,Fulton,1675,221,489,150,0,860,47,245,149,1,442,5,11,12,0,28,1330,
MP01,Fulton,472,123,34,22,3,182,84,36,57,2,179,11,1,2,0,14,375,
PA01,Fulton,3006,54,224,122,5,405,167,864,322,13,1366,8,26,12,1,47,1818,
RW01,Fulton,5010,197,1507,662,9,2375,84,921,735,3,1743,10,49,33,0,92,4210,
RW02,Fulton,4061,235,1046,376,6,1663,102,848,608,7,1565,22,40,19,1,82,3310,
RW03,Fulton,5041,232,867,285,8,1392,194,1075,639,7,1915,32,45,24,0,101,3408,
RW04,Fulton,1861,70,462,165,0,697,31,477,301,0,809,5,28,6,1,40,1546,
RW05,Fulton,2910,112,361,140,4,617,181,651,324,10,1166,16,27,16,1,60,1843,
RW06,Fulton,3071,162,662,174,2,1000,84,774,394,5,1257,6,24,11,1,42,2299,
RW07A,Fulton,1773,44,78,19,0,141,182,399,143,2,726,12,19,7,0,38,905,
RW07B,Fulton,449,19,35,13,5,72,46,84,55,15,200,5,2,2,0,9,281,
RW08,Fulton,2429,151,587,352,5,1095,56,352,297,4,709,8,13,15,0,36,1840,
RW09,Fulton,4450,278,1403,672,1,2354,72,728,676,2,1478,21,31,24,1,77,3909,
RW09A,Fulton,1892,130,636,66,7,839,36,333,70,1,440,5,17,5,0,27,1306,
RW10,Fulton,3653,185,1107,429,6,1727,49,661,464,6,1180,19,33,20,0,72,2979,
RW11A,Fulton,2865,136,585,226,5,952,107,549,399,5,1060,11,30,11,0,52,2064,
RW12,Fulton,3899,292,1155,538,2,1987,86,735,730,2,1553,13,27,27,0,67,3607,
RW12A,Fulton,2458,138,644,86,4,872,67,489,98,3,657,9,19,6,0,34,1563,
RW13,Fulton,3764,219,926,298,4,1447,130,878,433,4,1445,16,42,17,1,76,2968,
RW16,Fulton,2101,116,606,193,3,918,45,432,252,3,732,11,14,7,0,32,1682,
RW17,Fulton,3100,142,496,135,1,774,156,765,373,4,1298,16,48,18,0,82,2154,
RW19,Fulton,2147,120,688,208,1,1017,46,409,258,0,713,14,18,6,1,39,1769,
RW20,Fulton,2701,82,792,230,4,1108,46,651,339,3,1039,7,24,11,0,42,2189,
RW21,Fulton,3362,86,1076,317,11,1490,76,648,360,10,1094,10,29,14,0,53,2637,
