Precinct,County,Registered Voters,Todd Chapman_Election Day Votes,Todd Chapman_Advanced Voting Votes,Todd Chapman_Absentee by Mail Votes,Todd Chapman_Provisional Votes,Todd Chapman_Choice Total,Michael Crow_Election Day Votes,Michael Crow_Advanced Voting Votes,Michael Crow_Absentee by Mail Votes,Michael Crow_Provisional Votes,Michael Crow_Choice Total,Mike Haynes (I)_Election Day Votes,Mike Haynes (I)_Advanced Voting Votes,Mike Haynes (I)_Absentee by Mail Votes,Mike Haynes (I)_Provisional Votes,Mike Haynes (I)_Choice Total,Total,Ind_total
Chestatee,Hall,0.0,299.0,839.0,286.0,0.0,1424.0,200.0,457.0,160.0,0.0,817.0,387.0,1171.0,455.0,1.0,2014.0,4255.0,2014.0
Fork,Hall,0.0,282.0,723.0,256.0,1.0,1262.0,184.0,402.0,152.0,0.0,738.0,398.0,999.0,367.0,1.0,1765.0,3765.0,1765.0
Whelchel,Hall,0.0,240.0,1079.0,297.0,0.0,1616.0,164.0,509.0,184.0,0.0,857.0,302.0,1473.0,486.0,0.0,2261.0,4734.0,2261.0
West Whelchel,Hall,0.0,198.0,790.0,391.0,0.0,1379.0,97.0,458.0,181.0,0.0,736.0,273.0,1309.0,711.0,1.0,2294.0,4409.0,2294.0
Gainesville I,Hall,0.0,262.0,691.0,312.0,2.0,1267.0,159.0,419.0,198.0,3.0,779.0,313.0,935.0,491.0,3.0,1742.0,3788.0,1742.0
Gainesville II,Hall,0.0,166.0,310.0,222.0,0.0,698.0,131.0,268.0,169.0,0.0,568.0,120.0,224.0,241.0,1.0,586.0,1852.0,586.0
Gainesville III,Hall,0.0,349.0,656.0,229.0,0.0,1234.0,292.0,493.0,181.0,1.0,967.0,310.0,682.0,337.0,2.0,1331.0,3532.0,1331.0
Gainesville IV,Hall,0.0,145.0,445.0,167.0,0.0,757.0,114.0,304.0,102.0,0.0,520.0,189.0,612.0,295.0,0.0,1096.0,2373.0,1096.0
Gainesville V,Hall,0.0,109.0,247.0,94.0,0.0,450.0,73.0,145.0,52.0,0.0,270.0,122.0,320.0,145.0,0.0,587.0,1307.0,587.0
Gillsville,Hall,0.0,200.0,246.0,56.0,1.0,503.0,105.0,131.0,41.0,1.0,278.0,245.0,264.0,77.0,0.0,586.0,1367.0,586.0
Big Hickory,Hall,0.0,223.0,1012.0,239.0,1.0,1475.0,126.0,470.0,112.0,1.0,709.0,296.0,1526.0,415.0,0.0,2237.0,4421.0,2237.0
Friendship I,Hall,0.0,353.0,2028.0,810.0,0.0,3191.0,233.0,1288.0,561.0,1.0,2083.0,435.0,3006.0,1277.0,2.0,4720.0,9994.0,4720.0
Friendship II,Hall,0.0,236.0,732.0,167.0,2.0,1137.0,184.0,501.0,125.0,0.0,810.0,315.0,1040.0,267.0,1.0,1623.0,3570.0,1623.0
Friendship III,Hall,0.0,247.0,1166.0,269.0,2.0,1684.0,179.0,781.0,193.0,1.0,1154.0,274.0,1514.0,356.0,1.0,2145.0,4983.0,2145.0
Friendship IV,Hall,0.0,115.0,1078.0,196.0,2.0,1391.0,65.0,625.0,133.0,4.0,827.0,154.0,1372.0,302.0,1.0,1829.0,4047.0,1829.0
