Precinct,County,Registered Voters,Keith E. Gammage (I) (Dem)_Election Day Votes,Keith E. Gammage (I) (Dem)_Advanced Voting Votes,Keith E. Gammage (I) (Dem)_Absentee by Mail Votes,Keith E. Gammage (I) (Dem)_Provisional Votes,Keith E. Gammage (I) (Dem)_Choice Total,Total,
09K,Fulton,4002,269,857,459,11,1596,1596,
09K1,Fulton,1518,109,315,37,1,462,462,
09M,Fulton,2578,101,1192,338,0,1631,1631,
10A,Fulton,3186,229,935,512,14,1690,1690,
10B,Fulton,3965,233,1457,846,10,2546,2546,
10C,Fulton,2598,136,678,310,13,1137,1137,
10D,Fulton,4968,308,1124,530,144,2106,2106,
10E,Fulton,1084,95,294,179,3,571,571,
10F,Fulton,1208,115,299,194,13,621,621,
10G,Fulton,1332,95,495,227,3,820,820,
10H1,Fulton,439,30,150,74,13,267,267,
10H2,Fulton,2623,167,543,328,12,1050,1050,
10I,Fulton,331,13,151,90,0,254,254,
10J,Fulton,1238,138,183,129,12,462,462,
10K,Fulton,1614,108,549,297,5,959,959,
10M,Fulton,2880,240,838,401,12,1491,1491,
10P,Fulton,1607,149,332,227,3,711,711,
10R,Fulton,928,96,195,81,14,386,386,
11B,Fulton,4395,339,1315,812,33,2499,2499,
11B1,Fulton,894,71,284,28,5,388,388,
11C,Fulton,3149,161,1335,566,11,2073,2073,
11E1,Fulton,1340,116,390,163,16,685,685,
11E2,Fulton,1003,76,340,158,4,578,578,
11E3,Fulton,3605,269,1358,340,15,1982,1982,
11G,Fulton,2556,118,465,316,27,926,926,
11H,Fulton,753,51,183,136,7,377,377,
11J,Fulton,2092,182,511,308,22,1023,1023,
11K,Fulton,2045,141,605,370,12,1128,1128,
11M,Fulton,1380,98,563,339,6,1006,1006,
11M1,Fulton,2190,137,522,53,26,738,738,
11N,Fulton,2431,195,799,427,2,1423,1423,
11P,Fulton,2095,130,535,381,12,1058,1058,
11R,Fulton,2253,119,445,229,6,799,799,
12A,Fulton,4971,287,1610,720,20,2637,2637,
12A1,Fulton,690,41,299,20,8,368,368,
12D,Fulton,1408,103,349,133,2,587,587,
12E1,Fulton,1906,117,298,227,3,645,645,
12F,Fulton,1229,110,299,90,2,501,501,
12G,Fulton,885,57,179,178,1,415,415,
12H1,Fulton,1170,99,174,75,12,360,360,
12H2,Fulton,2998,274,692,384,5,1355,1355,
12I,Fulton,1079,55,226,143,41,465,465,
12J,Fulton,3154,258,697,324,29,1308,1308,
12K,Fulton,3620,205,946,339,10,1500,1500,
12L,Fulton,774,54,134,67,3,258,258,
12M,Fulton,2990,364,639,298,20,1321,1321,
12N,Fulton,1134,91,219,84,12,406,406,
12S,Fulton,2079,166,567,233,14,980,980,
AP01A,Fulton,5236,213,1796,909,3,2921,2921,
AP01B,Fulton,1281,70,390,179,6,645,645,
AP01C,Fulton,2409,97,851,386,7,1341,1341,
AP01D,Fulton,1015,50,298,162,0,510,510,
AP021,Fulton,3408,198,1136,411,3,1748,1748,
AP022,Fulton,2507,133,696,424,0,1253,1253,
AP02B,Fulton,677,22,155,147,5,329,329,
AP03,Fulton,775,84,211,65,5,365,365,
AP04A,Fulton,1760,83,558,290,8,939,939,
AP04B,Fulton,473,30,187,62,4,283,283,
AP05,Fulton,4776,211,1546,807,9,2573,2573,
AP06,Fulton,1967,85,655,283,10,1033,1033,
AP07A,Fulton,3910,199,1167,555,17,1938,1938,
AP07B,Fulton,1882,76,644,285,13,1018,1018,
AP09A,Fulton,4437,238,1471,733,6,2448,2448,
AP09B,Fulton,925,45,316,178,2,541,541,
AP10,Fulton,992,45,315,131,26,517,517,
AP12A,Fulton,746,55,230,96,15,396,396,
AP12B,Fulton,947,64,258,138,4,464,464,
AP12C,Fulton,2367,113,728,261,13,1115,1115,
AP14,Fulton,3232,116,1143,621,4,1884,1884,
CH01,Fulton,376,13,116,42,4,175,175,
CH02,Fulton,338,33,75,43,0,151,151,
CH03,Fulton,410,24,94,34,0,152,152,
CH04A,Fulton,825,37,265,100,0,402,402,
CH05,Fulton,429,28,77,44,0,149,149,
CP011,Fulton,1353,91,398,156,6,651,651,
CP012,Fulton,1469,81,527,203,5,816,816,
CP01B,Fulton,422,19,135,48,0,202,202,
CP02,Fulton,1208,74,356,160,1,591,591,
CP04A,Fulton,13,0,3,0,0,3,3,
CP04B,Fulton,38,2,7,9,0,18,18,
CP051,Fulton,1756,147,529,247,0,923,923,
CP05B,Fulton,153,20,37,8,4,69,69,
CP06A,Fulton,732,49,127,38,1,215,215,
CP07B,Fulton,7,2,2,0,0,4,4,
CP07C,Fulton,323,18,46,10,0,74,74,
CP07D,Fulton,790,64,125,38,0,227,227,
CP07E,Fulton,127,19,19,3,0,41,41,
CP07F,Fulton,266,22,34,6,0,62,62,
CP081,Fulton,373,34,53,15,5,107,107,
CP083,Fulton,240,11,19,3,0,33,33,
CP084,Fulton,1,0,0,0,0,0,0,
CP08A,Fulton,756,62,85,26,0,173,173,
EP01A,Fulton,2978,187,949,339,13,1488,1488,
EP01B,Fulton,3473,214,951,440,9,1614,1614,
EP02A,Fulton,2407,160,545,300,20,1025,1025,
EP02B,Fulton,1679,91,620,284,1,996,996,
EP02C,Fulton,522,16,190,65,0,271,271,
EP02D,Fulton,420,31,157,48,0,236,236,
EP02E,Fulton,1668,105,432,153,0,690,690,
EP03A,Fulton,4925,317,1551,806,6,2680,2680,
EP03B,Fulton,1547,77,595,336,6,1014,1014,
EP04A,Fulton,5020,534,1326,654,31,2545,2545,
EP04B,Fulton,2624,148,1067,269,8,1492,1492,
EP04C,Fulton,1318,0,399,39,4,442,442,
FA01A,Fulton,4032,240,1447,596,16,2299,2299,
FA01B,Fulton,5860,29,2287,849,8,3173,3173,
FA01C,Fulton,769,62,281,105,1,449,449,
FA01D,Fulton,321,17,124,8,15,164,164,
FC01,Fulton,325,21,130,25,2,178,178,
FC02,Fulton,585,13,27,8,2,50,50,
FC03,Fulton,17,1,8,0,6,15,15,
HP01,Fulton,3824,330,985,457,4,1776,1776,
JC01,Fulton,4128,221,1415,1027,7,2670,2670,
JC01A,Fulton,1738,131,551,120,5,807,807,
JC02,Fulton,3001,162,865,582,6,1615,1615,
JC03A,Fulton,594,26,251,72,1,350,350,
JC03B,Fulton,1616,110,563,283,0,956,956,
JC04A,Fulton,3177,95,1201,580,9,1885,1885,
JC04B,Fulton,334,9,107,52,0,168,168,
JC04C,Fulton,1251,43,475,252,0,770,770,
JC05,Fulton,2350,117,845,351,4,1317,1317,
JC06,Fulton,2840,188,752,457,4,1401,1401,
JC07,Fulton,4670,162,1530,895,23,2610,2610,
JC08,Fulton,2931,130,1053,496,4,1683,1683,
JC09,Fulton,3250,181,1094,545,3,1823,1823,
JC10,Fulton,2641,142,867,482,10,1501,1501,
JC11,Fulton,3497,206,1081,505,0,1792,1792,
JC12,Fulton,2832,73,805,458,5,1341,1341,
JC13A,Fulton,2317,85,711,321,1,1118,1118,
JC13B,Fulton,282,4,92,35,1,132,132,
JC14,Fulton,2608,93,919,383,2,1397,1397,
JC15,Fulton,959,52,346,138,0,536,536,
JC16,Fulton,2707,125,969,418,1,1513,1513,
JC18,Fulton,2857,100,987,440,3,1530,1530,
JC19,Fulton,4174,158,1400,696,13,2267,2267,
ML01A,Fulton,2795,140,1041,374,24,1579,1579,
ML01B,Fulton,708,32,219,91,0,342,342,
ML02A,Fulton,2580,166,677,325,2,1170,1170,
ML02B,Fulton,1914,100,564,243,1,908,908,
ML03,Fulton,3718,220,1103,498,5,1826,1826,
ML03A,Fulton,301,12,90,14,0,116,116,
ML04,Fulton,3322,163,1009,427,20,1619,1619,
ML05,Fulton,4843,256,1487,737,10,2490,2490,
ML06A,Fulton,2181,145,695,251,6,1097,1097,
ML06B,Fulton,3119,183,1029,494,4,1710,1710,
ML07A,Fulton,836,76,224,106,0,406,406,
ML07B,Fulton,1675,150,429,208,1,788,788,
MP01,Fulton,472,142,43,62,4,251,251,
PA01,Fulton,3006,205,936,355,15,1511,1511,
RW01,Fulton,5010,167,1541,974,10,2692,2692,
RW02,Fulton,4061,211,1277,743,9,2240,2240,
RW03,Fulton,5041,333,1423,735,10,2501,2501,
RW04,Fulton,1861,56,654,367,1,1078,1078,
RW05,Fulton,2910,230,805,394,10,1439,1439,
RW06,Fulton,3071,159,1056,465,7,1687,1687,
RW07A,Fulton,1773,216,450,158,2,826,826,
RW07B,Fulton,449,53,97,64,14,228,228,
RW08,Fulton,2429,126,593,419,6,1144,1144,
RW09,Fulton,4450,209,1280,922,3,2414,2414,
RW09A,Fulton,1892,98,571,100,2,771,771,
RW10,Fulton,3653,149,1169,637,9,1964,1964,
RW11A,Fulton,2865,186,793,492,7,1478,1478,
RW12,Fulton,3899,233,1231,912,4,2380,2380,
RW12A,Fulton,2458,135,746,129,3,1013,1013,
RW13,Fulton,3764,234,1322,535,6,2097,2097,
RW16,Fulton,2101,106,711,312,4,1133,1133,
RW17,Fulton,3100,230,995,431,4,1660,1660,
RW19,Fulton,2147,110,710,336,1,1157,1157,
RW20,Fulton,2701,80,1002,419,6,1507,1507,
RW21,Fulton,3362,123,1109,492,13,1737,1737,
RW22A,Fulton,4788,270,1638,580,11,2499,2499,
SC01A,Fulton,41,2,38,7,0,47,47,
SC01B,Fulton,2088,123,1121,296,13,1553,1553,
SC01C,Fulton,2249,86,1041,454,8,1589,1589,
SC02,Fulton,1426,42,713,253,3,1011,1011,
SC04,Fulton,1080,80,352,152,4,588,588,
SC05A,Fulton,721,56,319,83,5,463,463,
SC05B,Fulton,3646,184,1770,492,8,2454,2454,
SC05D,Fulton,2808,183,1295,351,1,1830,1830,
SC05E,Fulton,688,44,250,128,2,424,424,
SC07A,Fulton,4506,245,1864,1011,10,3130,3130,
SC07C,Fulton,41,1,9,3,0,13,13,
SC07D,Fulton,2038,133,857,88,4,1082,1082,
SC08B,Fulton,4096,273,1532,637,12,2454,2454,
SC08C,Fulton,91,6,44,17,0,67,67,
SC08D,Fulton,605,39,233,78,0,350,350,
SC08E,Fulton,724,59,298,62,4,423,423,
SC08F,Fulton,793,43,284,98,1,426,426,
SC08G,Fulton,14,0,3,0,0,3,3,
SC08H,Fulton,1,0,0,0,0,0,0,
SC09A,Fulton,1865,179,531,226,9,945,945,
SC09B,Fulton,1920,124,717,353,2,1196,1196,
SC09C,Fulton,1852,179,528,286,2,995,995,
SC10,Fulton,1912,155,415,185,9,764,764,
SC11A,Fulton,1656,146,528,263,22,959,959,
SC11B,Fulton,1691,112,539,310,6,967,967,
SC13,Fulton,2895,168,1345,416,6,1935,1935,
SC14A,Fulton,1030,68,321,97,0,486,486,
SC15,Fulton,4522,276,2001,805,4,3086,3086,
SC15A,Fulton,2482,133,1289,103,0,1525,1525,
SC16A,Fulton,5175,290,2449,853,0,3592,3592,
SC17A,Fulton,60,1,32,9,0,42,42,
SC17B,Fulton,10,0,1,0,3,4,4,
SC17C,Fulton,1293,74,492,180,0,746,746,
SC18A,Fulton,570,42,223,119,0,384,384,
SC18B,Fulton,915,40,462,155,0,657,657,
SC18C,Fulton,2100,78,1010,399,0,1487,1487,
SC19A,Fulton,213,6,84,45,1,136,136,
SC19B,Fulton,1628,134,423,212,8,777,777,
SC20,Fulton,2562,109,1473,355,26,1963,1963,
SC211,Fulton,1828,102,831,293,0,1226,1226,
SC212,Fulton,4244,262,1719,595,8,2584,2584,
SC23A,Fulton,3854,335,1119,641,10,2105,2105,
SC23B,Fulton,557,56,170,109,2,337,337,
SC23C,Fulton,2606,209,873,393,2,1477,1477,
SC27,Fulton,2361,147,725,463,0,1335,1335,
SC29A,Fulton,3154,272,943,540,9,1764,1764,
SC30A,Fulton,157,5,44,59,6,114,114,
SC30B,Fulton,1110,60,357,149,0,566,566,
SS01,Fulton,4846,152,1410,884,5,2451,2451,
SS02A,Fulton,1206,45,393,231,5,674,674,
SS02B,Fulton,1318,65,461,204,5,735,735,
SS03,Fulton,1577,84,564,261,2,911,911,
SS04,Fulton,3763,207,1253,623,16,2099,2099,
SS05,Fulton,1853,88,638,350,3,1079,1079,
SS06,Fulton,1667,58,537,305,49,949,949,
SS07A,Fulton,1254,36,381,238,0,655,655,
SS07B,Fulton,793,42,262,141,1,446,446,
SS07C,Fulton,809,21,163,163,14,361,361,
SS08A,Fulton,1891,140,656,237,11,1044,1044,
SS08B,Fulton,696,23,230,138,0,391,391,
SS08C,Fulton,716,32,228,139,0,399,399,
SS08D,Fulton,1555,81,498,236,0,815,815,
SS09A,Fulton,3193,136,877,649,0,1662,1662,
SS09B,Fulton,3611,109,1200,698,2,2009,2009,
SS11A,Fulton,4026,279,1243,580,11,2113,2113,
SS11B,Fulton,1412,100,430,195,1,726,726,
SS11C,Fulton,361,30,117,27,1,175,175,
SS11D,Fulton,397,15,134,77,0,226,226,
SS12,Fulton,2897,136,922,535,9,1602,1602,
SS13A,Fulton,2103,117,694,309,3,1123,1123,
SS13B,Fulton,1278,79,470,149,1,699,699,
SS14,Fulton,1412,60,483,237,1,781,781,
SS15A,Fulton,2756,248,828,272,5,1353,1353,
SS15B,Fulton,1730,165,527,198,2,892,892,
SS16,Fulton,2116,82,648,454,2,1186,1186,
SS17,Fulton,3686,225,1111,572,14,1922,1922,
SS18A,Fulton,657,26,220,123,0,369,369,
SS18B,Fulton,241,7,74,48,0,129,129,
SS19A,Fulton,3299,178,1112,400,10,1700,1700,
SS19B,Fulton,2342,120,857,324,84,1385,1385,
SS20,Fulton,2404,160,695,339,9,1203,1203,
SS22,Fulton,2834,149,680,429,3,1261,1261,
SS26,Fulton,3824,245,1264,383,16,1908,1908,
SS29A,Fulton,2842,149,947,476,6,1578,1578,
SS31,Fulton,1703,71,568,296,0,935,935,
UC01A,Fulton,4234,331,1226,339,11,1907,1907,
UC01B,Fulton,428,38,139,30,5,212,212,
UC01D,Fulton,6,0,0,0,0,0,0,
UC01E,Fulton,512,41,267,72,0,380,380,
UC02A,Fulton,5609,327,2184,1129,19,3659,3659,
UC02B,Fulton,32,2,11,3,0,16,16,
UC02C,Fulton,3614,150,1223,130,15,1518,1518,
UC031,Fulton,2745,160,656,441,26,1283,1283,
UC032,Fulton,393,20,135,75,1,231,231,
