Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
02F2,Fulton,851,17,35,18,3,73,33,235,120,2,390,7,10,2,0,19,482,
02G,Fulton,3895,79,258,120,2,459,141,1449,645,3,2238,27,68,38,1,134,2831,
02J,Fulton,2273,30,113,71,5,219,82,823,388,6,1299,14,42,19,1,76,1594,
02K,Fulton,1461,29,104,30,0,163,31,538,257,0,826,6,28,19,0,53,1042,
02L1,Fulton,5546,96,443,246,6,791,146,1820,1123,9,3098,20,88,61,0,169,4058,
02L1A,Fulton,1477,29,103,15,3,150,58,507,73,4,642,7,15,5,1,28,820,
02L2,Fulton,2249,49,181,52,1,283,87,736,332,5,1160,11,36,14,0,61,1504,
02S,Fulton,790,13,20,15,0,48,33,262,122,0,417,8,14,6,0,28,493,
02W,Fulton,978,20,62,24,0,106,42,351,116,0,509,5,18,6,0,29,644,
03A,Fulton,2230,7,15,8,1,31,138,366,219,18,741,5,13,5,2,25,797,
03B,Fulton,777,2,7,2,0,11,50,95,57,0,202,6,3,5,0,14,227,
03C,Fulton,1879,11,9,9,0,29,130,313,220,5,668,8,23,6,1,38,735,
03D,Fulton,1235,9,8,7,0,24,77,209,98,20,404,6,8,3,1,18,446,
03E,Fulton,2894,23,23,7,3,56,271,456,210,37,974,16,23,8,5,52,1082,
03F,Fulton,2328,43,179,54,1,277,104,714,321,3,1142,12,28,15,0,55,1474,
03G,Fulton,1033,4,3,1,0,8,74,140,42,5,261,7,8,1,0,16,285,
03H,Fulton,1091,10,6,3,0,19,78,216,96,0,390,4,5,1,1,11,420,
03I,Fulton,1607,24,64,21,6,115,78,296,100,17,491,13,11,4,1,29,635,
03L,Fulton,748,7,5,1,0,13,67,94,41,0,202,1,0,0,0,1,216,
03M,Fulton,965,63,42,3,0,108,107,214,86,2,409,17,10,4,0,31,548,
03N,Fulton,2804,18,26,9,5,58,202,434,150,20,806,12,23,3,1,39,903,
03P1A,Fulton,4404,70,214,78,1,363,199,1234,488,13,1934,33,68,19,0,120,2417,
03P2,Fulton,23,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,7,
03S,Fulton,908,5,5,4,0,14,88,196,104,0,388,5,4,0,0,9,411,
03T,Fulton,1742,17,25,6,1,49,133,465,127,4,729,10,19,6,0,35,813,
04A,Fulton,1554,1,10,5,0,16,93,302,160,0,555,8,12,6,0,26,597,
04B,Fulton,2948,7,18,6,0,31,118,398,205,0,721,5,9,7,0,21,773,
04C,Fulton,150,0,1,0,0,1,11,27,12,1,51,0,0,0,0,0,52,
04D,Fulton,1736,14,22,7,1,44,137,415,197,4,753,11,24,2,0,37,834,
04F,Fulton,2786,26,67,17,1,111,162,726,193,9,1090,17,27,7,1,52,1253,
04G,Fulton,1025,6,4,4,0,14,107,181,77,1,366,7,7,4,0,18,398,
04I,Fulton,4604,16,34,19,0,69,67,438,172,5,682,6,20,4,1,31,782,
04J,Fulton,1617,4,2,2,1,9,43,103,19,8,173,2,6,1,1,10,192,
04K,Fulton,2736,6,29,14,0,49,180,676,346,14,1216,15,29,5,1,50,1315,
04L,Fulton,2014,18,23,17,1,59,150,531,182,5,868,12,20,7,0,39,966,
04M,Fulton,979,6,6,3,0,15,92,142,67,5,306,7,10,3,0,20,341,
04S,Fulton,2541,13,22,15,1,51,254,575,290,6,1125,12,30,9,2,53,1229,
04T,Fulton,1297,6,17,9,1,33,116,329,148,19,612,14,11,7,1,33,678,
04V,Fulton,3573,33,22,9,1,65,337,673,224,1,1235,17,22,7,2,48,1348,
04W,Fulton,3365,3,0,0,0,3,54,130,27,7,218,0,4,0,0,4,225,
04X1,Fulton,2283,10,31,11,0,52,137,575,261,2,975,23,20,3,0,46,1073,
04X2,Fulton,846,6,17,3,0,26,53,214,94,0,361,3,16,6,0,25,412,
05A1,Fulton,2936,41,152,57,0,250,90,1154,582,2,1828,21,50,23,0,94,2172,
05A2,Fulton,3343,33,163,62,5,263,116,1325,565,8,2014,15,69,30,0,114,2391,
05B,Fulton,2171,17,33,15,1,66,145,576,254,1,976,18,23,11,1,53,1095,
05C,Fulton,135,1,3,2,0,6,5,25,6,0,36,1,1,1,0,3,45,
05D,Fulton,541,2,1,1,0,4,19,55,8,2,84,1,3,0,0,4,92,
05F,Fulton,248,4,8,1,0,13,18,81,24,0,123,3,3,0,1,7,143,
05J,Fulton,684,10,25,13,0,48,26,255,119,1,401,5,12,6,0,23,472,
05K,Fulton,2826,17,73,22,1,113,128,628,253,3,1012,15,56,11,1,83,1208,
06B,Fulton,1889,58,174,65,2,299,41,659,348,4,1052,14,43,14,1,72,1423,
06D,Fulton,6160,123,556,443,1,1123,231,1849,1782,12,3874,34,113,82,0,229,5226,
06D1,Fulton,2539,56,264,51,1,372,36,840,136,3,1015,14,38,8,1,61,1448,
06D2,Fulton,850,19,104,14,1,138,12,276,45,0,333,2,10,4,0,16,487,
06E,Fulton,2344,60,181,88,4,333,77,736,354,2,1169,7,43,23,0,73,1575,
06F,Fulton,2841,46,252,98,4,400,80,972,458,4,1514,10,64,16,0,90,2004,
06G,Fulton,588,13,46,18,0,77,10,192,114,1,317,3,14,8,0,25,419,
06I,Fulton,4072,91,209,63,6,369,223,1253,501,14,1991,25,55,23,4,107,2467,
06J,Fulton,2770,61,271,128,1,461,47,890,674,0,1611,15,56,30,0,101,2173,
06L1,Fulton,991,29,131,59,0,219,22,301,195,3,521,2,21,9,0,32,772,
06L2,Fulton,726,32,112,39,0,183,13,220,121,1,355,3,7,13,0,23,561,
06N,Fulton,1770,58,260,116,1,435,49,389,231,6,675,8,24,19,4,55,1165,
06Q,Fulton,571,8,8,4,3,23,43,202,59,2,306,3,7,3,1,14,343,
06R,Fulton,2015,40,198,94,1,333,39,561,330,1,931,5,38,14,2,59,1323,
07A,Fulton,7691,347,1388,505,10,2250,251,1577,998,13,2839,34,100,46,0,180,5269,
07B,Fulton,2952,179,965,365,1,1510,40,409,358,0,807,16,51,21,0,88,2405,
07C,Fulton,4512,171,687,517,10,1385,112,833,684,5,1634,22,42,38,0,102,3121,
07D,Fulton,4879,184,895,261,13,1353,154,1054,485,13,1706,34,61,18,1,114,3173,
07E,Fulton,2247,52,328,178,3,561,32,556,445,1,1034,13,33,22,3,71,1666,
07F,Fulton,3790,165,750,295,25,1235,95,854,467,8,1424,17,66,31,1,115,2774,
07H,Fulton,2060,97,463,171,0,731,37,447,336,0,820,11,35,11,0,57,1608,
07J,Fulton,3041,117,525,222,7,871,93,758,402,4,1257,17,42,21,2,82,2210,
07M,Fulton,2401,75,307,113,0,495,93,507,310,0,910,14,25,20,0,59,1464,
07N,Fulton,2139,37,131,62,2,232,104,556,326,6,992,12,36,14,1,63,1287,
08A,Fulton,3084,166,738,267,5,1176,85,666,329,5,1085,10,44,20,0,74,2335,
08B,Fulton,3498,151,1033,321,2,1507,40,657,376,0,1073,28,82,20,0,130,2710,
08C,Fulton,1500,62,540,193,0,795,17,199,139,0,355,3,19,9,0,31,1181,
08D,Fulton,1073,38,408,131,12,589,6,132,110,5,253,1,18,10,1,30,872,
08E,Fulton,2568,114,837,299,3,1253,32,403,365,0,800,7,39,21,0,67,2120,
08F1,Fulton,2187,116,810,272,3,1201,20,341,219,1,581,5,36,13,0,54,1836,
08G,Fulton,3086,113,453,231,0,797,80,539,436,5,1060,20,43,28,0,91,1948,
08H,Fulton,2556,102,777,303,3,1185,30,422,358,0,810,6,23,13,0,42,2037,
08J,Fulton,3344,146,847,235,4,1232,67,796,348,4,1215,18,72,24,0,114,2561,
08K,Fulton,1049,66,186,72,0,324,29,274,158,0,461,5,21,15,0,41,826,
08L,Fulton,4505,153,700,225,5,1083,115,1154,660,15,1944,32,77,58,2,169,3196,
08M,Fulton,2295,133,712,232,2,1079,50,371,193,2,616,9,19,15,2,45,1740,
08N1,Fulton,824,28,269,101,1,399,8,128,89,1,226,1,12,5,0,18,643,
08N2,Fulton,1616,48,301,169,1,519,41,345,233,2,621,4,24,11,0,39,1179,
08P,Fulton,1887,39,124,49,4,216,91,549,199,6,845,14,32,15,0,61,1122,
09A,Fulton,3856,81,483,141,3,708,120,1227,492,5,1844,22,89,26,1,138,2690,
09B,Fulton,464,2,3,1,0,6,26,74,67,0,167,1,3,0,0,4,177,
09C,Fulton,3353,18,33,14,2,67,233,820,452,22,1527,20,30,12,3,65,1659,
09D,Fulton,2299,15,13,9,0,37,201,418,285,8,912,11,13,7,1,32,981,
09E,Fulton,3261,28,75,21,0,124,233,880,307,2,1422,22,37,15,0,74,1620,
09F,Fulton,3917,119,795,287,5,1206,83,1011,503,1,1598,19,63,25,1,108,2912,
09G,Fulton,3943,122,399,165,3,689,155,1243,529,7,1934,22,85,35,2,144,2767,
09H,Fulton,1185,17,52,27,0,96,64,363,140,1,568,8,24,10,0,42,706,
09I,Fulton,1397,12,21,4,0,37,127,235,170,1,533,8,12,4,1,25,595,
09K,Fulton,4002,17,47,15,2,81,245,803,456,9,1513,14,40,15,0,69,1663,
09K1,Fulton,1518,3,16,2,0,21,106,299,40,2,447,4,11,1,0,16,484,
09M,Fulton,2578,46,249,65,0,360,72,1041,316,0,1429,14,71,14,0,99,1888,
10A,Fulton,3186,10,30,9,0,49,226,894,516,15,1651,9,31,15,1,56,1756,
10B,Fulton,3965,16,39,20,2,77,211,1434,865,9,2519,13,37,13,0,63,2659,
10C,Fulton,2598,7,14,8,0,29,122,658,311,15,1106,12,17,6,0,35,1170,
10D,Fulton,4968,22,30,20,7,79,287,1082,522,138,2029,14,30,12,12,68,2176,
10E,Fulton,1084,5,11,5,0,21,89,288,182,4,563,3,6,1,0,10,594,
10F,Fulton,1208,12,11,3,1,27,102,293,195,11,601,7,10,2,0,19,647,
10G,Fulton,1332,10,13,6,0,29,88,491,232,3,814,9,12,7,1,29,872,
10H1,Fulton,439,2,5,0,0,7,25,142,80,12,259,3,7,1,2,13,279,
10H2,Fulton,2623,7,19,9,1,36,157,528,327,13,1025,9,12,12,0,33,1094,
10I,Fulton,331,3,3,2,0,8,12,156,89,0,257,1,1,1,0,3,268,
10J,Fulton,1238,10,5,5,0,20,134,179,126,14,453,5,8,3,1,17,490,
10K,Fulton,1614,7,28,9,0,44,97,519,295,5,916,10,17,5,0,32,992,
10M,Fulton,2880,15,37,18,0,70,227,809,416,11,1463,10,37,18,3,68,1601,
10P,Fulton,1607,7,10,5,0,22,139,323,227,4,693,6,10,7,0,23,738,
10R,Fulton,928,7,9,0,3,19,88,184,84,10,366,4,7,1,1,13,398,
11B,Fulton,4395,12,41,18,2,73,328,1286,826,29,2469,11,30,10,4,55,2597,
11B1,Fulton,894,8,10,1,0,19,59,275,28,5,367,6,8,1,0,15,401,
11C,Fulton,3149,7,34,11,0,52,146,1301,567,12,2026,10,34,10,1,55,2133,
11E1,Fulton,1340,11,11,7,3,32,110,379,161,17,667,5,11,4,0,20,719,
11E2,Fulton,1003,7,11,1,0,19,70,327,159,4,560,5,9,6,0,20,599,
11E3,Fulton,3605,14,36,5,1,56,253,1321,348,17,1939,10,31,6,0,47,2042,
11G,Fulton,2556,9,26,8,7,50,100,439,310,23,872,10,26,10,0,46,968,
11H,Fulton,753,5,7,8,0,20,45,178,130,7,360,5,6,2,0,13,393,
11J,Fulton,2092,12,16,6,0,34,167,493,321,22,1003,8,7,10,1,26,1063,
11K,Fulton,2045,11,19,11,3,44,129,592,371,11,1103,9,18,15,1,43,1190,
11M,Fulton,1380,8,10,6,0,24,91,557,344,9,1001,8,10,8,1,27,1052,
11M1,Fulton,2190,8,25,0,1,34,126,495,55,22,698,8,22,0,3,33,765,
11N,Fulton,2431,11,25,17,0,53,168,776,431,2,1377,19,20,9,2,50,1480,
11P,Fulton,2095,5,8,13,1,27,126,522,381,12,1041,5,15,11,3,34,1102,
11R,Fulton,2253,7,18,5,0,30,112,433,231,3,779,5,14,5,3,27,836,
12A,Fulton,4971,44,87,35,2,168,243,1537,714,21,2515,28,81,29,3,141,2824,
12A1,Fulton,690,6,12,1,1,20,34,289,22,7,352,6,15,0,0,21,393,
12D,Fulton,1408,11,18,7,1,37,91,335,133,1,560,7,8,5,0,20,617,
12E1,Fulton,1906,9,19,26,0,54,112,289,231,3,635,8,7,11,0,26,715,
12F,Fulton,1229,6,13,3,0,22,107,281,89,2,479,5,14,1,0,20,521,
12G,Fulton,885,5,9,10,0,24,52,172,173,1,398,2,7,10,0,19,441,
12H1,Fulton,1170,4,13,7,0,24,91,165,74,13,343,10,5,1,0,16,383,
12H2,Fulton,2998,15,17,6,1,39,256,665,388,7,1316,14,22,9,2,47,1402,
12I,Fulton,1079,6,8,3,0,17,50,209,145,41,445,5,15,5,5,30,492,
12J,Fulton,3154,27,29,10,3,69,232,661,329,31,1253,12,27,14,1,54,1376,
12K,Fulton,3620,13,63,24,2,102,182,868,344,8,1402,23,61,12,1,97,1601,
12L,Fulton,774,1,11,2,1,15,53,129,69,3,254,2,2,4,1,9,278,
12M,Fulton,2990,24,19,4,2,49,334,604,297,19,1254,13,27,14,2,56,1359,
12N,Fulton,1134,8,5,4,0,17,86,209,79,13,387,5,10,4,0,19,423,
12S,Fulton,2079,7,15,6,1,29,155,547,234,13,949,10,18,6,1,35,1013,
AP01A,Fulton,5236,175,1341,496,0,2012,101,1094,647,4,1846,20,70,44,0,134,3992,
AP01B,Fulton,1281,51,260,103,4,418,33,257,134,5,429,12,13,6,1,32,879,
AP01C,Fulton,2409,81,696,186,6,969,43,480,289,4,816,14,33,15,1,63,1848,
AP01D,Fulton,1015,30,188,75,0,293,34,198,123,0,355,6,15,5,0,26,674,
AP021,Fulton,3408,159,906,247,0,1312,92,710,297,3,1102,17,70,26,1,114,2528,
AP022,Fulton,2507,80,485,196,0,761,86,460,335,0,881,14,42,19,0,75,1717,
AP02B,Fulton,677,24,91,86,5,206,8,120,111,3,242,2,8,5,0,15,463,
AP03,Fulton,775,27,55,14,0,96,67,168,54,2,291,7,16,6,4,33,420,
AP04A,Fulton,1760,84,493,219,5,801,30,326,190,4,550,14,28,24,0,66,1417,
AP04B,Fulton,473,43,146,24,0,213,4,100,52,4,160,0,15,3,2,20,393,
AP05,Fulton,4776,274,1233,477,5,1989,74,951,594,6,1625,21,50,29,0,100,3714,
AP06,Fulton,1967,118,641,179,12,950,25,325,186,0,536,9,33,17,0,59,1545,
AP07A,Fulton,3910,174,887,312,12,1385,95,719,423,5,1242,24,73,39,10,146,2773,
AP07B,Fulton,1882,81,534,174,12,801,53,386,195,5,639,3,23,14,3,43,1483,
AP09A,Fulton,4437,207,1011,383,6,1607,109,953,566,5,1633,31,77,38,0,146,3386,
AP09B,Fulton,925,40,163,56,0,259,19,231,149,2,401,2,14,6,0,22,682,
AP10,Fulton,992,50,333,98,22,503,18,152,84,10,264,5,20,10,7,42,809,
AP12A,Fulton,746,26,121,40,3,190,38,161,77,14,290,3,13,3,0,19,499,
AP12B,Fulton,947,24,103,74,4,205,48,196,111,2,357,5,14,3,2,24,586,
AP12C,Fulton,2367,94,694,200,8,996,57,419,186,7,669,8,33,11,2,54,1719,
AP14,Fulton,3232,99,840,288,5,1232,55,681,460,3,1199,16,66,31,0,113,2544,
CH01,Fulton,376,12,27,12,1,52,9,98,36,3,146,2,5,3,0,10,208,
CH02,Fulton,338,31,82,32,0,145,14,43,31,0,88,2,4,6,0,12,245,
CH03,Fulton,410,46,113,32,0,191,11,57,25,0,93,8,5,1,0,14,298,
CH04A,Fulton,825,45,225,68,0,338,10,195,87,0,292,7,13,4,0,24,654,
CH05,Fulton,429,44,133,48,0,225,7,45,37,0,89,3,6,2,0,11,325,
CP011,Fulton,1353,15,102,30,1,148,77,340,142,7,566,13,20,10,0,43,757,
CP012,Fulton,1469,12,116,36,2,166,73,466,186,5,730,6,16,10,0,32,928,
CP01B,Fulton,422,4,47,16,0,67,18,116,37,1,172,2,9,3,0,14,253,
CP02,Fulton,1208,19,46,19,0,84,64,328,154,1,547,9,19,8,0,36,667,
CP04A,Fulton,13,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,
CP04B,Fulton,38,0,1,1,0,2,2,7,8,0,17,0,0,0,0,0,19,
CP051,Fulton,1756,9,23,6,0,38,129,506,245,0,880,10,15,3,0,28,946,
CP05B,Fulton,153,2,3,2,0,7,18,37,8,4,67,0,1,0,0,1,75,
CP06A,Fulton,732,3,8,1,1,13,46,125,37,0,208,3,2,2,0,7,228,
CP07B,Fulton,7,0,1,0,0,1,2,1,0,0,3,0,0,0,0,0,4,
CP07C,Fulton,323,0,2,0,0,2,18,41,10,0,69,0,3,0,0,3,74,
CP07D,Fulton,790,6,4,3,0,13,58,117,38,0,213,2,7,1,0,10,236,
CP07E,Fulton,127,0,1,0,0,1,19,17,3,0,39,0,2,0,0,2,42,
CP07F,Fulton,266,0,1,0,0,1,22,32,5,0,59,0,4,1,0,5,65,
CP081,Fulton,373,4,2,0,0,6,30,50,16,5,101,2,2,0,0,4,111,
CP083,Fulton,240,2,0,0,0,2,11,19,3,0,33,0,0,0,0,0,35,
CP084,Fulton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CP08A,Fulton,756,7,3,1,0,11,51,78,27,0,156,4,3,0,0,7,174,
EP01A,Fulton,2978,25,85,30,1,141,156,904,325,14,1399,18,47,15,0,80,1620,
EP01B,Fulton,3473,27,69,24,1,121,184,895,438,8,1525,20,42,17,1,80,1726,
EP02A,Fulton,2407,10,31,16,5,62,141,520,302,15,978,14,24,13,2,53,1093,
EP02B,Fulton,1679,19,99,39,0,157,77,575,267,1,920,7,36,12,0,55,1132,
EP02C,Fulton,522,5,29,12,0,46,14,169,61,0,244,1,13,4,0,18,308,
EP02D,Fulton,420,2,4,2,0,8,29,153,48,0,230,2,3,1,0,6,244,
EP02E,Fulton,1668,6,36,11,0,53,93,408,157,0,658,9,19,7,0,35,746,
EP03A,Fulton,4925,35,66,54,1,156,279,1479,799,8,2565,22,53,13,0,88,2809,
EP03B,Fulton,1547,9,45,14,0,68,63,568,337,6,974,7,14,4,0,25,1067,
EP04A,Fulton,5020,33,40,25,2,100,486,1270,652,34,2442,26,48,11,2,87,2629,
EP04B,Fulton,2624,8,30,8,2,48,137,1028,270,8,1443,9,28,9,0,46,1537,
EP04C,Fulton,1318,0,17,1,1,19,0,382,40,4,426,0,7,1,0,8,453,
FA01A,Fulton,4032,44,159,67,0,270,203,1354,585,15,2157,17,36,19,2,74,2501,
FA01B,Fulton,5860,5,243,93,0,341,24,2122,813,8,2967,2,64,20,0,86,3394,
FA01C,Fulton,769,5,21,5,0,31,57,275,100,1,433,3,6,4,0,13,477,
FA01D,Fulton,321,2,10,1,2,15,17,117,6,13,153,1,2,1,2,6,174,
FC01,Fulton,325,3,2,2,0,7,19,126,25,2,172,1,3,0,0,4,183,
FC02,Fulton,585,4,5,2,0,11,11,24,6,2,43,0,2,1,0,3,57,
FC03,Fulton,17,0,1,0,0,1,1,7,0,8,16,0,0,0,0,0,17,
HP01,Fulton,3824,138,291,98,1,528,247,830,414,6,1497,33,67,33,0,133,2158,
JC01,Fulton,4128,181,751,333,6,1271,118,1017,839,4,1978,18,63,36,2,119,3368,
JC01A,Fulton,1738,93,234,35,4,366,79,429,104,2,614,8,24,4,1,37,1017,
JC02,Fulton,3001,119,535,256,2,912,97,593,482,4,1176,14,23,19,0,56,2144,
JC03A,Fulton,594,32,151,33,2,218,10,168,54,1,233,1,15,2,2,20,471,
JC03B,Fulton,1616,86,296,72,0,454,60,387,243,0,690,9,36,13,0,58,1202,
JC04A,Fulton,3177,87,849,233,10,1179,39,763,461,5,1268,10,43,27,2,82,2529,
JC04B,Fulton,334,10,50,22,0,82,4,86,39,0,129,1,4,6,0,11,222,
JC04C,Fulton,1251,45,275,85,0,405,18,309,185,0,512,3,28,13,0,44,961,
JC05,Fulton,2350,105,521,125,2,753,48,572,271,2,893,13,40,23,0,76,1722,
JC06,Fulton,2840,159,604,263,4,1030,91,472,337,4,904,19,37,25,0,81,2015,
JC07,Fulton,4670,141,961,368,16,1486,83,1024,731,12,1850,18,75,33,3,129,3465,
JC08,Fulton,2931,110,744,208,1,1063,52,640,374,4,1070,20,70,27,0,117,2250,
JC09,Fulton,3250,135,629,209,4,977,92,763,425,1,1281,25,46,26,1,98,2356,
JC10,Fulton,2641,108,444,168,9,729,80,652,396,9,1137,9,49,19,1,78,1944,
JC11,Fulton,3497,175,939,292,0,1406,92,639,395,0,1126,19,60,24,0,103,2635,
JC12,Fulton,2832,99,907,376,3,1385,28,390,327,2,747,6,45,22,1,74,2206,
JC13A,Fulton,2317,94,783,222,0,1099,31,370,228,1,630,9,36,20,0,65,1794,
JC13B,Fulton,282,7,121,38,1,167,1,32,22,0,55,0,5,0,0,5,227,
JC14,Fulton,2608,86,824,239,1,1150,42,539,272,2,855,7,32,17,0,56,2061,
JC15,Fulton,959,36,178,53,0,267,30,248,103,0,381,5,25,7,0,37,685,
JC16,Fulton,2707,131,698,174,1,1004,56,569,334,0,959,12,65,29,0,106,2069,
JC18,Fulton,2857,96,888,261,1,1246,46,581,326,2,955,8,43,19,0,70,2271,
JC19,Fulton,4174,123,999,295,2,1419,70,910,555,7,1542,30,90,42,3,165,3126,
ML01A,Fulton,2795,145,956,228,23,1352,43,537,240,7,827,19,59,21,3,102,2281,
ML01B,Fulton,708,40,237,70,0,347,4,108,62,0,174,6,6,7,0,19,540,
ML02A,Fulton,2580,242,954,270,2,1468,56,259,214,0,529,18,31,16,0,65,2062,
ML02B,Fulton,1914,136,672,213,1,1022,33,253,141,1,428,14,30,22,0,66,1516,
ML03,Fulton,3718,255,1321,418,4,1998,62,505,305,2,874,22,62,27,1,112,2984,
ML03A,Fulton,301,16,124,15,2,157,3,35,8,0,46,0,6,2,0,8,211,
ML04,Fulton,3322,200,1055,346,21,1622,59,535,308,7,909,19,55,15,2,91,2622,
ML05,Fulton,4843,259,1213,418,11,1901,107,906,549,2,1564,19,74,27,0,120,3585,
ML06A,Fulton,2181,95,266,83,2,446,87,547,209,3,846,20,28,19,2,69,1361,
ML06B,Fulton,3119,119,515,162,3,799,107,755,397,2,1261,27,47,33,1,108,2168,
ML07A,Fulton,836,122,231,81,0,434,12,102,63,0,177,6,12,9,0,27,638,
ML07B,Fulton,1675,217,485,159,1,862,44,221,137,0,402,6,22,11,0,39,1303,
MP01,Fulton,472,121,34,22,5,182,81,34,53,1,169,11,1,3,0,15,366,
PA01,Fulton,3006,55,220,121,4,400,162,808,322,12,1304,13,52,14,1,80,1784,
RW01,Fulton,5010,196,1472,699,9,2376,68,851,667,3,1589,18,91,53,1,163,4128,
RW02,Fulton,4061,229,1027,386,7,1649,74,770,562,5,1411,40,90,45,2,177,3237,
RW03,Fulton,5041,227,865,306,7,1405,166,985,592,7,1750,47,80,48,1,176,3331,
RW04,Fulton,1861,69,461,166,1,697,24,443,285,0,752,4,47,17,0,68,1517,
RW05,Fulton,2910,105,363,144,5,617,155,596,311,7,1069,32,53,25,1,111,1797,
RW06,Fulton,3071,151,670,188,2,1011,69,704,366,6,1145,22,56,26,0,104,2260,
RW07A,Fulton,1773,47,75,20,0,142,165,388,144,2,699,23,29,6,0,58,899,
RW07B,Fulton,449,17,32,14,4,67,42,78,56,12,188,7,5,1,4,17,272,
RW08,Fulton,2429,147,569,363,6,1085,46,317,255,3,621,14,42,25,1,82,1788,
RW09,Fulton,4450,272,1408,704,2,2386,56,644,613,1,1314,34,67,48,0,149,3849,
RW09A,Fulton,1892,128,644,76,6,854,27,291,63,1,382,12,36,4,0,52,1288,
RW10,Fulton,3653,172,1111,439,5,1727,35,569,429,5,1038,36,74,38,2,150,2915,
RW11A,Fulton,2865,131,571,245,5,952,96,503,371,4,974,22,53,22,1,98,2024,
RW12,Fulton,3899,292,1123,550,3,1968,68,678,688,1,1435,20,59,45,0,124,3527,
RW12A,Fulton,2458,134,638,76,4,852,60,428,99,2,589,15,55,12,0,82,1523,
RW13,Fulton,3764,221,905,296,4,1426,108,811,415,3,1337,25,78,39,2,144,2907,
RW16,Fulton,2101,117,599,197,3,916,43,405,232,2,682,8,36,16,1,61,1659,
RW17,Fulton,3100,139,479,143,1,762,140,715,358,2,1215,30,71,23,3,127,2104,
RW19,Fulton,2147,117,689,213,1,1020,30,356,233,0,619,22,44,19,1,86,1725,
RW20,Fulton,2701,78,769,244,5,1096,35,613,302,2,952,12,56,23,0,91,2139,
RW21,Fulton,3362,83,1069,326,13,1491,63,594,330,8,995,16,64,25,1,106,2592,
