Precinct,County,Registered Voters,Arthur E. Ferdinand (I) (Dem)_Election Day Votes,Arthur E. Ferdinand (I) (Dem)_Advanced Voting Votes,Arthur E. Ferdinand (I) (Dem)_Absentee by Mail Votes,Arthur E. Ferdinand (I) (Dem)_Provisional Votes,Arthur E. Ferdinand (I) (Dem)_Choice Total,Total,
03D,Fulton,1235,88,213,99,20,420,420,
03E,Fulton,2894,299,474,205,40,1018,1018,
03F,Fulton,2328,135,816,322,3,1276,1276,
03G,Fulton,1033,78,148,43,4,273,273,
03H,Fulton,1091,87,216,93,0,396,396,
03I,Fulton,1607,105,328,101,19,553,553,
03L,Fulton,748,66,91,41,0,198,198,
03M,Fulton,965,152,235,77,2,466,466,
03N,Fulton,2804,226,468,152,23,869,869,
03P1A,Fulton,4404,265,1373,497,13,2148,2148,
03P2,Fulton,23,0,7,0,0,7,7,
03S,Fulton,908,97,203,98,0,398,398,
03T,Fulton,1742,147,488,126,4,765,765,
04A,Fulton,1554,94,316,155,0,565,565,
04B,Fulton,2948,126,403,202,0,731,731,
04C,Fulton,150,11,26,11,1,49,49,
04D,Fulton,1736,152,443,176,5,776,776,
04F,Fulton,2786,190,774,197,10,1171,1171,
04G,Fulton,1025,118,187,79,1,385,385,
04I,Fulton,4604,71,445,169,6,691,691,
04J,Fulton,1617,45,110,17,10,182,182,
04K,Fulton,2736,189,690,349,15,1243,1243,
04L,Fulton,2014,166,532,174,6,878,878,
04M,Fulton,979,98,147,70,5,320,320,
04S,Fulton,2541,262,599,296,8,1165,1165,
04T,Fulton,1297,131,340,150,22,643,643,
04V,Fulton,3573,365,705,223,3,1296,1296,
04W,Fulton,3365,56,129,26,6,217,217,
04X1,Fulton,2283,167,586,249,2,1004,1004,
04X2,Fulton,846,60,234,93,0,387,387,
05A1,Fulton,2936,136,1229,574,1,1940,1940,
05A2,Fulton,3343,142,1407,574,10,2133,2133,
05B,Fulton,2171,174,607,254,2,1037,1037,
05C,Fulton,135,6,27,7,0,40,40,
05D,Fulton,541,19,57,9,2,87,87,
05F,Fulton,248,22,85,24,0,131,131,
05J,Fulton,684,39,263,118,1,421,421,
05K,Fulton,2826,150,706,266,5,1127,1127,
06B,Fulton,1889,89,744,337,7,1177,1177,
06D,Fulton,6160,322,2093,1716,11,4142,4142,
06D1,Fulton,2539,67,902,138,4,1111,1111,
06D2,Fulton,850,23,295,40,0,358,358,
06E,Fulton,2344,112,830,357,1,1300,1300,
06F,Fulton,2841,114,1100,437,5,1656,1656,
06G,Fulton,588,19,200,106,1,326,326,
06I,Fulton,4072,295,1413,533,22,2263,2263,
06J,Fulton,2770,91,977,602,1,1671,1671,
06L1,Fulton,991,35,340,191,2,568,568,
06L2,Fulton,726,24,235,119,1,379,379,
06N,Fulton,1770,78,488,254,11,831,831,
06Q,Fulton,571,47,213,60,6,326,326,
06R,Fulton,2015,55,645,318,2,1020,1020,
07A,Fulton,7691,482,2312,1133,17,3944,3944,
07B,Fulton,2952,149,898,503,1,1551,1551,
07C,Fulton,4512,214,1187,863,11,2275,2275,
07D,Fulton,4879,282,1594,581,21,2478,2478,
07E,Fulton,2247,69,738,510,5,1322,1322,
07F,Fulton,3790,197,1259,548,20,2024,2024,
07H,Fulton,2060,88,657,374,0,1119,1119,
07J,Fulton,3041,176,1011,484,9,1680,1680,
07M,Fulton,2401,144,668,370,0,1182,1182,
07N,Fulton,2139,135,646,345,9,1135,1135,
08A,Fulton,3084,178,1001,417,7,1603,1603,
08B,Fulton,3498,142,1192,498,0,1832,1832,
08C,Fulton,1500,57,471,215,0,743,743,
08D,Fulton,1073,23,340,163,13,539,539,
08E,Fulton,2568,84,766,449,0,1299,1299,
08F1,Fulton,2187,85,733,319,4,1141,1141,
08G,Fulton,3086,147,752,511,5,1415,1415,
08H,Fulton,2556,85,791,438,2,1316,1316,
08J,Fulton,3344,149,1290,396,6,1841,1841,
08K,Fulton,1049,72,380,194,0,646,646,
08L,Fulton,4505,216,1534,745,17,2512,2512,
08M,Fulton,2295,132,738,298,2,1170,1170,
08N1,Fulton,824,26,254,121,2,403,403,
08N2,Fulton,1616,63,485,291,2,841,841,
08P,Fulton,1887,119,619,207,5,950,950,
09A,Fulton,3856,194,1526,555,9,2284,2284,
09B,Fulton,464,29,79,67,0,175,175,
09C,Fulton,3353,261,842,445,23,1571,1571,
09D,Fulton,2299,220,429,283,8,940,940,
09E,Fulton,3261,264,929,309,2,1504,1504,
09F,Fulton,3917,164,1436,619,4,2223,2223,
09G,Fulton,3943,232,1488,582,9,2311,2311,
09H,Fulton,1185,78,405,145,1,629,629,
09I,Fulton,1397,139,251,166,2,558,558,
09K,Fulton,4002,266,861,450,11,1588,1588,
09K1,Fulton,1518,110,312,38,1,461,461,
09M,Fulton,2578,99,1167,330,0,1596,1596,
10A,Fulton,3186,234,927,510,14,1685,1685,
10B,Fulton,3965,230,1440,823,10,2503,2503,
10C,Fulton,2598,138,678,310,14,1140,1140,
10D,Fulton,4968,311,1115,531,144,2101,2101,
10E,Fulton,1084,94,291,178,3,566,566,
10F,Fulton,1208,115,295,196,13,619,619,
10G,Fulton,1332,92,490,213,2,797,797,
10H1,Fulton,439,30,144,76,13,263,263,
10H2,Fulton,2623,168,535,317,12,1032,1032,
10I,Fulton,331,13,147,91,0,251,251,
10J,Fulton,1238,141,179,120,13,453,453,
10K,Fulton,1614,110,537,281,5,933,933,
10M,Fulton,2880,243,821,390,12,1466,1466,
10P,Fulton,1607,145,336,233,3,717,717,
10R,Fulton,928,94,197,83,14,388,388,
11B,Fulton,4395,338,1305,799,33,2475,2475,
11B1,Fulton,894,69,279,26,5,379,379,
11C,Fulton,3149,163,1310,547,11,2031,2031,
11E1,Fulton,1340,121,387,163,18,689,689,
11E2,Fulton,1003,76,332,159,4,571,571,
11E3,Fulton,3605,271,1352,336,15,1974,1974,
11G,Fulton,2556,115,470,304,27,916,916,
11H,Fulton,753,52,177,130,5,364,364,
11J,Fulton,2092,184,492,303,23,1002,1002,
11K,Fulton,2045,145,595,356,14,1110,1110,
11M,Fulton,1380,97,563,335,8,1003,1003,
11M1,Fulton,2190,136,520,52,24,732,732,
11N,Fulton,2431,192,792,415,2,1401,1401,
11P,Fulton,2095,129,531,378,11,1049,1049,
11R,Fulton,2253,119,441,225,6,791,791,
12A,Fulton,4971,285,1583,712,19,2599,2599,
12A1,Fulton,690,40,297,19,8,364,364,
12D,Fulton,1408,105,348,134,2,589,589,
12E1,Fulton,1906,117,294,231,4,646,646,
12F,Fulton,1229,111,298,90,2,501,501,
12G,Fulton,885,55,177,184,1,417,417,
12H1,Fulton,1170,98,169,74,12,353,353,
12H2,Fulton,2998,281,690,384,7,1362,1362,
12I,Fulton,1079,54,228,146,42,470,470,
12J,Fulton,3154,252,701,320,30,1303,1303,
12K,Fulton,3620,200,914,334,9,1457,1457,
12L,Fulton,774,55,136,68,4,263,263,
12M,Fulton,2990,358,629,295,20,1302,1302,
12N,Fulton,1134,90,217,84,9,400,400,
12S,Fulton,2079,168,561,230,14,973,973,
AP01A,Fulton,5236,221,1852,898,3,2974,2974,
AP01B,Fulton,1281,72,407,184,6,669,669,
AP01C,Fulton,2409,100,863,374,7,1344,1344,
AP01D,Fulton,1015,53,306,160,0,519,519,
AP021,Fulton,3408,205,1175,407,3,1790,1790,
AP022,Fulton,2507,137,720,418,0,1275,1275,
AP02B,Fulton,677,23,164,148,4,339,339,
AP03,Fulton,775,87,220,64,4,375,375,
AP04A,Fulton,1760,86,582,293,8,969,969,
AP04B,Fulton,473,32,196,60,4,292,292,
AP05,Fulton,4776,225,1592,808,9,2634,2634,
AP06,Fulton,1967,90,679,267,10,1046,1046,
AP07A,Fulton,3910,206,1205,556,17,1984,1984,
AP07B,Fulton,1882,82,659,283,13,1037,1037,
AP09A,Fulton,4437,251,1497,734,6,2488,2488,
AP09B,Fulton,925,46,324,178,2,550,550,
AP10,Fulton,992,50,331,128,28,537,537,
AP12A,Fulton,746,57,237,95,17,406,406,
AP12B,Fulton,947,65,253,133,4,455,455,
AP12C,Fulton,2367,115,734,258,12,1119,1119,
AP14,Fulton,3232,124,1180,618,4,1926,1926,
CH01,Fulton,376,13,117,41,4,175,175,
CH02,Fulton,338,34,73,45,0,152,152,
CH03,Fulton,410,28,93,36,0,157,157,
CH04A,Fulton,825,40,274,97,0,411,411,
CH05,Fulton,429,33,84,47,0,164,164,
CP011,Fulton,1353,94,407,157,6,664,664,
CP012,Fulton,1469,83,521,198,5,807,807,
CP01B,Fulton,422,21,142,45,0,208,208,
CP02,Fulton,1208,81,354,158,1,594,594,
CP04A,Fulton,13,0,3,0,0,3,3,
CP04B,Fulton,38,2,7,9,0,18,18,
CP051,Fulton,1756,148,528,240,0,916,916,
CP05B,Fulton,153,20,38,8,4,70,70,
CP06A,Fulton,732,52,127,38,1,218,218,
CP07B,Fulton,7,2,2,0,0,4,4,
CP07C,Fulton,323,18,46,10,0,74,74,
CP07D,Fulton,790,64,128,37,0,229,229,
CP07E,Fulton,127,19,19,3,0,41,41,
CP07F,Fulton,266,22,35,6,0,63,63,
CP081,Fulton,373,34,54,15,4,107,107,
CP083,Fulton,240,11,19,3,0,33,33,
CP084,Fulton,1,0,0,0,0,0,0,
CP08A,Fulton,756,63,86,27,0,176,176,
EP01A,Fulton,2978,182,944,334,12,1472,1472,
EP01B,Fulton,3473,218,938,449,9,1614,1614,
EP02A,Fulton,2407,158,551,302,19,1030,1030,
EP02B,Fulton,1679,89,615,277,1,982,982,
EP02C,Fulton,522,17,190,64,0,271,271,
EP02D,Fulton,420,31,153,50,0,234,234,
EP02E,Fulton,1668,101,429,151,0,681,681,
EP03A,Fulton,4925,315,1546,781,6,2648,2648,
EP03B,Fulton,1547,77,588,335,6,1006,1006,
EP04A,Fulton,5020,531,1315,654,30,2530,2530,
EP04B,Fulton,2624,149,1060,273,9,1491,1491,
EP04C,Fulton,1318,0,389,37,5,431,431,
FA01A,Fulton,4032,244,1454,594,16,2308,2308,
FA01B,Fulton,5860,29,2299,845,8,3181,3181,
FA01C,Fulton,769,63,286,104,1,454,454,
FA01D,Fulton,321,19,126,8,15,168,168,
FC01,Fulton,325,21,131,25,2,179,179,
FC02,Fulton,585,14,28,6,2,50,50,
FC03,Fulton,17,0,8,0,6,14,14,
HP01,Fulton,3824,336,989,453,4,1782,1782,
JC01,Fulton,4128,239,1444,1029,7,2719,2719,
JC01A,Fulton,1738,137,557,122,5,821,821,
JC02,Fulton,3001,164,890,576,6,1636,1636,
JC03A,Fulton,594,28,259,76,1,364,364,
JC03B,Fulton,1616,117,580,275,0,972,972,
JC04A,Fulton,3177,94,1238,574,9,1915,1915,
JC04B,Fulton,334,9,113,52,0,174,174,
JC04C,Fulton,1251,47,490,241,0,778,778,
JC05,Fulton,2350,121,881,336,4,1342,1342,
JC06,Fulton,2840,193,789,454,4,1440,1440,
JC07,Fulton,4670,166,1563,876,22,2627,2627,
JC08,Fulton,2931,131,1083,493,5,1712,1712,
JC09,Fulton,3250,190,1118,549,3,1860,1860,
JC10,Fulton,2641,140,894,476,12,1522,1522,
JC11,Fulton,3497,207,1137,486,0,1830,1830,
JC12,Fulton,2832,72,835,457,4,1368,1368,
JC13A,Fulton,2317,93,741,302,1,1137,1137,
JC13B,Fulton,282,5,98,40,1,144,144,
JC14,Fulton,2608,96,961,377,2,1436,1436,
JC15,Fulton,959,54,357,137,0,548,548,
JC16,Fulton,2707,137,985,402,1,1525,1525,
JC18,Fulton,2857,104,1013,438,3,1558,1558,
JC19,Fulton,4174,165,1434,692,13,2304,2304,
ML01A,Fulton,2795,145,1088,376,24,1633,1633,
ML01B,Fulton,708,36,237,93,0,366,366,
ML02A,Fulton,2580,184,723,334,2,1243,1243,
ML02B,Fulton,1914,108,600,241,1,950,950,
ML03,Fulton,3718,233,1173,490,5,1901,1901,
ML03A,Fulton,301,13,96,15,0,124,124,
ML04,Fulton,3322,177,1066,422,20,1685,1685,
ML05,Fulton,4843,275,1546,742,10,2573,2573,
ML06A,Fulton,2181,155,714,250,6,1125,1125,
ML06B,Fulton,3119,193,1050,490,4,1737,1737,
ML07A,Fulton,836,88,230,104,0,422,422,
ML07B,Fulton,1675,153,441,217,1,812,812,
MP01,Fulton,472,154,43,57,5,259,259,
PA01,Fulton,3006,204,931,361,15,1511,1511,
RW01,Fulton,5010,184,1592,958,11,2745,2745,
RW02,Fulton,4061,226,1326,730,9,2291,2291,
RW03,Fulton,5041,349,1486,714,10,2559,2559,
RW04,Fulton,1861,62,671,353,1,1087,1087,
RW05,Fulton,2910,247,829,391,10,1477,1477,
RW06,Fulton,3071,166,1078,452,7,1703,1703,
RW07A,Fulton,1773,214,452,157,2,825,825,
RW07B,Fulton,449,54,98,62,13,227,227,
RW08,Fulton,2429,132,621,421,6,1180,1180,
RW09,Fulton,4450,236,1331,891,2,2460,2460,
RW09A,Fulton,1892,104,603,98,3,808,808,
RW10,Fulton,3653,159,1215,635,9,2018,2018,
RW11A,Fulton,2865,189,833,478,9,1509,1509,
RW12,Fulton,3899,251,1289,904,4,2448,2448,
RW12A,Fulton,2458,140,790,126,3,1059,1059,
RW13,Fulton,3764,241,1348,529,6,2124,2124,
RW16,Fulton,2101,110,739,306,4,1159,1159,
RW17,Fulton,3100,231,1006,420,4,1661,1661,
RW19,Fulton,2147,116,735,335,1,1187,1187,
RW20,Fulton,2701,84,1019,421,6,1530,1530,
RW21,Fulton,3362,124,1126,473,14,1737,1737,
RW22A,Fulton,4788,278,1676,582,11,2547,2547,
SC01A,Fulton,41,2,38,7,0,47,47,
SC01B,Fulton,2088,124,1112,286,15,1537,1537,
SC01C,Fulton,2249,86,1033,448,8,1575,1575,
SC02,Fulton,1426,40,687,239,3,969,969,
SC04,Fulton,1080,84,356,148,4,592,592,
SC05A,Fulton,721,56,320,85,5,466,466,
SC05B,Fulton,3646,181,1756,483,7,2427,2427,
SC05D,Fulton,2808,187,1290,350,1,1828,1828,
SC05E,Fulton,688,44,256,129,3,432,432,
SC07A,Fulton,4506,247,1853,1013,10,3123,3123,
SC07C,Fulton,41,1,9,3,0,13,13,
SC07D,Fulton,2038,133,854,88,4,1079,1079,
SC08B,Fulton,4096,278,1539,633,11,2461,2461,
SC08C,Fulton,91,6,46,15,0,67,67,
SC08D,Fulton,605,39,232,79,0,350,350,
SC08E,Fulton,724,58,298,63,3,422,422,
SC08F,Fulton,793,40,278,98,1,417,417,
SC08G,Fulton,14,0,3,0,0,3,3,
SC08H,Fulton,1,0,0,0,0,0,0,
SC09A,Fulton,1865,182,538,224,10,954,954,
SC09B,Fulton,1920,128,710,350,2,1190,1190,
SC09C,Fulton,1852,181,534,288,2,1005,1005,
SC10,Fulton,1912,158,429,185,9,781,781,
SC11A,Fulton,1656,148,540,257,24,969,969,
SC11B,Fulton,1691,114,539,311,6,970,970,
SC13,Fulton,2895,167,1330,411,6,1914,1914,
SC14A,Fulton,1030,67,322,95,0,484,484,
SC15,Fulton,4522,276,1990,811,6,3083,3083,
SC15A,Fulton,2482,134,1293,103,0,1530,1530,
SC16A,Fulton,5175,288,2425,825,0,3538,3538,
SC17A,Fulton,60,1,32,10,0,43,43,
SC17B,Fulton,10,0,1,0,3,4,4,
SC17C,Fulton,1293,76,490,175,0,741,741,
SC18A,Fulton,570,41,218,120,0,379,379,
SC18B,Fulton,915,40,459,156,0,655,655,
SC18C,Fulton,2100,82,996,390,0,1468,1468,
SC19A,Fulton,213,6,83,41,1,131,131,
SC19B,Fulton,1628,136,426,209,8,779,779,
SC20,Fulton,2562,106,1466,346,24,1942,1942,
SC211,Fulton,1828,102,826,289,0,1217,1217,
SC212,Fulton,4244,262,1729,594,10,2595,2595,
SC23A,Fulton,3854,336,1128,639,10,2113,2113,
SC23B,Fulton,557,55,165,105,2,327,327,
SC23C,Fulton,2606,210,884,388,2,1484,1484,
SC27,Fulton,2361,149,732,459,0,1340,1340,
SC29A,Fulton,3154,270,947,536,9,1762,1762,
SC30A,Fulton,157,5,44,57,6,112,112,
SC30B,Fulton,1110,59,357,144,0,560,560,
SS01,Fulton,4846,169,1444,854,5,2472,2472,
SS02A,Fulton,1206,50,410,225,5,690,690,
SS02B,Fulton,1318,64,465,200,5,734,734,
SS03,Fulton,1577,92,579,251,2,924,924,
SS04,Fulton,3763,218,1291,620,17,2146,2146,
SS05,Fulton,1853,89,650,337,3,1079,1079,
SS06,Fulton,1667,60,576,301,50,987,987,
SS07A,Fulton,1254,37,396,231,0,664,664,
SS07B,Fulton,793,45,259,138,1,443,443,
SS07C,Fulton,809,23,177,164,13,377,377,
SS08A,Fulton,1891,141,670,238,11,1060,1060,
SS08B,Fulton,696,28,238,138,0,404,404,
SS08C,Fulton,716,33,244,136,0,413,413,
SS08D,Fulton,1555,84,515,230,0,829,829,
SS09A,Fulton,3193,142,875,599,0,1616,1616,
SS09B,Fulton,3611,114,1215,677,2,2008,2008,
SS11A,Fulton,4026,283,1276,572,10,2141,2141,
SS11B,Fulton,1412,100,438,195,1,734,734,
SS11C,Fulton,361,29,114,28,1,172,172,
SS11D,Fulton,397,17,142,76,0,235,235,
SS12,Fulton,2897,137,958,520,9,1624,1624,
SS13A,Fulton,2103,120,714,297,3,1134,1134,
SS13B,Fulton,1278,83,473,143,1,700,700,
SS14,Fulton,1412,67,497,213,1,778,778,
SS15A,Fulton,2756,254,829,270,5,1358,1358,
SS15B,Fulton,1730,176,543,201,2,922,922,
SS16,Fulton,2116,82,678,422,2,1184,1184,
SS17,Fulton,3686,229,1130,567,14,1940,1940,
SS18A,Fulton,657,27,219,122,0,368,368,
SS18B,Fulton,241,7,75,49,0,131,131,
SS19A,Fulton,3299,181,1120,398,10,1709,1709,
SS19B,Fulton,2342,118,870,317,83,1388,1388,
SS20,Fulton,2404,160,711,335,9,1215,1215,
SS22,Fulton,2834,163,682,416,3,1264,1264,
SS26,Fulton,3824,249,1284,385,15,1933,1933,
SS29A,Fulton,2842,160,960,463,6,1589,1589,
SS31,Fulton,1703,73,573,293,0,939,939,
UC01A,Fulton,4234,332,1213,332,12,1889,1889,
UC01B,Fulton,428,38,143,30,5,216,216,
UC01D,Fulton,6,0,0,0,0,0,0,
UC01E,Fulton,512,40,264,71,0,375,375,
UC02A,Fulton,5609,325,2178,1123,18,3644,3644,
UC02B,Fulton,32,2,12,3,0,17,17,
UC02C,Fulton,3614,149,1232,130,15,1526,1526,
UC031,Fulton,2745,158,658,441,26,1283,1283,
UC032,Fulton,393,21,137,77,1,236,236,
