Precinct,County,Registered Voters,"Cathelene """"Tina"""" Robinson (I) (Dem)_Election Day Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Advanced Voting Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Absentee by Mail Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Provisional Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Choice Total",Total,
04B,Fulton,2948,123,408,199,0,730,730,
04C,Fulton,150,11,27,12,1,51,51,
04D,Fulton,1736,154,439,186,4,783,783,
04F,Fulton,2786,190,767,196,11,1164,1164,
04G,Fulton,1025,119,184,80,1,384,384,
04I,Fulton,4604,74,451,171,6,702,702,
04J,Fulton,1617,46,110,14,8,178,178,
04K,Fulton,2736,189,699,349,14,1251,1251,
04L,Fulton,2014,169,549,186,5,909,909,
04M,Fulton,979,100,149,67,5,321,321,
04S,Fulton,2541,257,606,298,7,1168,1168,
04T,Fulton,1297,126,344,152,18,640,640,
04V,Fulton,3573,362,695,225,3,1285,1285,
04W,Fulton,3365,57,128,27,6,218,218,
04X1,Fulton,2283,162,593,260,2,1017,1017,
04X2,Fulton,846,58,235,93,0,386,386,
05A1,Fulton,2936,137,1268,590,0,1995,1995,
05A2,Fulton,3343,142,1439,589,10,2180,2180,
05B,Fulton,2171,169,605,253,3,1030,1030,
05C,Fulton,135,6,27,7,0,40,40,
05D,Fulton,541,20,58,9,2,89,89,
05F,Fulton,248,23,86,24,0,133,133,
05J,Fulton,684,38,268,118,1,425,425,
05K,Fulton,2826,150,710,267,5,1132,1132,
06B,Fulton,1889,89,769,362,7,1227,1227,
06D,Fulton,6160,316,2172,1896,11,4395,4395,
06D1,Fulton,2539,69,982,153,4,1208,1208,
06D2,Fulton,850,22,322,49,1,394,394,
06E,Fulton,2344,109,863,382,2,1356,1356,
06F,Fulton,2841,116,1145,481,5,1747,1747,
06G,Fulton,588,18,218,121,1,358,358,
06I,Fulton,4072,296,1420,528,21,2265,2265,
06J,Fulton,2770,95,1038,691,1,1825,1825,
06L1,Fulton,991,36,370,212,2,620,620,
06L2,Fulton,726,24,255,127,1,407,407,
06N,Fulton,1770,76,514,281,8,879,879,
06Q,Fulton,571,47,211,61,6,325,325,
06R,Fulton,2015,60,688,355,2,1105,1105,
07A,Fulton,7691,484,2344,1191,17,4036,4036,
07B,Fulton,2952,138,927,553,1,1619,1619,
07C,Fulton,4512,213,1184,897,11,2305,2305,
07D,Fulton,4879,289,1575,604,20,2488,2488,
07E,Fulton,2247,66,751,535,5,1357,1357,
07F,Fulton,3790,194,1270,606,20,2090,2090,
07H,Fulton,2060,89,681,401,0,1171,1171,
07J,Fulton,3041,170,1037,490,10,1707,1707,
07M,Fulton,2401,144,664,381,0,1189,1189,
07N,Fulton,2139,132,647,353,9,1141,1141,
08A,Fulton,3084,185,1038,442,7,1672,1672,
08B,Fulton,3498,147,1246,536,0,1929,1929,
08C,Fulton,1500,58,500,236,0,794,794,
08D,Fulton,1073,21,355,180,13,569,569,
08E,Fulton,2568,90,793,476,0,1359,1359,
08F1,Fulton,2187,87,769,354,4,1214,1214,
08G,Fulton,3086,146,744,527,5,1422,1422,
08H,Fulton,2556,80,780,478,2,1340,1340,
08J,Fulton,3344,150,1303,428,6,1887,1887,
08K,Fulton,1049,73,384,203,0,660,660,
08L,Fulton,4505,222,1558,779,19,2578,2578,
08M,Fulton,2295,127,739,315,4,1185,1185,
08N1,Fulton,824,24,261,132,2,419,419,
08N2,Fulton,1616,65,504,308,2,879,879,
08P,Fulton,1887,116,638,214,6,974,974,
09A,Fulton,3856,193,1541,567,8,2309,2309,
09B,Fulton,464,29,77,66,0,172,172,
09C,Fulton,3353,258,851,449,22,1580,1580,
09D,Fulton,2299,220,425,273,8,926,926,
09E,Fulton,3261,262,937,309,1,1509,1509,
09F,Fulton,3917,167,1460,639,4,2270,2270,
09G,Fulton,3943,232,1511,609,9,2361,2361,
09H,Fulton,1185,77,412,150,1,640,640,
09I,Fulton,1397,134,249,173,2,558,558,
09K,Fulton,4002,257,848,450,11,1566,1566,
09K1,Fulton,1518,109,312,38,1,460,460,
09M,Fulton,2578,99,1202,333,0,1634,1634,
10A,Fulton,3186,231,923,514,14,1682,1682,
10B,Fulton,3965,226,1464,841,7,2538,2538,
10C,Fulton,2598,135,676,305,10,1126,1126,
10D,Fulton,4968,308,1107,533,133,2081,2081,
10E,Fulton,1084,91,302,178,3,574,574,
10F,Fulton,1208,114,297,193,9,613,613,
10G,Fulton,1332,95,499,226,2,822,822,
10H1,Fulton,439,30,147,74,13,264,264,
10H2,Fulton,2623,173,534,327,10,1044,1044,
10I,Fulton,331,12,157,86,0,255,255,
10J,Fulton,1238,144,183,124,14,465,465,
10K,Fulton,1614,106,546,294,5,951,951,
10M,Fulton,2880,241,851,402,12,1506,1506,
10P,Fulton,1607,146,326,224,3,699,699,
10R,Fulton,928,97,195,78,14,384,384,
11B,Fulton,4395,337,1298,807,31,2473,2473,
11B1,Fulton,894,70,288,27,3,388,388,
11C,Fulton,3149,159,1337,562,9,2067,2067,
11E1,Fulton,1340,119,389,161,14,683,683,
11E2,Fulton,1003,74,335,155,4,568,568,
11E3,Fulton,3605,269,1345,339,11,1964,1964,
11G,Fulton,2556,113,465,310,26,914,914,
11H,Fulton,753,49,183,134,7,373,373,
11J,Fulton,2092,179,490,305,23,997,997,
11K,Fulton,2045,139,607,362,14,1122,1122,
11M,Fulton,1380,98,565,340,6,1009,1009,
11M1,Fulton,2190,137,511,53,26,727,727,
11N,Fulton,2431,193,797,425,2,1417,1417,
11P,Fulton,2095,130,539,375,12,1056,1056,
11R,Fulton,2253,118,436,230,6,790,790,
12A,Fulton,4971,282,1603,726,17,2628,2628,
12A1,Fulton,690,41,293,18,8,360,360,
12D,Fulton,1408,103,345,130,2,580,580,
12E1,Fulton,1906,117,292,225,3,637,637,
12F,Fulton,1229,105,299,84,2,490,490,
12G,Fulton,885,55,173,179,1,408,408,
12H1,Fulton,1170,98,169,73,12,352,352,
12H2,Fulton,2998,274,688,379,7,1348,1348,
12I,Fulton,1079,54,219,145,40,458,458,
12J,Fulton,3154,253,694,321,28,1296,1296,
12K,Fulton,3620,201,926,341,10,1478,1478,
12L,Fulton,774,53,133,68,4,258,258,
12M,Fulton,2990,352,621,296,17,1286,1286,
12N,Fulton,1134,89,214,75,9,387,387,
12S,Fulton,2079,163,559,232,12,966,966,
AP01A,Fulton,5236,215,1822,920,3,2960,2960,
AP01B,Fulton,1281,66,396,180,6,648,648,
AP01C,Fulton,2409,102,861,388,7,1358,1358,
AP01D,Fulton,1015,52,304,164,0,520,520,
AP021,Fulton,3408,201,1162,409,3,1775,1775,
AP022,Fulton,2507,136,694,432,0,1262,1262,
AP02B,Fulton,677,24,159,153,4,340,340,
AP03,Fulton,775,84,211,65,4,364,364,
AP04A,Fulton,1760,86,582,300,8,976,976,
AP04B,Fulton,473,31,188,61,4,284,284,
AP05,Fulton,4776,215,1553,810,9,2587,2587,
AP06,Fulton,1967,90,657,278,10,1035,1035,
AP07A,Fulton,3910,201,1170,557,19,1947,1947,
AP07B,Fulton,1882,82,652,288,15,1037,1037,
AP09A,Fulton,4437,242,1468,738,6,2454,2454,
AP09B,Fulton,925,47,315,181,2,545,545,
AP10,Fulton,992,46,322,134,25,527,527,
AP12A,Fulton,746,57,230,94,17,398,398,
AP12B,Fulton,947,63,250,136,4,453,453,
AP12C,Fulton,2367,111,740,266,11,1128,1128,
AP14,Fulton,3232,121,1167,629,4,1921,1921,
CH01,Fulton,376,13,109,42,3,167,167,
CH02,Fulton,338,32,78,43,0,153,153,
CH03,Fulton,410,27,98,34,0,159,159,
CH04A,Fulton,825,39,275,100,0,414,414,
CH05,Fulton,429,30,85,46,0,161,161,
CP011,Fulton,1353,89,402,154,7,652,652,
CP012,Fulton,1469,81,524,206,4,815,815,
CP01B,Fulton,422,19,140,48,0,207,207,
CP02,Fulton,1208,76,355,165,1,597,597,
CP04A,Fulton,13,0,3,0,0,3,3,
CP04B,Fulton,38,2,7,9,0,18,18,
CP051,Fulton,1756,145,527,243,0,915,915,
CP05B,Fulton,153,20,36,8,4,68,68,
CP06A,Fulton,732,51,126,37,1,215,215,
CP07B,Fulton,7,2,2,0,0,4,4,
CP07C,Fulton,323,18,46,10,0,74,74,
CP07D,Fulton,790,64,127,37,0,228,228,
CP07E,Fulton,127,19,19,3,0,41,41,
CP07F,Fulton,266,23,35,6,0,64,64,
CP081,Fulton,373,31,52,15,5,103,103,
CP083,Fulton,240,10,19,3,0,32,32,
CP084,Fulton,1,0,0,0,0,0,0,
CP08A,Fulton,756,61,82,26,0,169,169,
EP01A,Fulton,2978,185,953,338,14,1490,1490,
EP01B,Fulton,3473,212,936,438,9,1595,1595,
EP02A,Fulton,2407,155,536,303,18,1012,1012,
EP02B,Fulton,1679,90,636,287,1,1014,1014,
EP02C,Fulton,522,16,189,63,0,268,268,
EP02D,Fulton,420,30,158,50,0,238,238,
EP02E,Fulton,1668,102,433,155,0,690,690,
EP03A,Fulton,4925,315,1542,802,5,2664,2664,
EP03B,Fulton,1547,76,588,341,6,1011,1011,
EP04A,Fulton,5020,525,1318,654,32,2529,2529,
EP04B,Fulton,2624,149,1058,269,8,1484,1484,
EP04C,Fulton,1318,0,398,39,4,441,441,
FA01A,Fulton,4032,239,1441,598,17,2295,2295,
FA01B,Fulton,5860,27,2276,843,7,3153,3153,
FA01C,Fulton,769,61,284,103,1,449,449,
FA01D,Fulton,321,16,119,8,15,158,158,
FC01,Fulton,325,21,131,23,2,177,177,
FC02,Fulton,585,14,28,8,2,52,52,
FC03,Fulton,17,1,8,0,6,15,15,
HP01,Fulton,3824,331,1000,454,4,1789,1789,
JC01,Fulton,4128,221,1427,1031,6,2685,2685,
JC01A,Fulton,1738,133,548,124,5,810,810,
JC02,Fulton,3001,156,863,585,6,1610,1610,
JC03A,Fulton,594,27,255,74,0,356,356,
JC03B,Fulton,1616,113,572,277,0,962,962,
JC04A,Fulton,3177,97,1219,581,12,1909,1909,
JC04B,Fulton,334,9,111,53,0,173,173,
JC04C,Fulton,1251,45,484,247,0,776,776,
JC05,Fulton,2350,123,863,349,4,1339,1339,
JC06,Fulton,2840,190,758,456,4,1408,1408,
JC07,Fulton,4670,169,1557,900,23,2649,2649,
JC08,Fulton,2931,131,1056,498,4,1689,1689,
JC09,Fulton,3250,182,1090,543,3,1818,1818,
JC10,Fulton,2641,137,884,479,12,1512,1512,
JC11,Fulton,3497,206,1097,518,0,1821,1821,
JC12,Fulton,2832,73,822,473,5,1373,1373,
JC13A,Fulton,2317,87,725,329,1,1142,1142,
JC13B,Fulton,282,4,97,35,1,137,137,
JC14,Fulton,2608,91,964,390,2,1447,1447,
JC15,Fulton,959,52,352,138,0,542,542,
JC16,Fulton,2707,132,977,416,1,1526,1526,
JC18,Fulton,2857,104,1012,449,3,1568,1568,
JC19,Fulton,4174,157,1436,697,13,2303,2303,
ML01A,Fulton,2795,145,1061,378,22,1606,1606,
ML01B,Fulton,708,33,223,95,0,351,351,
ML02A,Fulton,2580,174,711,329,2,1216,1216,
ML02B,Fulton,1914,101,589,244,1,935,935,
ML03,Fulton,3718,224,1141,492,5,1862,1862,
ML03A,Fulton,301,12,96,14,0,122,122,
ML04,Fulton,3322,168,1038,429,21,1656,1656,
ML05,Fulton,4843,264,1500,748,10,2522,2522,
ML06A,Fulton,2181,153,699,255,6,1113,1113,
ML06B,Fulton,3119,183,1005,499,4,1691,1691,
ML07A,Fulton,836,85,223,109,0,417,417,
ML07B,Fulton,1675,152,440,211,1,804,804,
MP01,Fulton,472,152,44,59,5,260,260,
PA01,Fulton,3006,203,934,356,13,1506,1506,
RW01,Fulton,5010,175,1579,991,9,2754,2754,
RW02,Fulton,4061,221,1321,749,10,2301,2301,
RW03,Fulton,5041,340,1455,739,10,2544,2544,
RW04,Fulton,1861,62,668,366,1,1097,1097,
RW05,Fulton,2910,245,821,394,9,1469,1469,
RW06,Fulton,3071,166,1066,465,6,1703,1703,
RW07A,Fulton,1773,211,448,158,2,819,819,
RW07B,Fulton,449,53,96,64,13,226,226,
RW08,Fulton,2429,130,609,426,5,1170,1170,
RW09,Fulton,4450,228,1327,925,2,2482,2482,
RW09A,Fulton,1892,102,595,101,2,800,800,
RW10,Fulton,3653,152,1205,643,9,2009,2009,
RW11A,Fulton,2865,187,811,502,8,1508,1508,
RW12,Fulton,3899,243,1259,919,4,2425,2425,
RW12A,Fulton,2458,133,778,126,5,1042,1042,
RW13,Fulton,3764,242,1349,541,5,2137,2137,
RW16,Fulton,2101,103,730,315,4,1152,1152,
RW17,Fulton,3100,223,1000,435,4,1662,1662,
RW19,Fulton,2147,112,726,343,1,1182,1182,
RW20,Fulton,2701,84,1016,425,6,1531,1531,
RW21,Fulton,3362,123,1126,494,12,1755,1755,
RW22A,Fulton,4788,273,1652,579,11,2515,2515,
SC01A,Fulton,41,2,37,7,0,46,46,
SC01B,Fulton,2088,122,1127,291,13,1553,1553,
SC01C,Fulton,2249,85,1047,448,7,1587,1587,
SC02,Fulton,1426,40,711,258,3,1012,1012,
SC04,Fulton,1080,79,345,153,3,580,580,
SC05A,Fulton,721,53,320,83,5,461,461,
SC05B,Fulton,3646,182,1764,483,4,2433,2433,
SC05D,Fulton,2808,183,1292,346,1,1822,1822,
SC05E,Fulton,688,44,254,130,3,431,431,
SC07A,Fulton,4506,246,1852,1008,9,3115,3115,
SC07C,Fulton,41,1,9,3,0,13,13,
SC07D,Fulton,2038,132,855,85,3,1075,1075,
SC08B,Fulton,4096,276,1522,642,12,2452,2452,
SC08C,Fulton,91,5,45,17,0,67,67,
SC08D,Fulton,605,39,229,77,0,345,345,
SC08E,Fulton,724,55,297,64,4,420,420,
SC08F,Fulton,793,43,281,97,1,422,422,
SC08G,Fulton,14,0,3,0,0,3,3,
SC08H,Fulton,1,0,0,0,0,0,0,
SC09A,Fulton,1865,180,526,229,9,944,944,
SC09B,Fulton,1920,122,716,354,2,1194,1194,
SC09C,Fulton,1852,181,526,288,2,997,997,
SC10,Fulton,1912,148,414,187,9,758,758,
SC11A,Fulton,1656,145,533,261,23,962,962,
SC11B,Fulton,1691,111,534,311,6,962,962,
SC13,Fulton,2895,166,1338,412,3,1919,1919,
SC14A,Fulton,1030,67,322,96,0,485,485,
SC15,Fulton,4522,278,1996,805,5,3084,3084,
SC15A,Fulton,2482,133,1294,102,0,1529,1529,
SC16A,Fulton,5175,288,2444,856,0,3588,3588,
SC17A,Fulton,60,1,32,9,0,42,42,
SC17B,Fulton,10,0,1,0,3,4,4,
SC17C,Fulton,1293,76,493,179,0,748,748,
SC18A,Fulton,570,39,220,115,0,374,374,
SC18B,Fulton,915,39,459,156,0,654,654,
SC18C,Fulton,2100,80,1003,399,0,1482,1482,
SC19A,Fulton,213,6,85,44,1,136,136,
SC19B,Fulton,1628,135,427,207,9,778,778,
SC20,Fulton,2562,106,1465,353,25,1949,1949,
SC211,Fulton,1828,100,818,289,0,1207,1207,
SC212,Fulton,4244,259,1718,591,6,2574,2574,
SC23A,Fulton,3854,335,1108,636,9,2088,2088,
SC23B,Fulton,557,55,165,109,2,331,331,
SC23C,Fulton,2606,206,865,393,2,1466,1466,
SC27,Fulton,2361,148,722,457,0,1327,1327,
SC29A,Fulton,3154,267,937,533,9,1746,1746,
SC30A,Fulton,157,5,43,56,5,109,109,
SC30B,Fulton,1110,57,360,146,0,563,563,
SS01,Fulton,4846,162,1436,883,5,2486,2486,
SS02A,Fulton,1206,47,414,234,4,699,699,
SS02B,Fulton,1318,64,463,208,5,740,740,
SS03,Fulton,1577,90,586,261,2,939,939,
SS04,Fulton,3763,214,1274,628,17,2133,2133,
SS05,Fulton,1853,90,658,361,3,1112,1112,
SS06,Fulton,1667,58,571,306,47,982,982,
SS07A,Fulton,1254,39,394,243,0,676,676,
SS07B,Fulton,793,45,261,137,1,444,444,
SS07C,Fulton,809,24,169,162,13,368,368,
SS08A,Fulton,1891,141,662,239,11,1053,1053,
SS08B,Fulton,696,27,235,144,0,406,406,
SS08C,Fulton,716,32,237,136,0,405,405,
SS08D,Fulton,1555,85,502,245,0,832,832,
SS09A,Fulton,3193,144,912,650,0,1706,1706,
SS09B,Fulton,3611,114,1243,710,2,2069,2069,
SS11A,Fulton,4026,281,1271,582,11,2145,2145,
SS11B,Fulton,1412,99,433,200,1,733,733,
SS11C,Fulton,361,29,113,27,1,170,170,
SS11D,Fulton,397,15,141,81,0,237,237,
SS12,Fulton,2897,131,955,534,9,1629,1629,
SS13A,Fulton,2103,120,704,314,3,1141,1141,
SS13B,Fulton,1278,82,482,155,1,720,720,
SS14,Fulton,1412,64,490,242,1,797,797,
SS15A,Fulton,2756,248,822,271,5,1346,1346,
SS15B,Fulton,1730,170,537,203,2,912,912,
SS16,Fulton,2116,83,669,465,2,1219,1219,
SS17,Fulton,3686,229,1128,572,14,1943,1943,
SS18A,Fulton,657,28,224,124,0,376,376,
SS18B,Fulton,241,7,73,47,0,127,127,
SS19A,Fulton,3299,180,1105,404,9,1698,1698,
SS19B,Fulton,2342,118,865,324,84,1391,1391,
SS20,Fulton,2404,156,699,348,9,1212,1212,
SS22,Fulton,2834,156,687,440,3,1286,1286,
SS26,Fulton,3824,247,1273,382,16,1918,1918,
SS29A,Fulton,2842,156,955,488,6,1605,1605,
SS31,Fulton,1703,73,579,299,0,951,951,
UC01A,Fulton,4234,324,1210,325,12,1871,1871,
UC01B,Fulton,428,38,141,28,5,212,212,
UC01D,Fulton,6,0,0,0,0,0,0,
UC01E,Fulton,512,40,268,70,0,378,378,
UC02A,Fulton,5609,323,2161,1118,18,3620,3620,
UC02B,Fulton,32,2,12,3,0,17,17,
UC02C,Fulton,3614,144,1227,129,14,1514,1514,
UC031,Fulton,2745,156,655,434,22,1267,1267,
UC032,Fulton,393,21,139,76,1,237,237,
