,Precinct,County,Registered Voters,Helen Minchew (I)_Election Day Votes,Helen Minchew (I)_Advanced Voting Votes,Helen Minchew (I)_Absentee by Mail Votes,Helen Minchew (I)_Provisional Votes,Helen Minchew (I)_Choice Total,Christopher Mulliens_Election Day Votes,Christopher Mulliens_Advanced Voting Votes,Christopher Mulliens_Absentee by Mail Votes,Christopher Mulliens_Provisional Votes,Christopher Mulliens_Choice Total,Lori Myles_Election Day Votes,Lori Myles_Advanced Voting Votes,Lori Myles_Absentee by Mail Votes,Lori Myles_Provisional Votes,Lori Myles_Choice Total,Total,calc_participation
29,804H,Richmond,2863.0,263.0,380.0,265.0,0.0,908.0,91.0,125.0,101.0,0.0,317.0,117.0,217.0,136.0,0.0,470.0,1695.0,59.2
30,805,Richmond,798.0,54.0,110.0,63.0,1.0,228.0,21.0,39.0,32.0,0.0,92.0,36.0,86.0,39.0,0.0,161.0,481.0,60.3
31,806,Richmond,1212.0,152.0,168.0,111.0,1.0,432.0,40.0,52.0,28.0,0.0,120.0,45.0,80.0,44.0,0.0,169.0,721.0,59.5
32,807,Richmond,1578.0,93.0,172.0,131.0,0.0,396.0,46.0,76.0,57.0,0.0,179.0,53.0,125.0,82.0,0.0,260.0,835.0,52.9
33,808,Richmond,2366.0,258.0,399.0,230.0,0.0,887.0,73.0,107.0,91.0,1.0,272.0,81.0,158.0,109.0,0.0,348.0,1507.0,63.7
27,803,Richmond,252.0,15.0,27.0,15.0,0.0,57.0,4.0,2.0,6.0,1.0,13.0,14.0,9.0,6.0,0.0,29.0,99.0,39.3
18,703,Richmond,4644.0,332.0,675.0,372.0,0.0,1379.0,107.0,204.0,161.0,1.0,473.0,148.0,278.0,133.0,1.0,560.0,2412.0,51.9
17,702,Richmond,1943.0,207.0,343.0,195.0,0.0,745.0,50.0,81.0,57.0,0.0,188.0,68.0,90.0,49.0,0.0,207.0,1140.0,58.7
16,701,Richmond,2403.0,225.0,499.0,323.0,2.0,1049.0,44.0,74.0,88.0,0.0,206.0,65.0,117.0,80.0,0.0,262.0,1517.0,63.1
1,302,Richmond,1032.0,56.0,108.0,66.0,0.0,230.0,34.0,40.0,26.0,0.0,100.0,62.0,102.0,48.0,0.0,212.0,542.0,52.5
2,303,Richmond,1417.0,127.0,398.0,223.0,0.0,748.0,20.0,42.0,33.0,0.0,95.0,14.0,46.0,29.0,0.0,89.0,932.0,65.8
3,304,Richmond,365.0,41.0,60.0,47.0,0.0,148.0,10.0,12.0,19.0,0.0,41.0,7.0,21.0,15.0,0.0,43.0,232.0,63.6
4,305,Richmond,428.0,42.0,120.0,102.0,0.0,264.0,1.0,14.0,9.0,0.0,24.0,3.0,24.0,2.0,0.0,29.0,317.0,74.1
5,306,Richmond,3934.0,212.0,537.0,380.0,1.0,1130.0,80.0,166.0,156.0,0.0,402.0,137.0,346.0,220.0,1.0,704.0,2236.0,56.8
6,307,Richmond,1642.0,138.0,319.0,232.0,0.0,689.0,29.0,53.0,60.0,0.0,142.0,39.0,76.0,46.0,0.0,161.0,992.0,60.4
7,308,Richmond,622.0,33.0,83.0,52.0,0.0,168.0,16.0,19.0,23.0,0.0,58.0,24.0,49.0,23.0,0.0,96.0,322.0,51.8
8,309,Richmond,3340.0,134.0,459.0,288.0,1.0,882.0,83.0,223.0,199.0,0.0,505.0,136.0,459.0,288.0,0.0,883.0,2270.0,68.0
9,310,Richmond,5163.0,227.0,639.0,436.0,1.0,1303.0,129.0,303.0,260.0,2.0,694.0,197.0,618.0,343.0,0.0,1158.0,3155.0,61.1
10,601,Richmond,3988.0,189.0,403.0,266.0,3.0,861.0,105.0,170.0,137.0,1.0,413.0,133.0,359.0,199.0,5.0,696.0,1970.0,49.4
11,603,Richmond,3570.0,308.0,403.0,339.0,1.0,1051.0,115.0,109.0,102.0,0.0,326.0,138.0,224.0,156.0,0.0,518.0,1895.0,53.1
12,604,Richmond,1811.0,143.0,149.0,138.0,0.0,430.0,61.0,52.0,54.0,0.0,167.0,79.0,142.0,78.0,0.0,299.0,896.0,49.5
13,605,Richmond,3880.0,198.0,394.0,358.0,0.0,950.0,104.0,132.0,123.0,0.0,359.0,187.0,288.0,186.0,0.0,661.0,1970.0,50.8
14,607,Richmond,1812.0,58.0,191.0,160.0,1.0,410.0,47.0,109.0,78.0,0.0,234.0,88.0,224.0,166.0,0.0,478.0,1122.0,61.9
15,608,Richmond,1472.0,149.0,221.0,122.0,0.0,492.0,56.0,51.0,43.0,0.0,150.0,54.0,81.0,73.0,0.0,208.0,850.0,57.7
34,809,Richmond,879.0,31.0,137.0,86.0,0.0,254.0,19.0,46.0,37.0,0.0,102.0,29.0,132.0,73.0,0.0,234.0,590.0,67.1
35,810,Richmond,425.0,32.0,77.0,31.0,0.0,140.0,16.0,31.0,14.0,0.0,61.0,12.0,32.0,26.0,0.0,70.0,271.0,63.8
